"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Nieuwendijk Noord";400;39,5;35,6;32,5;26,8;30,4;61;14,3;12,4;10,5;13,2;15;1,8
"Spuistraat Noord";700;39,6;35,1;33,2;28,2;31,7;54,5;16;12,4;12,2;13,2;14,5;3,8
"Nieuwe Kerk e.o.";700;41,3;36,6;31,3;27;33,4;50,5;14,2;10;7,6;9,3;10,7;4,3
"Spuistraat Zuid";600;44,2;38,8;35;29,2;35,9;56,7;14,9;13,4;12,2;14,8;17,4;5,2
"Begijnhofbuurt";400;37,2;35;31,1;25,1;30,8;61,3;11,1;9,4;10,8;14,4;18,3;7,5
"Kalverdriehoek";200;49,2;43,8;26;39,5;37,9;46,9;20,3;6;5,4;6,7;6,7;6,9
"Grachtengordel-West";5200;72,6;62,2;29,7;41,7;61,7;38,3;32,6;8;6,8;8,6;9,6;104,5
"Langestraat e.o.";1500;61,2;52,4;30;40,7;52;37,7;32,2;7,3;6,5;7,7;8,8;192,2
"Leliegracht e.o.";1300;68,8;58,1;30,3;42,5;60,6;36,9;34,8;7,5;6,9;7,8;9,2;99,2
"Felix Meritisbuurt";1700;75,7;65,2;28,6;42,1;65,8;39,8;30,4;8,9;7;9,8;10,9;78,6
"Leidsegracht Noord";600;103,6;89,2;30,5;41,7;77,2;38,9;35,2;7,8;7;8,6;8,9;45,2
"Grachtengordel-Zuid";4400;72,9;61,3;29,1;40;69;40,3;29,6;7,9;6,8;7,9;9,3;51,5
"Spiegelbuurt";600;70;57,4;24,9;47,5;64,5;35,1;36,2;8,5;6,9;7,3;8,7;89,1
"Gouden Bocht";100;83,8;72,4;26,9;50;;;;;;;;
"Van Loonbuurt";1200;66,6;55,4;28,6;39,2;90,5;36,9;31,6;6,7;5,4;7;8,1;90,2
"Amstelveldbuurt";1200;100,1;81,8;30,3;40,5;77,5;39,8;31;8,3;7,5;8,3;10,8;182,4
"Rembrandtpleinbuurt";400;55,9;51,9;26,7;34,5;43,3;50;19,5;7,5;6,4;8,5;8,8;6,6
"Reguliersbuurt";300;37,8;34,5;38,1;25,8;32,4;57,5;12,1;12,5;10,4;11,5;12,5;2,2
"Leidsegracht Zuid";500;59,9;50,4;29,3;42,4;51,7;38,6;32;6,7;6,7;7,6;8,2;70,5
"Nieuwmarkt/Lastage";8100;44,1;38,5;35,1;29,6;36,4;52,4;17,8;11,7;12,7;16,2;18,3;18,8
"Oosterdokseiland";400;68,8;58;21,8;43,6;59,6;32,2;34,4;7,8;6,3;7,5;9,8;26,3
"Scheepvaarthuisbuurt";600;44,2;38,9;30,2;31;38,1;45,2;22,7;7,6;7,1;8,9;10,2;26,4
"Rapenburg";700;42,5;35,4;35,2;30,9;35,4;49,4;20,8;9,4;8,5;12,1;13,6;13,4
"Lastage";900;43,9;37,7;34,4;30,8;34;52,6;18,9;12,1;12,1;14,9;16,2;23,9
"Nieuwmarkt";1400;33,7;29,7;43,5;20,5;28,5;63,4;11,3;16,3;17,7;23,3;27,2;10,7
"Uilenburg";1000;51,8;46;32,2;36,3;39,9;46,8;21,2;12,7;12,7;15,9;16,9;38,3
"Valkenburg";1000;45,6;39,6;33,8;33,3;36;48,8;17,8;6,7;9,9;13,1;15,4;41,4
"Zuiderkerkbuurt";1300;43;38,8;38,1;26,5;36,4;57,6;16,1;13,9;16,1;19,4;22,5;12,8
"Waterloopleinbuurt";700;40,9;35,4;31,9;25,7;37,9;53,6;13,1;11,5;12,3;16,2;17,5;15,9
"Haarlemmerbuurt";7700;44,5;38;35,7;30,2;39,1;49,1;20,2;12,6;12,5;16,3;19,2;23,3
"Westerdokseiland";1500;56,4;46;30,9;41,1;48,7;31,6;34,3;8,1;10,3;12,7;15,3;137,4
"Haarlemmerbuurt Oost";1300;43,5;37,7;35,1;28,8;46,8;54,1;17,5;11,8;11,2;15,7;18,2;21,1
"Haarlemmerbuurt West";2000;41,3;35,6;37,4;27,4;35,3;52,1;16,7;12,6;12,7;16,1;19,5;15
"Westelijke eilanden";2400;42,1;36;37;28,3;35,4;49,6;19,4;13,3;12,8;16,9;19,5;30,2
"Planciusbuurt Noord";300;35;32,1;34,1;24,2;26,6;62,7;6,8;19,5;16,1;22,5;25;2,7
"Planciusbuurt Zuid";100;27,6;25,1;47,9;9,3;21,4;81,2;5,1;33;27,7;33,9;39,3;1,9
"Jordaan";16700;46,2;40,7;36,5;28,2;36,9;54;16,5;13;13,1;16,9;19,6;15,3
"Driehoekbuurt";2300;40,9;35,9;37,4;27,8;31,8;54,7;15,5;14,1;13,5;17,3;20,5;11,9
"Bloemgrachtbuurt";2500;50,2;43,3;33,6;33,2;39,2;47,8;20,7;10;10,8;13,8;16,1;27,9
"Marnixbuurt Noord";1300;34,1;30,2;42,5;21,7;28;59;13,2;14,5;15,5;20,1;23,7;7,3
"Zaagpoortbuurt";800;33,9;31,1;38,1;18;26,4;71,7;6,5;17,6;15,2;20,8;24,3;1,9
"Marnixbuurt Midden";200;38,5;33,7;36,4;28,4;32,6;39,1;21,8;11,8;11,8;11,8;14,7;64,2
"Elandsgrachtbuurt";3700;45,5;39,8;35,5;29,3;41,5;53,9;17,6;13;14;17,3;20,3;15,4
"Passeerdersgrachtbuurt";800;49;43,8;34,5;32,9;39,1;50,7;18;15,5;13,3;17,7;20,3;45
"Groenmarktkadebuurt";200;41,1;38,6;32,7;30,9;45,1;48,1;19;5,2;4,5;5,2;6;8,1
"Marnixbuurt Zuid";600;41,7;38,3;31,3;28,2;30,9;57,3;11,7;11,6;9,2;13,7;16,1;14,9
"Anjeliersbuurt Noord";1800;44,9;39,1;36,5;29,3;36,2;49,5;20,3;11;11,7;14,9;16,9;19,6
"Anjeliersbuurt Zuid";2600;;;38,2;26,1;42;54,7;15,2;14,2;14,4;18,8;21,3;17,9
"De Weteringschans";6000;58,9;49,8;30,4;37,7;46,6;44,3;24,6;9,9;9,4;11,4;13,1;33,9
"Leidsebuurt Noordwest";200;46;42,3;29,1;36,6;33,1;49,2;14,8;7,4;8;9,3;10,5;27,1
"Leidsebuurt Zuidwest";100;41;35,2;39,7;29,8;;;;;;;;
"Leidsebuurt Noordoost";900;43,9;39,8;33,6;27,9;34,9;56,6;14,1;10,5;9,8;12,1;13,2;7,9
"Leidsebuurt Zuidoost";300;46,1;39,8;32,2;31;35,6;54,3;22,3;8,9;9,5;11,2;13,6;15,3
"Weteringbuurt";2000;69,2;57,2;29,1;38,6;51,3;41,4;24,7;10;8,8;10,3;12,5;31,4
"Den Texbuurt";900;56,7;46,7;32,1;41,9;45,6;39,4;31,1;10,5;10,1;13;14,5;76,1
"Utrechtsebuurt Zuid";1000;52,1;44,4;31,3;37,7;46,1;44,6;25;11;11,4;13,9;15,6;58,8
"Frederikspleinbuurt";700;71,7;59,1;25,4;45,8;62,8;33,8;34,9;7,3;6,9;9;10,2;171,4
"Weesperbuurt/Plantage";5800;49,9;43,1;33,8;34,5;40;47;22,9;10,4;9,8;12,8;14,6;27,4
"Weesperbuurt";2500;46,8;41,4;36,7;31,3;36;52;20;12;11,1;15;17,4;16
"Sarphatistrook";1500;49,8;42,7;33,7;33,3;38,7;48,6;21,6;11,4;10,7;13,7;15,3;14,5
"de Plantage";1400;56,4;47,5;29,8;40,7;49,6;36,6;29,6;7;6,9;8,6;10;194,3
"Alexanderplein e.o.";300;45,1;37,4;30;36,9;38,4;42,3;23,7;8,5;7,5;10,4;10,4;45,1
"Oostelijke Eilanden/Kadijken";11000;37,8;32,4;38,4;25,9;31,3;52,8;17,2;13,3;12,8;17,3;20,5;13,6
"Marine-Etablissement";100;;;;;;;;;;;;
"Kattenburg";1400;27,1;23,9;51,5;15,4;23,3;63,8;11,4;11,1;12,6;17,8;22,1;2,6
"Wittenburg";1900;34,7;30,4;38,7;22,1;29,4;53,2;13,5;12,3;12,3;16,8;20,1;14,1
"Oostenburg";1400;37,2;31,7;39,6;24,4;30,8;52,3;16,8;15,9;14,8;20,1;23,3;11,6
"Czaar Peterbuurt";2000;36,7;31,3;37,7;26;28;58,7;14,1;16,4;14,9;19,5;22,8;3,6
"Het Funen";900;53,2;39,5;30,3;43,2;40,1;30,5;39,9;7,2;7;11,3;12,9;297,4
"Kazernebuurt";800;36,2;32,8;38,6;24,6;29,3;53;13,9;16,9;15,3;21,1;23,7;10,8
"Kadijken";2400;42,5;36,7;33,7;29,7;37,9;49,2;19,7;12,1;11,6;15,3;18,2;38,7
"Westelijk Havengebied";100;28,4;26,5;52,8;13,4;21,1;78,3;7,8;39,6;35,8;41,5;42,5;2,3
"Coenhaven/Mercuriushaven";0;;;;;;;;;;;;
"Alfa-driehoek";0;;;;;;;;;;;;
"Petroleumhaven";0;;;;;;;;;;;;
"Westhaven Noord";0;;;;;;;;;;;;
"Vervoerscentrum";0;;;;;;;;;;;;
"Amerikahaven";100;;;;;;;;;;;;
"Afrikahaven";0;;;;;;;;;;;;
"Westhaven Zuid";0;;;;;;;;;;;;
"Bedrijventerrein Sloterdijk";600;29,7;28,1;46,8;13,8;21,4;77,6;2,5;16;11;16;18,9;0
"Sloterdijk II";0;;;;;;;;;;;;
"Sloterdijk III Oost";0;;;;;;;;;;;;
"Sloterdijk III West";100;;;;;;;;;;;;
"De Heining";0;;;;;;;;;;;;
"Teleport";500;29,7;28,3;45,4;14,4;21,5;78,4;1,7;15,3;10,8;15;17,1;0
"Bretten Oost";0;;;;;;;;;;;;
"Bretten West";0;;;;;;;;;;;;
"Houthavens";1900;61;48,7;21,7;50,9;45,7;25,5;40,3;7,4;6,9;7,9;9;224,4
"Houthavens West";1300;67,2;52;18,2;56,2;49,1;20,7;46,4;5,9;5,5;6,7;7,1;208,5
"Houthavens Oost";600;46,4;40;30,2;38,4;38,4;35,7;27,4;10,7;9,9;10,7;13,1;253,5
"Spaarndammer- en Zeeheldenbuurt";8700;33,8;28,5;40,8;21,4;27,9;56,9;13;16,7;16,3;21,4;25,1;4,2
"Zeeheldenbuurt";1600;36,3;30,4;36,2;23,8;30,9;50;15,8;14,1;13,2;18,2;21,6;10,1
"Spaarndammerbuurt Noordoost";2300;30,6;26;46,2;18;25,6;63;10,2;20,9;20;26,1;30,3;2,9
"Spaarndammerbuurt Zuidoost";900;35,4;30,2;38,2;23,7;29,1;55,4;15,2;14,5;14,2;18,8;22,3;6,6
"Spaarndammerbuurt Zuidwest";1300;37,7;31,7;37,9;24,9;29,2;56,2;14,4;14;15,1;20,5;24,6;7,8
"Spaarndammerbuurt Midden";1100;33,6;28;41,2;22,1;27,4;56,4;11,9;15;15,3;19,6;23,2;3,7
"Spaarndammerbuurt Noordwest";1600;32;27,1;40,7;19,6;27,3;55,9;13,2;17,3;16,3;20,8;24;2
"Westergasfabriek";0;;;;;;;;;;;;
"Overbraker Binnenpolder";0;;;;;;;;;;;;
"Staatsliedenbuurt";11100;37,9;32,5;36,2;26,7;30,7;51,2;15,8;14,2;14,2;18,4;21;11
"De Wittenbuurt Noord";1100;41;34,3;37,4;27,9;32,2;54,5;18,1;13;14,3;17,5;20,4;13
"De Wittenbuurt Zuid";800;30,6;27;45,7;16,3;26,4;61,6;10,7;18,9;20,6;26;29,8;5,5
"Staatsliedenbuurt Noordoost";1100;29,6;26,1;46;16,4;25;63,4;9,8;16,5;19,8;27,5;32,3;4,8
"Fannius Scholtenbuurt";3200;36,5;31,3;35,9;25,1;29,2;53,3;12,9;16,2;15,3;19;21,5;9
"Westerstaatsman";2400;38,3;33,1;32,9;28,6;31,1;48,2;15,2;13,2;11,6;15,5;17,4;15,6
"Buyskade e.o.";2600;43,6;36,6;32,1;33,6;35,4;40,9;23,6;10,6;10,5;14,2;16,3;19,5
"Centrale Markt";2000;38,3;32,2;35,9;28,9;32,3;42,7;21,9;10,3;10,2;13,8;16,7;30
"Ecowijk";1100;37,9;31,2;35,9;30,2;33,9;32,9;27,6;8,3;7,6;10,6;13,1;134
"Markthallen";0;;;;;;;;;;;;
"Bedrijvencentrum Westerkwartier";100;;;;;;;;;;;;
"Marcanti";900;38,9;34;35,6;26,8;30,6;53,3;16;12,5;13,2;17,4;20,9;12
"Frederik Hendrikbuurt";6900;40,7;35,4;34,1;29,3;32,1;51,6;16,9;13,7;13,3;17,5;19,8;11,8
"Frederik Hendrikbuurt Noord";3300;39,7;34,3;34,9;28;30,9;52,2;16,8;13;13,4;17,2;19,9;11,3
"Frederik Hendrikbuurt Zuidoost";2700;41,3;36,3;32,9;30,4;31,4;53;16,2;15,4;13,9;18,7;20,6;7,6
"Frederik Hendrikbuurt Zuidwest";1000;42,4;37,2;34,4;30,6;38;45,8;19,6;11,1;11,3;15;17,2;38,3
"Da Costabuurt";3900;45,4;39,2;30,8;33,8;35;47,2;21,5;9,8;10,6;13,7;15,8;23,9
"Da Costabuurt Noord";3900;45,4;39,2;30,8;33,8;35;47,2;21,5;9,8;10,6;13,7;15,8;23,9
"Kinkerbuurt";5300;42;36,4;33;30,5;32,1;50,4;17,9;12,6;12;15,7;18,2;8
"Bellamybuurt Noord";2100;39,7;33,8;36,7;27,5;30,9;52,6;17,7;13,5;12,9;17,5;20,5;7,1
"Bellamybuurt Zuid";3200;43,5;38,1;30,6;32,4;32,9;49;18,1;12;11,4;14,5;16,7;8,8
"Van Lennepbuurt";6000;35,7;31,1;40,3;23,4;28,8;57,3;12,2;15,9;16,1;21,5;25;7
"Da Costabuurt Zuid";1900;43,1;37,4;32,2;30,6;32,2;51;15,7;12,1;11,4;14,5;16,6;13,5
"Borgerbuurt";2500;28,8;25;49,8;16;25,2;64,2;8,5;19,2;21,6;28,9;34,1;4,3
"Lootsbuurt";1600;37,6;32,7;35,5;26,3;29,7;54,9;13,4;15,3;13,6;18,9;21,7;7,1
"Helmersbuurt";6300;50,2;42,5;30,8;36,6;37,9;45,8;23,5;10,9;10,6;13,2;15,5;25,8
"Helmersbuurt Oost";2100;56,1;46,2;26,8;40,3;41;41;27,1;6,2;5,8;7,1;9,2;36,1
"WG-terrein";2200;42,5;37;37,9;30,7;34,2;53,6;19,5;15,5;15,4;19,6;22,6;20,1
"Cremerbuurt Oost";1900;52,3;44,4;27,3;39,1;38,9;42,3;24,1;10,5;10,3;12,3;14,1;27,1
"Overtoomse Sluis";6600;49,2;42,3;28,9;37,2;36,9;44,1;24;9;8,7;11,3;13,7;23,7
"Cremerbuurt West";4900;48;41,5;28,6;37,1;36,3;44;23,1;9,7;8,9;11,7;14,2;20,6
"Vondelparkbuurt West";1800;52,5;44,4;29,9;37,7;38,5;44,3;26,6;7;8,2;10,3;12,4;30,1
"Vondelbuurt";1400;69,2;55,9;34,7;35,7;59,3;43,9;30,4;9,9;8,9;12,7;14,6;49,6
"Vondelparkbuurt Oost";700;70,6;57;32,4;37,4;61,2;39,5;32,1;9,3;8,2;9,5;10,8;101,8
"Vondelparkbuurt Midden";700;67,6;54,6;37,1;33,9;57,3;48,8;28,5;10,5;9,6;16,1;18,7;29,2
"Zuidas";3000;68,2;57;28,6;42;43,9;50,7;25,1;4,1;2,8;4;4,7;3,1
"Zuidas Noord";400;69,1;59,1;11,4;60,2;49,4;26,3;37,8;0,8;0,8;0,8;1,2;7,1
"RAI";0;;;;;;;;;;;;
"VU-kwartier";100;54,5;45,8;18,9;40,5;;;;;;;;
"Zuidas Zuid";1700;86,7;70;17,3;51,2;58,1;34,6;33,9;2,3;1,9;2,3;2,7;7,6
"Vivaldi";800;28,2;25,2;63,6;12,8;18,6;87,1;6,2;12,9;7,4;12,6;15;-8,5
"Oude Pijp";12700;43,5;38,1;33,4;30,9;34;52,2;17,7;12,5;12,1;15,6;17,8;9,1
"Hemonybuurt";2100;47,9;40,7;30,7;36,7;38,5;46,9;23,7;10,1;9,5;12;14,7;17,4
"Gerard Doubuurt";1700;41,7;36,4;37,1;28,2;31,6;55,5;16,2;15,1;14,6;19,5;21,4;7,7
"Frans Halsbuurt";2200;48;42;30,9;34,9;38,1;47,8;19,7;11,4;10,9;13,7;15,4;14,6
"Hercules Seghersbuurt";2300;38,6;34,3;36,7;26,6;29,1;57,2;13,3;15,7;14,8;19,2;21,7;4,5
"Sarphatiparkbuurt";4400;42,2;37,5;32,9;29,3;33,2;53,1;16,6;11,5;11,6;14,7;17,1;8,3
"Nieuwe Pijp";10600;41,8;36,6;34,9;30,1;32,7;52,7;17,5;12,3;12,8;16,3;19,4;11
"Willibrordusbuurt";2300;38,7;34,9;39,3;25,6;30,6;61;14,7;14,4;16;19,6;24,2;6,3
"Van der Helstpleinbuurt";3300;45,3;39,4;31,4;33,9;35,3;48,7;20;11,9;11,6;14,3;16,5;12,3
"Lizzy Ansinghbuurt";2000;39;33,9;37,4;26,5;30,7;52;16,2;13,5;12,9;17,5;20,3;9,4
"Cornelis Troostbuurt";3000;42,1;36,4;33,7;31,7;32,8;50,9;18,1;10,4;11,6;15,1;18;15,8
"Zuid Pijp";6900;30,7;26,2;46;17,4;25,9;61,6;10,8;18;19,3;25,4;29,7;3,7
"Diamantbuurt";2600;30,2;25,4;47,5;17;25,7;62,1;11,4;19,6;19,9;27,1;30,9;2,9
"Burgemeester Tellegenbuurt Oost";2400;31,9;27,5;44,2;18,7;26,7;60,2;10,6;16,9;18,4;23,4;27,8;4
"Burgemeester Tellegenbuurt West";1900;30;25,9;46,1;16,5;25,3;62,8;10,2;17,4;19,6;25,7;30,2;4,5
"Weesperzijde";4700;48,1;40,9;30,7;38,1;37,7;43,6;25,2;9,9;9,2;12,5;15;20,7
"Swammerdambuurt";1700;52,7;44,8;27,8;40,8;40,3;41,8;28;8,5;7,5;10;11,6;50,4
"Weesperzijde Midden/Zuid";2800;47,9;40,7;29,3;39,4;38,4;40,4;25,9;9,2;9,2;12,5;15,3;22,2
"Parooldriehoek";200;20;17,1;65,9;5,2;16,4;84;2,4;30,8;23,1;33,8;38,5;0
"Oosterparkbuurt";9100;35,9;30,6;40,7;24,8;29,2;56,1;15,2;16,3;15,8;21;24,1;5,8
"Oosterparkbuurt Noordwest";3400;35,3;31,1;40,2;23,7;28,5;57,6;13,5;14,8;14,2;19,1;22,5;4,6
"Oosterpark";100;26;24,5;53,5;10,5;;;;;;;;
"Oosterparkbuurt Zuidoost";3100;39,6;32,9;36,9;29,3;31,8;51,5;20,1;13,4;13,4;17,9;20,5;14
"Oosterparkbuurt Zuidwest";2500;32,7;27,3;45,4;21,3;27,7;58,6;12,6;21;20,3;26,5;29,5;3
"Dapperbuurt";8300;34,8;29,6;42,2;23;28,3;57;14,7;15,6;16,1;21,1;24,9;5
"Dapperbuurt Noord";3600;32,6;27,8;43,5;20,6;27,4;57,1;12,6;15,4;16,2;21,7;25,6;5,3
"Dapperbuurt Zuid";3200;32,5;28;44,3;20,3;27,1;61,2;12,4;17;17,2;22,1;25,6;2,6
"Oostpoort";1500;45,2;36,5;34,6;34;33,4;47,4;25,1;13,3;13,7;17,8;21,7;20,4
"Transvaalbuurt";7600;31,3;26;45,3;19,2;26,9;56,6;13,8;17,7;17,3;23,1;26;3,1
"Transvaalbuurt West";3400;30,6;25,8;45,9;18,6;26,5;57,8;12,8;18,6;18,5;24,4;27,4;3,6
"Transvaalbuurt Oost";4100;31,9;26,1;44,8;19,8;27,3;55,5;14,6;17;16,3;22;24,8;2,7
"Indische Buurt West";10400;31,7;26,4;43,7;20,4;27,4;54,3;13;16,2;15,6;20,7;24,3;3,5
"Noordwestkwadrant Indische buurt Noord";3200;36,6;30,9;35,8;26,3;29,3;50,9;15,2;13,7;13;16,5;19,6;8,9
"Noordwestkwadrant Indische buurt Zuid";3900;32,7;27,6;42,4;22,7;28,6;53,8;13,8;15,6;15;19,5;22,8;3,5
"Zuidwestkwadrant Indische buurt";3300;25,7;20,8;53,1;12;23,8;58,8;9,4;19,6;19,2;26,7;31,5;1,8
"Indische Buurt Oost";8000;28,5;23,3;48,6;15,9;25,8;58,3;10,6;18,7;19,2;25,1;29,5;2,5
"Noordoostkwadrant Indische buurt";4800;27,4;22,7;49,7;14,2;24,5;62,2;9;19,8;20,6;26,9;31,3;2,2
"Zuidoostkwadrant Indische buurt";2900;28,1;22,5;49,1;16,1;25,4;55,2;10,7;18,7;18,5;24,5;29;2,2
"Zeeburgerdijk Oost";400;46,2;37,9;30,2;35,7;48,2;28,5;33,2;4,3;5,3;5,8;8,2;221,4
"Flevopark";0;;;;;;;;;;;;
"Oostelijk Havengebied";15300;47,5;38,9;29,4;38,5;39,7;31,6;31,2;8;7,3;9,6;11,4;59,9
"Oostelijke Handelskade";1200;59,3;48,9;23,1;48,9;52,3;26,1;38,5;7,2;6,6;8,7;9,5;22
"Rietlanden";2000;48;39,2;30,3;39,8;39,2;33,2;31,9;7,5;8,5;10,7;12,5;36,9
"Java-eiland";2500;52,4;43,5;24,5;43,7;42,1;26,9;33,1;5,7;5;6,1;7,4;73,6
"KNSM-eiland";2100;45,1;39,6;28,4;35,9;38,2;34;26,7;8,8;8,6;10,5;12,2;129,8
"Sporenburg";2100;49,5;38,3;28,3;42,5;43;21,4;44,8;5,1;4,1;5,3;6,4;192,9
"Borneo";2100;48,2;36,1;31,9;37,9;40,6;27,4;38,1;7,3;6,7;9,4;10,8;82,5
"Entrepot-Noordwest";1200;36,2;30,6;38,5;25,7;31,7;44,8;16;12,1;11;15,8;18,9;10,1
"Architectenbuurt";1500;38,3;33,5;34,4;28,9;32,9;40,3;19;11,4;10,1;13,6;16,6;94,8
"Bedrijvengebied Veelaan";0;;;;;;;;;;;;
"Bedrijvengebied Cruquiusweg";400;48,1;42,8;24,6;40,9;35,9;38,5;26,7;13,7;5,6;10,9;13,3;1,1
"Bedrijvengebied Zeeburgerkade";100;37,3;30,1;32,5;27;;;;;;;;
"Zeeburgereiland/Nieuwe Diep";2800;33,8;28,7;43,6;25,2;24,6;60,8;13,4;11,3;8,6;12,4;14,9;0,9
"Zeeburgereiland Noordwest";0;;;;;;;;;;;;
"Zeeburgereiland Zuidoost";300;11,1;9,9;85,8;1,5;9,5;96,9;0,6;;;;;-5,4
"Zeeburgereiland Zuidwest";300;15,6;14;80,8;6;11,8;90,8;2,1;;;;;-0,4
"Nieuwe Diep/Diemerpark";100;;;;;;;;;;;;
"RI Oost terrein";2100;39,6;33,1;32,3;31,4;29,7;48,3;17,6;9,3;7;10,5;12,6;2,3
"Zeeburgereiland Noordoost";0;;;;;;;;;;;;
"IJburg West";10900;47;33,6;33,8;36,6;38,7;29,3;36;8,6;7,3;10,4;12,2;56,1
"Steigereiland Noord";1100;46,1;33,4;32,1;36,4;36,9;30,7;32,2;8,7;6,4;10;12,8;7,8
"Steigereiland Zuid";1800;46,3;32;36,8;35,9;41;26,8;41,4;7,2;6,3;9,1;10,6;211,6
"Haveneiland Zuidwest/Rieteiland West";2000;60,3;42,9;29,6;46,3;53,6;14;58,3;3,6;3,1;3,7;4,6;391,9
"Haveneiland Noordwest";2100;41,9;32;33,7;31,9;32,4;41,6;23,2;12,5;10,5;14,6;16,3;8,4
"Haveneiland Noordoost";3900;43,7;30,6;35,1;34,6;35,6;29;33;9;7,9;11,4;13,7;56,7
"Sloterdijk";500;48,2;42,5;23,9;42,8;34,8;35,1;27,2;15,2;13,1;15,6;15,9;6
"Woon- en Groengebied Sloterdijk";400;53,8;46,9;14,8;48,9;40,6;21,7;33,5;3,3;3,3;3,8;3,8;12,3
"Bedrijventerrein Sloterdijk I";100;;;;;;;;;;;;
"Landlust";15200;32,5;26,5;41,3;21;27,5;53,3;12,8;15,6;14,6;19,2;22,7;3,7
"Bedrijventerrein Landlust";500;43,9;40,4;24,6;33,9;33,9;44,4;17,6;4,5;5;6,8;8,6;12,2
"Bosleeuw";4500;28,7;22,9;47,1;16,3;25,5;54,4;11,8;15,6;13,8;18,8;22,3;2,7
"Landlust Zuid";3200;35,7;29,6;37,5;26,1;29,5;50;15,6;15,1;15;19,4;23,3;7
"Erasmusparkbuurt Oost";1500;39,5;31,1;35,3;28,5;31,8;46,8;22,6;12,3;10,4;14,1;17,2;8,2
"Gibraltarbuurt";3500;30,7;25,4;42,6;18,5;25,4;59,2;8,8;19,2;18,4;23,8;27,2;1,8
"Landlust Noord";1900;30,7;25;40,7;19;27,5;53;9,1;15,2;14;18,5;22;3,9
"Erasmuspark";4900;37,2;31,4;31;27,4;31,5;43,7;16,4;8,8;8,5;11,7;13,5;15,7
"Erasmusparkbuurt West";3400;37,9;32,1;29,5;28,8;32,2;41,4;16,3;7,8;7,4;9,8;11,7;25
"Robert Scottbuurt Oost";1500;35,6;29,9;34,7;24,3;29,9;49,2;16,6;11,2;11,3;16,3;17,9;4,7
