"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"241 Niet opvolgen van ambtelijk bevel";"2015";"Amsterdam";610
"241 Niet opvolgen van ambtelijk bevel";"2016";"Amsterdam";870
"241 Niet opvolgen van ambtelijk bevel";"2017";"Amsterdam";1355
"241 Niet opvolgen van ambtelijk bevel";"2018";"Amsterdam";1090
"241 Niet opvolgen van ambtelijk bevel";"2019";"Amsterdam";1000
"241 Niet opvolgen van ambtelijk bevel";"2020";"Amsterdam";585
"241 Niet opvolgen van ambtelijk bevel";"2021";"Amsterdam";1150
"241 Niet opvolgen van ambtelijk bevel";"2022*";"Amsterdam";635
"241 Niet opvolgen van ambtelijk bevel";"2023*";"Amsterdam";710
"242 Wederspannigheid";"2010";"Amsterdam";175
"242 Wederspannigheid";"2011";"Amsterdam";170
"242 Wederspannigheid";"2012";"Amsterdam";170
"242 Wederspannigheid";"2013";"Amsterdam";130
"242 Wederspannigheid";"2014";"Amsterdam";120
"242 Wederspannigheid";"2015";"Amsterdam";95
"242 Wederspannigheid";"2016";"Amsterdam";90
"242 Wederspannigheid";"2017";"Amsterdam";110
"242 Wederspannigheid";"2018";"Amsterdam";195
"242 Wederspannigheid";"2019";"Amsterdam";205
"242 Wederspannigheid";"2020";"Amsterdam";230
"242 Wederspannigheid";"2021";"Amsterdam";225
"242 Wederspannigheid";"2022*";"Amsterdam";205
"242 Wederspannigheid";"2023*";"Amsterdam";215
"243 Valse aangifte";"2010";"Amsterdam";35
"243 Valse aangifte";"2011";"Amsterdam";20
"243 Valse aangifte";"2012";"Amsterdam";25
"243 Valse aangifte";"2013";"Amsterdam";15
"243 Valse aangifte";"2014";"Amsterdam";25
"243 Valse aangifte";"2015";"Amsterdam";25
"243 Valse aangifte";"2016";"Amsterdam";20
"243 Valse aangifte";"2017";"Amsterdam";25
"243 Valse aangifte";"2018";"Amsterdam";20
"243 Valse aangifte";"2019";"Amsterdam";30
"243 Valse aangifte";"2020";"Amsterdam";30
"243 Valse aangifte";"2021";"Amsterdam";25
"243 Valse aangifte";"2022*";"Amsterdam";15
"243 Valse aangifte";"2023*";"Amsterdam";10
"245 Verblijf ongewenste vreemdeling";"2010";"Amsterdam";175
"245 Verblijf ongewenste vreemdeling";"2011";"Amsterdam";165
"245 Verblijf ongewenste vreemdeling";"2012";"Amsterdam";75
"245 Verblijf ongewenste vreemdeling";"2013";"Amsterdam";65
"245 Verblijf ongewenste vreemdeling";"2014";"Amsterdam";55
"245 Verblijf ongewenste vreemdeling";"2015";"Amsterdam";190
"245 Verblijf ongewenste vreemdeling";"2016";"Amsterdam";155
"245 Verblijf ongewenste vreemdeling";"2017";"Amsterdam";105
"245 Verblijf ongewenste vreemdeling";"2018";"Amsterdam";90
"245 Verblijf ongewenste vreemdeling";"2019";"Amsterdam";20
"245 Verblijf ongewenste vreemdeling";"2020";"Amsterdam";10
"245 Verblijf ongewenste vreemdeling";"2021";"Amsterdam";55
"245 Verblijf ongewenste vreemdeling";"2022*";"Amsterdam";25
"245 Verblijf ongewenste vreemdeling";"2023*";"Amsterdam";25
"246 Openbaar gezag misdrijf (overig)";"2010";"Amsterdam";25
"246 Openbaar gezag misdrijf (overig)";"2011";"Amsterdam";25
"246 Openbaar gezag misdrijf (overig)";"2012";"Amsterdam";5
"246 Openbaar gezag misdrijf (overig)";"2013";"Amsterdam";10
"246 Openbaar gezag misdrijf (overig)";"2014";"Amsterdam";10
"246 Openbaar gezag misdrijf (overig)";"2015";"Amsterdam";15
"246 Openbaar gezag misdrijf (overig)";"2016";"Amsterdam";15
"246 Openbaar gezag misdrijf (overig)";"2017";"Amsterdam";10
"246 Openbaar gezag misdrijf (overig)";"2018";"Amsterdam";5
"246 Openbaar gezag misdrijf (overig)";"2019";"Amsterdam";95
"246 Openbaar gezag misdrijf (overig)";"2020";"Amsterdam";30
"246 Openbaar gezag misdrijf (overig)";"2021";"Amsterdam";70
"246 Openbaar gezag misdrijf (overig)";"2022*";"Amsterdam";45
"246 Openbaar gezag misdrijf (overig)";"2023*";"Amsterdam";35
"3 Gewelds- en seksuele misdrijven";"2010";"Amsterdam";9595
"3 Gewelds- en seksuele misdrijven";"2011";"Amsterdam";9705
"3 Gewelds- en seksuele misdrijven";"2012";"Amsterdam";9175
"3 Gewelds- en seksuele misdrijven";"2013";"Amsterdam";8590
"3 Gewelds- en seksuele misdrijven";"2014";"Amsterdam";8770
"3 Gewelds- en seksuele misdrijven";"2015";"Amsterdam";8565
"3 Gewelds- en seksuele misdrijven";"2016";"Amsterdam";8460
"3 Gewelds- en seksuele misdrijven";"2017";"Amsterdam";7835
"3 Gewelds- en seksuele misdrijven";"2018";"Amsterdam";7590
"3 Gewelds- en seksuele misdrijven";"2019";"Amsterdam";7875
"3 Gewelds- en seksuele misdrijven";"2020";"Amsterdam";7445
"3 Gewelds- en seksuele misdrijven";"2021";"Amsterdam";7035
"3 Gewelds- en seksuele misdrijven";"2022*";"Amsterdam";7600
"3 Gewelds- en seksuele misdrijven";"2023*";"Amsterdam";7460
"31 Mishandeling";"2010";"Amsterdam";4920
"31 Mishandeling";"2011";"Amsterdam";4910
"31 Mishandeling";"2012";"Amsterdam";4715
"31 Mishandeling";"2013";"Amsterdam";4345
"31 Mishandeling";"2014";"Amsterdam";4425
"31 Mishandeling";"2015";"Amsterdam";4405
"31 Mishandeling";"2016";"Amsterdam";4430
"31 Mishandeling";"2017";"Amsterdam";4185
"31 Mishandeling";"2018";"Amsterdam";3965
"31 Mishandeling";"2019";"Amsterdam";4035
"31 Mishandeling";"2020";"Amsterdam";3620
"31 Mishandeling";"2021";"Amsterdam";3280
"31 Mishandeling";"2022*";"Amsterdam";3960
"31 Mishandeling";"2023*";"Amsterdam";3975
"32 Bedreiging en stalking";"2010";"Amsterdam";3600
"32 Bedreiging en stalking";"2011";"Amsterdam";3670
"32 Bedreiging en stalking";"2012";"Amsterdam";3400
"32 Bedreiging en stalking";"2013";"Amsterdam";3250
"32 Bedreiging en stalking";"2014";"Amsterdam";3320
"32 Bedreiging en stalking";"2015";"Amsterdam";3105
"32 Bedreiging en stalking";"2016";"Amsterdam";2975
"32 Bedreiging en stalking";"2017";"Amsterdam";2655
"32 Bedreiging en stalking";"2018";"Amsterdam";2545
"32 Bedreiging en stalking";"2019";"Amsterdam";2730
"32 Bedreiging en stalking";"2020";"Amsterdam";2775
"32 Bedreiging en stalking";"2021";"Amsterdam";2590
"32 Bedreiging en stalking";"2022*";"Amsterdam";2330
"32 Bedreiging en stalking";"2023*";"Amsterdam";2230
"321 Bedreiging";"2010";"Amsterdam";3330
"321 Bedreiging";"2011";"Amsterdam";3385
"321 Bedreiging";"2012";"Amsterdam";3100
"321 Bedreiging";"2013";"Amsterdam";2925
"321 Bedreiging";"2014";"Amsterdam";2945
"321 Bedreiging";"2015";"Amsterdam";2820
"321 Bedreiging";"2016";"Amsterdam";2725
"321 Bedreiging";"2017";"Amsterdam";2395
"321 Bedreiging";"2018";"Amsterdam";2280
"321 Bedreiging";"2019";"Amsterdam";2360
"321 Bedreiging";"2020";"Amsterdam";2400
"321 Bedreiging";"2021";"Amsterdam";2205
"321 Bedreiging";"2022*";"Amsterdam";2020
"321 Bedreiging";"2023*";"Amsterdam";1915
"322 Stalking";"2010";"Amsterdam";270
"322 Stalking";"2011";"Amsterdam";285
"322 Stalking";"2012";"Amsterdam";300
"322 Stalking";"2013";"Amsterdam";325
"322 Stalking";"2014";"Amsterdam";375
"322 Stalking";"2015";"Amsterdam";280
"322 Stalking";"2016";"Amsterdam";250
"322 Stalking";"2017";"Amsterdam";255
"322 Stalking";"2018";"Amsterdam";265
"322 Stalking";"2019";"Amsterdam";370
"322 Stalking";"2020";"Amsterdam";375
"322 Stalking";"2021";"Amsterdam";380
"322 Stalking";"2022*";"Amsterdam";310
"322 Stalking";"2023*";"Amsterdam";315
"33 Seksueel misdrijf";"2010";"Amsterdam";435
"33 Seksueel misdrijf";"2011";"Amsterdam";520
"33 Seksueel misdrijf";"2012";"Amsterdam";500
"33 Seksueel misdrijf";"2013";"Amsterdam";475
"33 Seksueel misdrijf";"2014";"Amsterdam";500
"33 Seksueel misdrijf";"2015";"Amsterdam";550
"33 Seksueel misdrijf";"2016";"Amsterdam";570
"33 Seksueel misdrijf";"2017";"Amsterdam";575
"33 Seksueel misdrijf";"2018";"Amsterdam";625
"33 Seksueel misdrijf";"2019";"Amsterdam";620
"33 Seksueel misdrijf";"2020";"Amsterdam";575
"33 Seksueel misdrijf";"2021";"Amsterdam";665
"33 Seksueel misdrijf";"2022*";"Amsterdam";790
"33 Seksueel misdrijf";"2023*";"Amsterdam";725
"331 Aanranding";"2010";"Amsterdam";190
"331 Aanranding";"2011";"Amsterdam";220
"331 Aanranding";"2012";"Amsterdam";175
"331 Aanranding";"2013";"Amsterdam";165
"331 Aanranding";"2014";"Amsterdam";180
"331 Aanranding";"2015";"Amsterdam";165
"331 Aanranding";"2016";"Amsterdam";250
"331 Aanranding";"2017";"Amsterdam";240
"331 Aanranding";"2018";"Amsterdam";245
"331 Aanranding";"2019";"Amsterdam";265
"331 Aanranding";"2020";"Amsterdam";190
"331 Aanranding";"2021";"Amsterdam";215
"331 Aanranding";"2022*";"Amsterdam";300
"331 Aanranding";"2023*";"Amsterdam";285
"332 Verkrachting";"2010";"Amsterdam";85
"332 Verkrachting";"2011";"Amsterdam";110
"332 Verkrachting";"2012";"Amsterdam";100
"332 Verkrachting";"2013";"Amsterdam";105
"332 Verkrachting";"2014";"Amsterdam";105
"332 Verkrachting";"2015";"Amsterdam";145
"332 Verkrachting";"2016";"Amsterdam";150
"332 Verkrachting";"2017";"Amsterdam";160
"332 Verkrachting";"2018";"Amsterdam";195
"332 Verkrachting";"2019";"Amsterdam";185
"332 Verkrachting";"2020";"Amsterdam";180
"332 Verkrachting";"2021";"Amsterdam";225
"332 Verkrachting";"2022*";"Amsterdam";275
"332 Verkrachting";"2023*";"Amsterdam";230
"333 Schennis der eerbaarheid";"2010";"Amsterdam";75
"333 Schennis der eerbaarheid";"2011";"Amsterdam";85
"333 Schennis der eerbaarheid";"2012";"Amsterdam";100
"333 Schennis der eerbaarheid";"2013";"Amsterdam";90
"333 Schennis der eerbaarheid";"2014";"Amsterdam";105
"333 Schennis der eerbaarheid";"2015";"Amsterdam";105
"333 Schennis der eerbaarheid";"2016";"Amsterdam";80
"333 Schennis der eerbaarheid";"2017";"Amsterdam";55
"333 Schennis der eerbaarheid";"2018";"Amsterdam";70
"333 Schennis der eerbaarheid";"2019";"Amsterdam";70
"333 Schennis der eerbaarheid";"2020";"Amsterdam";105
"333 Schennis der eerbaarheid";"2021";"Amsterdam";90
"333 Schennis der eerbaarheid";"2022*";"Amsterdam";90
"333 Schennis der eerbaarheid";"2023*";"Amsterdam";100
"334 Ontucht met minderjarige";"2010";"Amsterdam";30
"334 Ontucht met minderjarige";"2011";"Amsterdam";50
"334 Ontucht met minderjarige";"2012";"Amsterdam";45
"334 Ontucht met minderjarige";"2013";"Amsterdam";45
"334 Ontucht met minderjarige";"2014";"Amsterdam";45
"334 Ontucht met minderjarige";"2015";"Amsterdam";40
"334 Ontucht met minderjarige";"2016";"Amsterdam";40
"334 Ontucht met minderjarige";"2017";"Amsterdam";45
"334 Ontucht met minderjarige";"2018";"Amsterdam";50
"334 Ontucht met minderjarige";"2019";"Amsterdam";40
"334 Ontucht met minderjarige";"2020";"Amsterdam";40
"334 Ontucht met minderjarige";"2021";"Amsterdam";40
"334 Ontucht met minderjarige";"2022*";"Amsterdam";35
"334 Ontucht met minderjarige";"2023*";"Amsterdam";25
"335 Pornografie";"2010";"Amsterdam";25
"335 Pornografie";"2011";"Amsterdam";15
"335 Pornografie";"2012";"Amsterdam";35
"335 Pornografie";"2013";"Amsterdam";30
"335 Pornografie";"2014";"Amsterdam";20
"335 Pornografie";"2015";"Amsterdam";40
"335 Pornografie";"2016";"Amsterdam";20
"335 Pornografie";"2017";"Amsterdam";20
"335 Pornografie";"2018";"Amsterdam";10
"335 Pornografie";"2019";"Amsterdam";15
"335 Pornografie";"2020";"Amsterdam";15
"335 Pornografie";"2021";"Amsterdam";25
"335 Pornografie";"2022*";"Amsterdam";25
"335 Pornografie";"2023*";"Amsterdam";20
"336 Ontucht met misbruik van gezag";"2010";"Amsterdam";15
"336 Ontucht met misbruik van gezag";"2011";"Amsterdam";10
"336 Ontucht met misbruik van gezag";"2012";"Amsterdam";10
"336 Ontucht met misbruik van gezag";"2013";"Amsterdam";10
"336 Ontucht met misbruik van gezag";"2014";"Amsterdam";10
"336 Ontucht met misbruik van gezag";"2015";"Amsterdam";20
"336 Ontucht met misbruik van gezag";"2016";"Amsterdam";10
"336 Ontucht met misbruik van gezag";"2017";"Amsterdam";25
"336 Ontucht met misbruik van gezag";"2018";"Amsterdam";15
"336 Ontucht met misbruik van gezag";"2019";"Amsterdam";30
"336 Ontucht met misbruik van gezag";"2020";"Amsterdam";25
"336 Ontucht met misbruik van gezag";"2021";"Amsterdam";40
"336 Ontucht met misbruik van gezag";"2022*";"Amsterdam";35
"336 Ontucht met misbruik van gezag";"2023*";"Amsterdam";15
"337 Seksueel misdrijf (overig)";"2010";"Amsterdam";15
"337 Seksueel misdrijf (overig)";"2011";"Amsterdam";30
"337 Seksueel misdrijf (overig)";"2012";"Amsterdam";25
"337 Seksueel misdrijf (overig)";"2013";"Amsterdam";30
"337 Seksueel misdrijf (overig)";"2014";"Amsterdam";35
"337 Seksueel misdrijf (overig)";"2015";"Amsterdam";35
"337 Seksueel misdrijf (overig)";"2016";"Amsterdam";20
"337 Seksueel misdrijf (overig)";"2017";"Amsterdam";30
"337 Seksueel misdrijf (overig)";"2018";"Amsterdam";40
"337 Seksueel misdrijf (overig)";"2019";"Amsterdam";10
"337 Seksueel misdrijf (overig)";"2020";"Amsterdam";20
"337 Seksueel misdrijf (overig)";"2021";"Amsterdam";25
"337 Seksueel misdrijf (overig)";"2022*";"Amsterdam";40
"337 Seksueel misdrijf (overig)";"2023*";"Amsterdam";45
"34 Levensmisdrijf";"2010";"Amsterdam";450
"34 Levensmisdrijf";"2011";"Amsterdam";435
"34 Levensmisdrijf";"2012";"Amsterdam";390
"34 Levensmisdrijf";"2013";"Amsterdam";375
"34 Levensmisdrijf";"2014";"Amsterdam";360
"34 Levensmisdrijf";"2015";"Amsterdam";345
"34 Levensmisdrijf";"2016";"Amsterdam";310
"34 Levensmisdrijf";"2017";"Amsterdam";270
"34 Levensmisdrijf";"2018";"Amsterdam";285
"34 Levensmisdrijf";"2019";"Amsterdam";295
"34 Levensmisdrijf";"2020";"Amsterdam";295
"34 Levensmisdrijf";"2021";"Amsterdam";285
"34 Levensmisdrijf";"2022*";"Amsterdam";325
"34 Levensmisdrijf";"2023*";"Amsterdam";305
"35 Vrijheidsbeneming/gijzeling";"2010";"Amsterdam";90
"35 Vrijheidsbeneming/gijzeling";"2011";"Amsterdam";60
"35 Vrijheidsbeneming/gijzeling";"2012";"Amsterdam";70
"35 Vrijheidsbeneming/gijzeling";"2013";"Amsterdam";70
"35 Vrijheidsbeneming/gijzeling";"2014";"Amsterdam";50
"35 Vrijheidsbeneming/gijzeling";"2015";"Amsterdam";55
"35 Vrijheidsbeneming/gijzeling";"2016";"Amsterdam";60
"35 Vrijheidsbeneming/gijzeling";"2017";"Amsterdam";60
"35 Vrijheidsbeneming/gijzeling";"2018";"Amsterdam";50
"35 Vrijheidsbeneming/gijzeling";"2019";"Amsterdam";60
"35 Vrijheidsbeneming/gijzeling";"2020";"Amsterdam";75
"35 Vrijheidsbeneming/gijzeling";"2021";"Amsterdam";65
"35 Vrijheidsbeneming/gijzeling";"2022*";"Amsterdam";75
"35 Vrijheidsbeneming/gijzeling";"2023*";"Amsterdam";75
"36 Mensenhandel en 244 mensensmokkel";"2010";"Amsterdam";75
"36 Mensenhandel en 244 mensensmokkel";"2011";"Amsterdam";70
"36 Mensenhandel en 244 mensensmokkel";"2012";"Amsterdam";70
"36 Mensenhandel en 244 mensensmokkel";"2013";"Amsterdam";50
"36 Mensenhandel en 244 mensensmokkel";"2014";"Amsterdam";85
"36 Mensenhandel en 244 mensensmokkel";"2015";"Amsterdam";80
"36 Mensenhandel en 244 mensensmokkel";"2016";"Amsterdam";90
"36 Mensenhandel en 244 mensensmokkel";"2017";"Amsterdam";65
"36 Mensenhandel en 244 mensensmokkel";"2018";"Amsterdam";90
"36 Mensenhandel en 244 mensensmokkel";"2019";"Amsterdam";90
"36 Mensenhandel en 244 mensensmokkel";"2020";"Amsterdam";60
"36 Mensenhandel en 244 mensensmokkel";"2021";"Amsterdam";100
"36 Mensenhandel en 244 mensensmokkel";"2022*";"Amsterdam";85
"36 Mensenhandel en 244 mensensmokkel";"2023*";"Amsterdam";90
"37 Geweldsmisdrijf (overig)";"2010";"Amsterdam";25
"37 Geweldsmisdrijf (overig)";"2011";"Amsterdam";35
"37 Geweldsmisdrijf (overig)";"2012";"Amsterdam";30
"37 Geweldsmisdrijf (overig)";"2013";"Amsterdam";20
"37 Geweldsmisdrijf (overig)";"2014";"Amsterdam";25
"37 Geweldsmisdrijf (overig)";"2015";"Amsterdam";30
"37 Geweldsmisdrijf (overig)";"2016";"Amsterdam";30
"37 Geweldsmisdrijf (overig)";"2017";"Amsterdam";20
"37 Geweldsmisdrijf (overig)";"2018";"Amsterdam";30
"37 Geweldsmisdrijf (overig)";"2019";"Amsterdam";45
"37 Geweldsmisdrijf (overig)";"2020";"Amsterdam";45
"37 Geweldsmisdrijf (overig)";"2021";"Amsterdam";55
"37 Geweldsmisdrijf (overig)";"2022*";"Amsterdam";40
"37 Geweldsmisdrijf (overig)";"2023*";"Amsterdam";60
"4 Misdrijven WvSr (overig)";"2010";"Amsterdam";1005
"4 Misdrijven WvSr (overig)";"2011";"Amsterdam";1065
"4 Misdrijven WvSr (overig)";"2012";"Amsterdam";890
"4 Misdrijven WvSr (overig)";"2013";"Amsterdam";860
"4 Misdrijven WvSr (overig)";"2014";"Amsterdam";895
"4 Misdrijven WvSr (overig)";"2015";"Amsterdam";815
"4 Misdrijven WvSr (overig)";"2016";"Amsterdam";885
"4 Misdrijven WvSr (overig)";"2017";"Amsterdam";865
"4 Misdrijven WvSr (overig)";"2018";"Amsterdam";1000
"4 Misdrijven WvSr (overig)";"2019";"Amsterdam";1210
"4 Misdrijven WvSr (overig)";"2020";"Amsterdam";1330
"4 Misdrijven WvSr (overig)";"2021";"Amsterdam";1250
"4 Misdrijven WvSr (overig)";"2022*";"Amsterdam";1160
"4 Misdrijven WvSr (overig)";"2023*";"Amsterdam";1030
"5 Verkeersmisdrijven";"2010";"Amsterdam";6950
"5 Verkeersmisdrijven";"2011";"Amsterdam";7760
"5 Verkeersmisdrijven";"2012";"Amsterdam";7355
"5 Verkeersmisdrijven";"2013";"Amsterdam";7095
"5 Verkeersmisdrijven";"2014";"Amsterdam";6680
"5 Verkeersmisdrijven";"2015";"Amsterdam";6460
"5 Verkeersmisdrijven";"2016";"Amsterdam";6900
"5 Verkeersmisdrijven";"2017";"Amsterdam";7185
"5 Verkeersmisdrijven";"2018";"Amsterdam";7190
"5 Verkeersmisdrijven";"2019";"Amsterdam";7160
"5 Verkeersmisdrijven";"2020";"Amsterdam";6525
"5 Verkeersmisdrijven";"2021";"Amsterdam";7025
"5 Verkeersmisdrijven";"2022*";"Amsterdam";8200
"5 Verkeersmisdrijven";"2023*";"Amsterdam";8070
"51 Verlaten plaats ongeval";"2010";"Amsterdam";3425
"51 Verlaten plaats ongeval";"2011";"Amsterdam";3830
"51 Verlaten plaats ongeval";"2012";"Amsterdam";3825
"51 Verlaten plaats ongeval";"2013";"Amsterdam";4150
"51 Verlaten plaats ongeval";"2014";"Amsterdam";3860
"51 Verlaten plaats ongeval";"2015";"Amsterdam";4070
"51 Verlaten plaats ongeval";"2016";"Amsterdam";4610
"51 Verlaten plaats ongeval";"2017";"Amsterdam";4980
"51 Verlaten plaats ongeval";"2018";"Amsterdam";5105
"51 Verlaten plaats ongeval";"2019";"Amsterdam";4860
"51 Verlaten plaats ongeval";"2020";"Amsterdam";4380
"51 Verlaten plaats ongeval";"2021";"Amsterdam";4510
"51 Verlaten plaats ongeval";"2022*";"Amsterdam";5070
"51 Verlaten plaats ongeval";"2023*";"Amsterdam";4825
"52 Rijden onder invloed";"2010";"Amsterdam";2760
"52 Rijden onder invloed";"2011";"Amsterdam";3210
"52 Rijden onder invloed";"2012";"Amsterdam";2825
"52 Rijden onder invloed";"2013";"Amsterdam";2170
"52 Rijden onder invloed";"2014";"Amsterdam";2000
"52 Rijden onder invloed";"2015";"Amsterdam";1700
"52 Rijden onder invloed";"2016";"Amsterdam";1550
"52 Rijden onder invloed";"2017";"Amsterdam";1520
"52 Rijden onder invloed";"2018";"Amsterdam";1445
"52 Rijden onder invloed";"2019";"Amsterdam";1570
"52 Rijden onder invloed";"2020";"Amsterdam";1290
"52 Rijden onder invloed";"2021";"Amsterdam";1600
"52 Rijden onder invloed";"2022*";"Amsterdam";2070
"52 Rijden onder invloed";"2023*";"Amsterdam";2220
"53 Rijden tijdens ontzegging besturen";"2010";"Amsterdam";240
"53 Rijden tijdens ontzegging besturen";"2011";"Amsterdam";215
"53 Rijden tijdens ontzegging besturen";"2012";"Amsterdam";335
"53 Rijden tijdens ontzegging besturen";"2013";"Amsterdam";395
"53 Rijden tijdens ontzegging besturen";"2014";"Amsterdam";445
"53 Rijden tijdens ontzegging besturen";"2015";"Amsterdam";345
"53 Rijden tijdens ontzegging besturen";"2016";"Amsterdam";380
"53 Rijden tijdens ontzegging besturen";"2017";"Amsterdam";335
"53 Rijden tijdens ontzegging besturen";"2018";"Amsterdam";315
"53 Rijden tijdens ontzegging besturen";"2019";"Amsterdam";390
"53 Rijden tijdens ontzegging besturen";"2020";"Amsterdam";500
"53 Rijden tijdens ontzegging besturen";"2021";"Amsterdam";490
"53 Rijden tijdens ontzegging besturen";"2022*";"Amsterdam";530
"53 Rijden tijdens ontzegging besturen";"2023*";"Amsterdam";530
"54 Rijden tijdens rijverbod";"2010";"Amsterdam";10
"54 Rijden tijdens rijverbod";"2011";"Amsterdam";15
"54 Rijden tijdens rijverbod";"2012";"Amsterdam";15
"54 Rijden tijdens rijverbod";"2013";"Amsterdam";10
"54 Rijden tijdens rijverbod";"2014";"Amsterdam";15
"54 Rijden tijdens rijverbod";"2015";"Amsterdam";5
"54 Rijden tijdens rijverbod";"2016";"Amsterdam";10
"54 Rijden tijdens rijverbod";"2017";"Amsterdam";10
"54 Rijden tijdens rijverbod";"2018";"Amsterdam";10
"54 Rijden tijdens rijverbod";"2019";"Amsterdam";10
"54 Rijden tijdens rijverbod";"2020";"Amsterdam";15
"54 Rijden tijdens rijverbod";"2021";"Amsterdam";20
"54 Rijden tijdens rijverbod";"2022*";"Amsterdam";15
"54 Rijden tijdens rijverbod";"2023*";"Amsterdam";10
"55 Voeren vals kenteken";"2010";"Amsterdam";50
"55 Voeren vals kenteken";"2011";"Amsterdam";60
"55 Voeren vals kenteken";"2012";"Amsterdam";40
"55 Voeren vals kenteken";"2013";"Amsterdam";35
"55 Voeren vals kenteken";"2014";"Amsterdam";45
"55 Voeren vals kenteken";"2015";"Amsterdam";50
"55 Voeren vals kenteken";"2016";"Amsterdam";60
"55 Voeren vals kenteken";"2017";"Amsterdam";50
"55 Voeren vals kenteken";"2018";"Amsterdam";50
"55 Voeren vals kenteken";"2019";"Amsterdam";55
"55 Voeren vals kenteken";"2020";"Amsterdam";60
"55 Voeren vals kenteken";"2021";"Amsterdam";80
"55 Voeren vals kenteken";"2022*";"Amsterdam";130
"55 Voeren vals kenteken";"2023*";"Amsterdam";120
"56 Joyriding";"2010";"Amsterdam";20
"56 Joyriding";"2011";"Amsterdam";15
"56 Joyriding";"2012";"Amsterdam";10
"56 Joyriding";"2013";"Amsterdam";20
"56 Joyriding";"2014";"Amsterdam";20
"56 Joyriding";"2015";"Amsterdam";15
"56 Joyriding";"2016";"Amsterdam";15
"56 Joyriding";"2017";"Amsterdam";15
"56 Joyriding";"2018";"Amsterdam";10
"56 Joyriding";"2019";"Amsterdam";10
"56 Joyriding";"2020";"Amsterdam";10
"56 Joyriding";"2021";"Amsterdam";10
"56 Joyriding";"2022*";"Amsterdam";10
"56 Joyriding";"2023*";"Amsterdam";10
"57 Weigeren blaastest/bloedonderzoek ed";"2010";"Amsterdam";10
"57 Weigeren blaastest/bloedonderzoek ed";"2011";"Amsterdam";5
"57 Weigeren blaastest/bloedonderzoek ed";"2012";"Amsterdam";5
"57 Weigeren blaastest/bloedonderzoek ed";"2013";"Amsterdam";15
"57 Weigeren blaastest/bloedonderzoek ed";"2014";"Amsterdam";15
"57 Weigeren blaastest/bloedonderzoek ed";"2015";"Amsterdam";5
"57 Weigeren blaastest/bloedonderzoek ed";"2016";"Amsterdam";10
"57 Weigeren blaastest/bloedonderzoek ed";"2017";"Amsterdam";5
"57 Weigeren blaastest/bloedonderzoek ed";"2018";"Amsterdam";10
"57 Weigeren blaastest/bloedonderzoek ed";"2019";"Amsterdam";15
"57 Weigeren blaastest/bloedonderzoek ed";"2020";"Amsterdam";10
"57 Weigeren blaastest/bloedonderzoek ed";"2021";"Amsterdam";35
"57 Weigeren blaastest/bloedonderzoek ed";"2022*";"Amsterdam";85
"57 Weigeren blaastest/bloedonderzoek ed";"2023*";"Amsterdam";125
"58 Verkeersmisdrijf (overig)";"2010";"Amsterdam";430
"58 Verkeersmisdrijf (overig)";"2011";"Amsterdam";410
"58 Verkeersmisdrijf (overig)";"2012";"Amsterdam";295
"58 Verkeersmisdrijf (overig)";"2013";"Amsterdam";300
"58 Verkeersmisdrijf (overig)";"2014";"Amsterdam";285
"58 Verkeersmisdrijf (overig)";"2015";"Amsterdam";270
"58 Verkeersmisdrijf (overig)";"2016";"Amsterdam";260
"58 Verkeersmisdrijf (overig)";"2017";"Amsterdam";265
"58 Verkeersmisdrijf (overig)";"2018";"Amsterdam";245
"58 Verkeersmisdrijf (overig)";"2019";"Amsterdam";245
"58 Verkeersmisdrijf (overig)";"2020";"Amsterdam";255
"58 Verkeersmisdrijf (overig)";"2021";"Amsterdam";280
"58 Verkeersmisdrijf (overig)";"2022*";"Amsterdam";280
"58 Verkeersmisdrijf (overig)";"2023*";"Amsterdam";230
"6 Drugsmisdrijven";"2010";"Amsterdam";1355
"6 Drugsmisdrijven";"2011";"Amsterdam";1380
"6 Drugsmisdrijven";"2012";"Amsterdam";1360
"6 Drugsmisdrijven";"2013";"Amsterdam";1470
"6 Drugsmisdrijven";"2014";"Amsterdam";1600
"6 Drugsmisdrijven";"2015";"Amsterdam";1595
"6 Drugsmisdrijven";"2016";"Amsterdam";1350
"6 Drugsmisdrijven";"2017";"Amsterdam";1280
"6 Drugsmisdrijven";"2018";"Amsterdam";1340
"6 Drugsmisdrijven";"2019";"Amsterdam";1425
"6 Drugsmisdrijven";"2020";"Amsterdam";985
"6 Drugsmisdrijven";"2021";"Amsterdam";930
"6 Drugsmisdrijven";"2022*";"Amsterdam";1265
"6 Drugsmisdrijven";"2023*";"Amsterdam";1550
"61 Harddrugs";"2010";"Amsterdam";975
"61 Harddrugs";"2011";"Amsterdam";890
"61 Harddrugs";"2012";"Amsterdam";965
"61 Harddrugs";"2013";"Amsterdam";1000
"61 Harddrugs";"2014";"Amsterdam";1190
"61 Harddrugs";"2015";"Amsterdam";1205
"61 Harddrugs";"2016";"Amsterdam";1010
"61 Harddrugs";"2017";"Amsterdam";985
"61 Harddrugs";"2018";"Amsterdam";1050
"61 Harddrugs";"2019";"Amsterdam";1130
"61 Harddrugs";"2020";"Amsterdam";700
"61 Harddrugs";"2021";"Amsterdam";650
