"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven/Totaal geregistreerde misdrijven (aantal)"
"121 Oplichting";"2017";"Amsterdam";2235
"121 Oplichting";"2018";"Amsterdam";2275
"121 Oplichting";"2019";"Amsterdam";2895
"121 Oplichting";"2020";"Amsterdam";3120
"121 Oplichting";"2021";"Amsterdam";2560
"121 Oplichting";"2022*";"Amsterdam";2040
"121 Oplichting";"2023*";"Amsterdam";2305
"123 Bedrog (overig)";"2010";"Amsterdam";15
"123 Bedrog (overig)";"2011";"Amsterdam";15
"123 Bedrog (overig)";"2012";"Amsterdam";10
"123 Bedrog (overig)";"2013";"Amsterdam";15
"123 Bedrog (overig)";"2014";"Amsterdam";15
"123 Bedrog (overig)";"2015";"Amsterdam";145
"123 Bedrog (overig)";"2016";"Amsterdam";270
"123 Bedrog (overig)";"2017";"Amsterdam";245
"123 Bedrog (overig)";"2018";"Amsterdam";225
"123 Bedrog (overig)";"2019";"Amsterdam";250
"123 Bedrog (overig)";"2020";"Amsterdam";185
"123 Bedrog (overig)";"2021";"Amsterdam";180
"123 Bedrog (overig)";"2022*";"Amsterdam";145
"123 Bedrog (overig)";"2023*";"Amsterdam";170
"13 Valsheidsmisdrijven";"2010";"Amsterdam";1495
"13 Valsheidsmisdrijven";"2011";"Amsterdam";1995
"13 Valsheidsmisdrijven";"2012";"Amsterdam";1740
"13 Valsheidsmisdrijven";"2013";"Amsterdam";1140
"13 Valsheidsmisdrijven";"2014";"Amsterdam";1020
"13 Valsheidsmisdrijven";"2015";"Amsterdam";1845
"13 Valsheidsmisdrijven";"2016";"Amsterdam";2215
"13 Valsheidsmisdrijven";"2017";"Amsterdam";2515
"13 Valsheidsmisdrijven";"2018";"Amsterdam";2575
"13 Valsheidsmisdrijven";"2019";"Amsterdam";2830
"13 Valsheidsmisdrijven";"2020";"Amsterdam";4150
"13 Valsheidsmisdrijven";"2021";"Amsterdam";4160
"13 Valsheidsmisdrijven";"2022*";"Amsterdam";2785
"13 Valsheidsmisdrijven";"2023*";"Amsterdam";2525
"131 Muntmisdrijf";"2010";"Amsterdam";130
"131 Muntmisdrijf";"2011";"Amsterdam";120
"131 Muntmisdrijf";"2012";"Amsterdam";90
"131 Muntmisdrijf";"2013";"Amsterdam";80
"131 Muntmisdrijf";"2014";"Amsterdam";125
"131 Muntmisdrijf";"2015";"Amsterdam";235
"131 Muntmisdrijf";"2016";"Amsterdam";205
"131 Muntmisdrijf";"2017";"Amsterdam";135
"131 Muntmisdrijf";"2018";"Amsterdam";105
"131 Muntmisdrijf";"2019";"Amsterdam";85
"131 Muntmisdrijf";"2020";"Amsterdam";65
"131 Muntmisdrijf";"2021";"Amsterdam";35
"131 Muntmisdrijf";"2022*";"Amsterdam";10
"131 Muntmisdrijf";"2023*";"Amsterdam";20
"132 Valsheid in zegels en merken";"2010";"Amsterdam";40
"132 Valsheid in zegels en merken";"2011";"Amsterdam";45
"132 Valsheid in zegels en merken";"2012";"Amsterdam";45
"132 Valsheid in zegels en merken";"2013";"Amsterdam";25
"132 Valsheid in zegels en merken";"2014";"Amsterdam";25
"132 Valsheid in zegels en merken";"2015";"Amsterdam";25
"132 Valsheid in zegels en merken";"2016";"Amsterdam";30
"132 Valsheid in zegels en merken";"2017";"Amsterdam";10
"132 Valsheid in zegels en merken";"2018";"Amsterdam";20
"132 Valsheid in zegels en merken";"2019";"Amsterdam";5
"132 Valsheid in zegels en merken";"2020";"Amsterdam";10
"132 Valsheid in zegels en merken";"2021";"Amsterdam";30
"132 Valsheid in zegels en merken";"2022*";"Amsterdam";15
"132 Valsheid in zegels en merken";"2023*";"Amsterdam";15
"133 Valsheid in geschriften";"2010";"Amsterdam";1320
"133 Valsheid in geschriften";"2011";"Amsterdam";1835
"133 Valsheid in geschriften";"2012";"Amsterdam";1600
"133 Valsheid in geschriften";"2013";"Amsterdam";1035
"133 Valsheid in geschriften";"2014";"Amsterdam";870
"133 Valsheid in geschriften";"2015";"Amsterdam";1585
"133 Valsheid in geschriften";"2016";"Amsterdam";1975
"133 Valsheid in geschriften";"2017";"Amsterdam";2370
"133 Valsheid in geschriften";"2018";"Amsterdam";2455
"133 Valsheid in geschriften";"2019";"Amsterdam";2740
"133 Valsheid in geschriften";"2020";"Amsterdam";4070
"133 Valsheid in geschriften";"2021";"Amsterdam";4100
"133 Valsheid in geschriften";"2022*";"Amsterdam";2760
"133 Valsheid in geschriften";"2023*";"Amsterdam";2485
"14 Heling";"2010";"Amsterdam";585
"14 Heling";"2011";"Amsterdam";655
"14 Heling";"2012";"Amsterdam";685
"14 Heling";"2013";"Amsterdam";625
"14 Heling";"2014";"Amsterdam";725
"14 Heling";"2015";"Amsterdam";675
"14 Heling";"2016";"Amsterdam";640
"14 Heling";"2017";"Amsterdam";555
"14 Heling";"2018";"Amsterdam";630
"14 Heling";"2019";"Amsterdam";720
"14 Heling";"2020";"Amsterdam";725
"14 Heling";"2021";"Amsterdam";695
"14 Heling";"2022*";"Amsterdam";895
"14 Heling";"2023*";"Amsterdam";1000
"15 Afpersing en afdreiging";"2010";"Amsterdam";105
"15 Afpersing en afdreiging";"2011";"Amsterdam";125
"15 Afpersing en afdreiging";"2012";"Amsterdam";95
"15 Afpersing en afdreiging";"2013";"Amsterdam";135
"15 Afpersing en afdreiging";"2014";"Amsterdam";145
"15 Afpersing en afdreiging";"2015";"Amsterdam";160
"15 Afpersing en afdreiging";"2016";"Amsterdam";170
"15 Afpersing en afdreiging";"2017";"Amsterdam";135
"15 Afpersing en afdreiging";"2018";"Amsterdam";165
"15 Afpersing en afdreiging";"2019";"Amsterdam";155
"15 Afpersing en afdreiging";"2020";"Amsterdam";225
"15 Afpersing en afdreiging";"2021";"Amsterdam";195
"15 Afpersing en afdreiging";"2022*";"Amsterdam";165
"15 Afpersing en afdreiging";"2023*";"Amsterdam";205
"16 Bankbreuk";"2010";"Amsterdam";15
"16 Bankbreuk";"2011";"Amsterdam";30
"16 Bankbreuk";"2012";"Amsterdam";40
"16 Bankbreuk";"2013";"Amsterdam";15
"16 Bankbreuk";"2014";"Amsterdam";10
"16 Bankbreuk";"2015";"Amsterdam";25
"16 Bankbreuk";"2016";"Amsterdam";15
"16 Bankbreuk";"2017";"Amsterdam";20
"16 Bankbreuk";"2018";"Amsterdam";15
"16 Bankbreuk";"2019";"Amsterdam";20
"16 Bankbreuk";"2020";"Amsterdam";15
"16 Bankbreuk";"2021";"Amsterdam";10
"16 Bankbreuk";"2022*";"Amsterdam";0
"16 Bankbreuk";"2023*";"Amsterdam";5
"17 Witwassen";"2010";"Amsterdam";55
"17 Witwassen";"2011";"Amsterdam";55
"17 Witwassen";"2012";"Amsterdam";65
"17 Witwassen";"2013";"Amsterdam";70
"17 Witwassen";"2014";"Amsterdam";75
"17 Witwassen";"2015";"Amsterdam";70
"17 Witwassen";"2016";"Amsterdam";70
"17 Witwassen";"2017";"Amsterdam";80
