"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Langestraat e.o.";1860;975;885;165;205;585;525;385;1120;560;130;55;545;160;5;10;20;10;115;15;7;5;5;1160;685;310;160;1,6;19155
"Leliegracht e.o.";1755;930;830;150;300;595;455;255;1195;435;100;20;610;190;5;15;15;20;140;10;5;5;3;1145;730;280;135;1,5;12909
"Felix Meritisbuurt";2090;1095;990;150;255;745;610;325;1355;550;135;50;700;210;5;15;20;25;145;10;6;10;4;1365;870;330;170;1,5;12957
"Leidsegracht Noord";680;375;305;50;80;245;185;115;430;180;45;20;200;85;0;10;5;10;60;5;7;0;0;445;285;115;45;1,5;12734
"Grachtengordel-Zuid";5350;2895;2455;470;680;2050;1385;765;3510;1375;350;125;1695;640;25;40;50;55;470;45;8;20;4;3410;2145;800;465;1,6;10303
"Spiegelbuurt";810;450;360;65;85;345;205;110;530;220;55;10;285;120;0;5;5;15;85;10;12;5;5;520;325;125;70;1,6;10210
"Gouden Bocht";135;75;60;10;20;40;35;30;85;35;5;5;35;15;0;5;0;0;10;0;0;5;7;90;65;20;10;1,4;2918
"Van Loonbuurt";1425;730;695;140;180;465;385;250;855;420;110;45;400;125;5;10;10;5;90;5;6;5;3;870;520;215;135;1,6;10957
"Amstelveldbuurt";1505;775;725;160;185;460;470;230;945;435;95;35;405;150;5;5;15;20;100;10;8;5;3;920;560;210;150;1,6;13599
"Rembrandtpleinbuurt";475;275;205;20;60;285;70;40;360;70;35;5;180;90;5;0;5;5;75;5;11;0;0;345;240;85;20;1,4;8180
"Reguliersbuurt";365;215;145;20;85;205;45;10;300;50;10;5;150;75;0;5;10;5;60;5;11;0;6;265;195;55;20;1,4;8942
"Leidsegracht Zuid";635;375;265;55;70;245;170;100;435;145;35;20;235;70;5;5;10;0;50;0;3;5;6;395;245;80;70;1,6;11689
"Nieuwmarkt/Lastage";9770;5090;4675;805;1180;3265;2870;1640;6450;2185;890;240;2670;1455;85;75;260;100;940;75;8;80;8;6485;4290;1325;870;1,5;13741
"Oosterdokseiland";480;280;200;60;35;215;130;45;295;140;45;5;130;115;15;5;30;5;60;5;15;0;2;275;135;90;50;1,7;3842
"Scheepvaarthuisbuurt";755;375;380;60;125;290;165;105;525;170;45;15;210;50;0;0;10;5;35;5;8;5;7;490;315;115;60;1,5;14111
"Rapenburg";1070;510;565;105;250;385;235;95;795;220;50;15;385;205;10;10;25;20;140;5;6;5;2;695;450;145;95;1,5;11692
"Lastage";1070;555;520;100;120;400;310;150;770;215;75;15;275;115;10;10;10;5;80;10;9;5;6;705;450;165;95;1,5;20381
"Nieuwmarkt";1630;800;835;135;165;390;560;385;1040;320;215;55;400;225;5;15;65;5;135;5;4;35;20;1080;755;160;170;1,5;27479
"Uilenburg";1175;620;550;85;95;450;375;165;750;290;110;25;305;235;15;5;30;15;165;15;11;5;5;795;525;175;95;1,5;14555
"Valkenburg";1175;610;565;105;120;350;345;255;705;295;130;45;335;170;10;10;35;10;110;5;5;15;13;780;530;150;110;1,5;17278
"Zuiderkerkbuurt";1520;870;650;80;175;485;485;295;990;340;145;40;390;200;10;10;30;20;130;15;9;10;5;1055;730;195;130;1,4;22330
"Waterloopleinbuurt";890;470;420;80;90;310;265;150;595;195;75;20;235;145;10;10;25;5;90;10;11;5;3;600;395;130;75;1,5;7943
"Haarlemmerbuurt";9310;4655;4655;1045;815;3090;2885;1470;5935;2260;870;245;2230;1615;205;80;380;80;865;110;11;65;7;5670;3420;1260;995;1,6;17007
"Westerdokseiland";1905;980;930;295;125;565;575;345;1085;600;170;55;410;455;50;20;150;25;215;25;15;5;4;1005;465;305;235;1,9;11814
"Haarlemmerbuurt Oost";1465;720;745;125;130;545;440;220;990;300;130;40;365;185;20;5;40;5;115;20;14;5;4;990;685;180;125;1,5;15706
"Haarlemmerbuurt West";2490;1255;1230;245;240;835;760;410;1595;575;235;90;605;455;80;30;95;25;225;30;11;35;13;1480;880;340;260;1,6;22738
"Westelijke eilanden";2945;1440;1510;340;295;895;970;445;1870;740;280;60;705;430;50;15;70;20;275;25;8;15;5;1815;1110;370;335;1,6;19305
"Planciusbuurt Noord";355;180;180;25;20;205;80;30;295;30;25;10;115;60;5;5;10;5;25;5;8;0;0;260;195;50;20;1,3;19571
"Planciusbuurt Zuid";150;85;70;15;5;45;65;20;100;25;25;5;30;30;5;5;10;0;10;0;13;0;13;115;90;15;10;1,3;11765
"Jordaan";19440;9825;9610;1695;1830;7275;5510;3135;13325;3880;1760;475;4965;2640;315;170;455;190;1505;195;10;135;7;12985;8625;2590;1765;1,5;23289
"Driehoekbuurt";2720;1335;1380;240;270;1080;760;375;1890;540;235;50;695;330;30;20;50;20;210;35;12;20;7;1845;1220;380;245;1,5;27622
"Bloemgrachtbuurt";2980;1480;1500;310;280;1110;780;500;2000;660;260;60;800;370;40;30;45;40;220;35;11;20;7;1890;1175;410;300;1,6;26203
"Marnixbuurt Noord";1500;730;765;140;120;545;450;250;985;320;145;50;310;300;45;10;75;25;140;15;9;10;6;970;600;210;160;1,5;27067
"Zaagpoortbuurt";910;505;405;40;110;495;200;65;735;95;70;5;250;200;30;15;50;15;95;10;11;5;2;735;610;95;35;1,2;25844
"Marnixbuurt Midden";205;105;100;15;40;110;35;15;160;30;15;0;45;40;0;0;5;5;25;0;20;0;0;130;75;35;20;1,6;13280
"Elandsgrachtbuurt";4325;2185;2135;365;425;1615;1240;680;2920;880;430;100;1155;600;80;40;105;50;325;45;10;25;6;2890;1930;570;395;1,5;22913
"Passeerdersgrachtbuurt";860;440;415;65;60;310;255;165;600;165;65;25;235;105;10;15;15;10;55;5;8;10;7;595;400;120;70;1,5;18778
"Groenmarktkadebuurt";200;105;100;5;30;120;30;15;165;20;10;5;60;35;0;0;0;5;20;0;0;0;0;135;70;50;10;1,5;5649
"Marnixbuurt Zuid";655;370;285;35;40;245;135;200;405;115;80;55;180;100;15;5;15;5;55;5;8;25;38;495;385;80;25;1,3;15941
"Anjeliersbuurt Noord";2105;1065;1040;205;215;690;620;375;1415;465;175;60;510;205;30;10;20;10;135;25;10;20;8;1335;850;260;225;1,6;22236
"Anjeliersbuurt Zuid";2985;1495;1490;275;245;960;1000;500;2060;590;270;60;730;365;40;25;75;10;220;25;9;15;4;1970;1310;385;280;1,5;26979
"De Weteringschans";7235;3735;3500;695;870;3005;1745;925;5030;1610;455;140;2065;900;50;65;100;70;610;70;10;30;4;4675;2990;1055;630;1,5;13012
"Leidsebuurt Noordwest";250;140;115;10;20;155;50;20;190;40;15;0;85;40;0;5;0;0;40;5;12;0;0;195;145;45;5;1,3;10038
"Leidsebuurt Zuidwest";155;75;80;10;30;70;30;10;110;30;10;5;65;30;5;0;0;5;20;5;26;0;6;110;80;15;15;1,4;5745
"Leidsebuurt Noordoost";970;495;465;40;195;505;160;75;780;115;55;15;305;155;5;10;15;15;120;10;7;5;6;700;495;155;50;1,4;17974
"Leidsebuurt Zuidoost";310;175;145;30;40;115;85;40;220;65;20;10;80;55;5;5;15;0;35;5;13;0;3;205;140;40;25;1,5;7251
"Weteringbuurt";2410;1195;1215;280;235;1110;520;270;1740;515;125;30;710;270;25;15;20;25;180;25;11;10;4;1520;930;365;225;1,6;20307
"Den Texbuurt";1090;590;500;125;140;360;290;180;685;315;60;20;280;110;5;10;15;10;75;15;10;5;3;630;365;145;120;1,7;11444
"Utrechtsebuurt Zuid";1150;600;545;105;120;380;350;190;730;285;105;35;315;120;5;10;15;10;70;10;9;5;3;755;480;165;105;1,5;20242
"Frederikspleinbuurt";895;465;430;100;80;315;265;140;565;240;65;20;230;110;5;10;15;5;75;10;10;5;7;560;360;120;80;1,6;6585
"Weesperbuurt/Plantage";7865;4130;3730;670;1095;2910;2050;1140;5445;1575;655;185;2075;1270;140;60;250;75;755;65;8;80;11;4920;3245;1035;635;1,5;10125
"Weesperbuurt";3285;1705;1580;215;485;1200;815;575;2210;650;335;95;850;545;60;15;115;30;325;30;10;55;18;2195;1525;450;225;1,4;15500
"Sarphatistrook";2225;1230;995;195;290;930;610;200;1635;395;170;30;580;445;60;25;100;30;225;15;7;10;4;1250;800;275;180;1,6;12194
"Plantage";1960;985;970;205;295;615;525;325;1305;465;130;55;535;245;15;15;25;10;175;15;7;15;8;1230;775;265;185;1,6;5726
"Alexanderplein e.o.";390;210;185;50;35;170;95;35;295;65;25;10;105;35;0;5;0;0;25;0;8;5;3;245;155;45;40;1,6;9809
"Oostelijke Eilanden/Kadijken";13210;6610;6600;1505;1605;4320;3940;1845;8780;2920;1235;280;2665;3180;600;125;825;210;1420;150;11;95;7;7970;4800;1610;1555;1,6;13388
"Marine-Etablissement";85;50;35;10;0;30;30;5;60;20;10;0;10;15;0;0;0;0;15;0;12;0;0;40;20;10;10;1,8;485
"Kattenburg";1700;795;910;150;390;445;380;340;1050;430;165;55;330;370;65;15;115;25;150;15;10;10;5;1060;680;205;180;1,6;19019
"Wittenburg";2195;1120;1075;210;210;715;740;310;1465;440;250;40;405;650;95;30;215;45;270;20;10;15;5;1340;795;270;275;1,6;17652
"Oostenburg";1730;885;845;200;195;615;540;185;1135;390;175;30;305;600;125;20;170;55;230;25;14;10;5;1025;610;200;220;1,7;8572
"Czaar Peterbuurt";2320;1185;1135;270;260;1060;500;230;1685;380;210;45;455;655;155;20;160;25;300;35;15;40;16;1440;910;275;255;1,6;22309
"Het Funen";1385;700;690;310;190;390;390;115;900;380;85;20;335;310;75;10;45;20;160;15;11;5;3;670;310;150;215;2,1;18758
"Kazernebuurt";955;455;500;60;125;270;335;165;660;170;95;20;180;180;35;10;40;15;75;5;9;10;11;620;400;120;95;1,5;17397
"Kadijken";2850;1435;1420;295;225;795;1030;505;1830;715;245;55;640;395;50;25;75;20;225;25;8;15;5;1775;1075;385;310;1,6;16777
"Westelijk Havengebied";195;130;70;15;15;80;75;15;145;30;25;5;70;35;5;0;5;5;20;0;0;5;10;150;120;10;15;1,3;10
"Coenhaven/Mercuriushaven";20;10;10;0;0;10;5;0;15;5;5;0;5;5;0;0;0;0;0;0;0;0;0;15;10;5;5;1,6;17
"Alfa-driehoek";15;15;0;0;5;15;0;0;10;0;0;0;5;5;0;0;0;0;5;0;0;0;0;10;10;0;0;1,3;37
"Petroleumhaven";0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;
"Westhaven Noord";20;15;5;5;0;5;5;5;5;10;0;5;0;5;0;0;5;5;0;0;0;0;50;10;5;5;5;2;5
"Vervoerscentrum";5;0;5;0;0;5;0;0;5;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;0;5;0;4;
"Amerikahaven";110;75;40;10;5;40;55;5;90;5;15;0;50;10;0;0;0;0;10;0;0;0;9;95;85;0;5;1,1;16
"Afrikahaven";5;5;5;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;2;
"Westhaven Zuid";15;10;5;0;0;10;0;0;10;5;0;0;5;5;0;0;5;5;5;0;0;0;0;10;5;0;0;1,5;36
"Bedrijventerrein Sloterdijk";525;350;175;10;240;235;30;10;485;30;5;0;190;180;25;10;25;10;115;5;4;0;0;475;440;25;5;1,1;73
"Sloterdijk II";25;15;10;0;0;15;5;0;20;0;0;0;10;5;0;0;0;0;10;0;0;0;0;10;5;5;0;1,2;50
"Sloterdijk III Oost";5;0;0;0;0;0;5;0;0;0;5;0;0;5;0;0;0;0;0;0;0;0;0;5;0;0;0;1;
"Sloterdijk III West";80;60;15;0;40;20;10;5;60;10;0;0;20;35;10;0;15;0;10;0;13;0;0;65;50;10;0;1,3;37
"De Heining";25;15;10;5;0;10;10;10;15;15;0;0;10;0;0;0;0;0;0;0;0;0;0;15;10;5;0;1,8;28
"Teleport";395;255;135;5;190;190;5;0;385;10;5;0;150;135;10;10;5;10;100;5;3;0;0;385;380;10;0;1;463
"Bretten Oost";0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;
"Bretten West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Houthavens";1120;590;530;145;80;370;400;125;700;325;75;20;265;125;15;10;25;10;65;30;26;5;3;655;365;160;130;1,7;3411
"Houthavens West";455;240;215;80;40;200;115;20;305;130;15;0;110;50;5;10;0;5;30;20;53;0;4;245;125;60;65;1,9;1499
"Houthavens Oost";665;350;315;65;35;170;285;110;390;195;60;15;150;70;10;0;20;5;35;5;8;0;2;410;240;105;60;1,6;28636
"Spaarndammer- en Zeeheldenbuurt";10780;5355;5425;1455;955;4200;2865;1305;7360;2035;1110;280;1900;3385;865;140;850;250;1275;115;11;95;9;6270;3680;1200;1395;1,7;7890
"Zeeheldenbuurt";2035;980;1055;320;215;755;525;210;1435;380;190;35;395;670;200;15;160;30;265;25;12;10;5;1165;665;215;290;1,7;22226
"Spaarndammerbuurt Noordoost";2780;1390;1390;355;270;940;905;310;1840;555;320;65;450;1005;250;50;230;95;375;30;11;10;4;1680;1030;280;370;1,7;27863
"Spaarndammerbuurt Zuidoost";1025;500;525;135;75;405;280;130;695;215;95;25;190;270;70;10;70;20;95;5;7;5;5;615;355;140;120;1,7;20938
"Spaarndammerbuurt Zuidwest";1695;845;850;210;110;665;350;360;1115;300;185;95;325;390;60;25;120;30;160;20;11;45;28;955;605;175;175;1,6;22381
"Spaarndammerbuurt Midden";1230;630;600;165;115;535;300;110;880;220;110;15;210;370;85;20;90;25;155;10;10;10;9;720;420;150;150;1,7;21415
"Spaarndammerbuurt Noordwest";2010;1000;1005;265;170;890;505;175;1390;360;215;45;330;690;205;20;185;55;225;20;10;10;5;1130;615;240;285;1,8;16849
"Westergasfabriek";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Overbraker Binnenpolder";5;0;5;0;5;0;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1,5;
"Staatsliedenbuurt";13315;6680;6640;1570;1220;5800;3540;1190;9565;2485;1045;215;2910;3365;905;120;615;260;1455;170;13;50;4;8110;4865;1725;1520;1,6;28139
"De Wittenbuurt Noord";1395;695;695;185;115;585;345;150;950;300;115;25;285;355;100;15;50;40;155;15;9;5;4;840;515;165;160;1,7;21866
"De Wittenbuurt Zuid";915;450;470;80;105;240;335;150;585;220;95;20;185;245;75;10;45;10;105;5;4;10;7;560;340;115;110;1,6;25774
"Staatsliedenbuurt Noordoost";1245;630;615;125;95;360;385;285;715;285;170;70;225;430;110;5;105;35;170;5;6;15;12;775;475;155;145;1,6;21124
"Fannius Scholtenbuurt";3730;1885;1845;430;320;1760;980;235;2865;560;260;40;855;950;240;35;205;100;375;55;15;15;3;2370;1500;450;415;1,6;35903
"Westerstaatsman";2895;1445;1450;330;285;1515;650;110;2275;425;180;15;705;690;185;25;95;30;360;35;13;5;2;1840;1175;370;295;1,6;29427
"Buyskade e.o.";3145;1580;1565;415;290;1330;840;260;2180;700;220;40;655;700;200;35;120;55;290;50;16;10;3;1730;865;460;395;1,8;27823
"Centrale Markt";2425;1170;1255;310;325;730;810;255;1570;585;215;60;470;640;210;20;100;45;255;30;12;15;6;1240;610;245;390;1,9;4660
"Ecowijk";1345;635;705;195;220;305;515;100;885;320;120;25;260;300;105;10;45;15;125;15;11;10;5;625;260;115;255;2,1;21126
"Markthallen";10;5;5;0;0;5;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;2;39
"Bedrijvencentrum Westerkwartier";70;40;30;10;10;15;30;5;35;20;5;0;5;5;0;0;0;0;5;0;0;0;0;35;10;5;10;2,2;491
"Marcanti";1000;490;510;100;90;405;260;140;645;235;90;35;205;335;105;15;55;35;125;10;14;10;8;580;340;125;115;1,7;17171
"Frederik Hendrikbuurt";8440;4230;4205;875;695;3790;2095;980;5970;1580;695;200;1880;1810;500;75;240;155;840;100;12;90;10;5160;3165;1155;835;1,6;23520
"Frederik Hendrikbuurt Noord";3895;1895;2000;440;340;1765;930;420;2770;740;315;70;935;755;210;30;85;65;365;45;13;30;7;2380;1405;550;425;1,6;21297
"Frederik Hendrikbuurt Zuidoost";3300;1750;1545;315;250;1680;760;295;2455;540;255;45;715;800;190;40;115;70;385;40;12;30;9;2100;1390;440;270;1,5;29133
"Frederik Hendrikbuurt Zuidwest";1240;585;655;125;105;345;405;270;745;295;125;85;230;255;95;5;40;25;95;15;11;30;23;685;370;170;140;1,7;19859
"Da Costabuurt";4705;2355;2350;470;420;2155;1110;555;3360;910;340;95;1200;735;130;60;140;60;355;60;13;25;5;2925;1745;715;460;1,6;21646
"Da Costabuurt Noord";4705;2360;2350;470;415;2155;1110;560;3360;915;335;95;1200;735;125;55;140;60;350;60;13;20;5;2925;1745;720;460;1,6;21646
"Kinkerbuurt";6590;3350;3240;700;655;3295;1440;500;5030;990;490;80;1415;1555;440;70;280;195;570;100;16;30;5;3950;2460;855;640;1,6;26135
"Bellamybuurt Noord";2825;1495;1330;305;255;1310;720;240;2125;440;225;35;525;735;235;35;145;75;250;45;15;10;5;1505;885;335;280;1,6;29442
"Bellamybuurt Zuid";3765;1855;1910;395;400;1990;720;260;2905;545;265;40;895;820;205;40;135;120;320;60;16;20;4;2445;1570;520;355;1,5;24100
"Van Lennepbuurt";6990;3485;3505;685;690;2885;1780;950;4910;1265;635;180;1470;2090;615;60;405;230;785;65;9;55;7;4540;3005;830;700;1,5;28005
"Da Costabuurt Zuid";2230;1175;1050;215;225;1170;450;165;1755;320;125;25;605;385;70;15;65;30;210;20;9;5;2;1525;1050;280;195;1,5;30595
"Borgerbuurt";2885;1375;1510;290;290;835;840;625;1755;660;345;130;450;1210;415;25;255;150;365;20;6;40;14;1780;1155;300;325;1,6;25472
"Lootsbuurt";1880;935;945;175;175;890;485;155;1405;280;160;30;420;500;125;20;80;50;210;30;15;10;4;1230;800;255;180;1,5;29557
"Helmersbuurt";7410;3590;3825;885;795;2995;1930;805;5310;1465;525;105;1865;990;100;75;185;75;560;90;12;25;4;4585;2830;960;785;1,6;22124
"Helmersbuurt Oost";2625;1260;1365;345;315;1125;600;230;1870;585;140;20;705;280;20;25;40;20;180;35;14;5;2;1560;910;375;275;1,7;25286
"WG-terrein";2520;1230;1285;265;250;800;790;415;1700;510;245;55;565;420;60;25;105;40;190;20;8;15;5;1605;1045;295;270;1,6;15347
"Cremerbuurt Oost";2270;1105;1165;280;230;1070;540;155;1740;370;140;25;595;295;25;25;40;20;185;35;16;10;4;1415;880;290;250;1,6;33758
"Overtoomse Sluis";7890;3835;4055;885;750;3860;1715;680;5835;1410;525;115;2060;1065;120;65;165;100;615;125;16;25;3;4845;2910;1125;805;1,6;26482
"Cremerbuurt West";5680;2790;2890;625;475;2945;1225;415;4270;970;375;65;1525;795;110;45;105;85;455;100;18;20;3;3555;2155;830;575;1,6;28877
"Vondelparkbuurt West";2210;1045;1165;265;275;915;495;265;1570;440;145;50;535;265;15;15;60;15;160;30;13;10;5;1285;755;295;240;1,7;21826
"Vondelbuurt";1865;950;920;245;205;560;520;330;1185;455;155;75;540;270;45;15;45;15;150;15;7;30;16;1045;620;215;205;1,7;8592
"Vondelparkbuurt Oost";935;490;445;125;105;315;265;130;615;235;65;25;315;125;15;5;20;5;85;10;6;0;2;545;315;120;105;1,7;7460
"Vondelparkbuurt Midden";925;455;470;125;95;250;260;205;575;215;85;50;225;145;30;10;30;10;70;10;8;30;29;505;305;95;100;1,7;10155
"Zuidas";3705;2055;1645;330;620;2170;480;105;2740;850;105;5;1015;1360;55;40;95;85;1080;50;13;0;1;2635;1900;465;270;1,4;1747
"Zuidas Noord";455;255;195;40;20;320;50;15;330;110;10;0;115;160;0;5;0;10;140;5;11;0;0;295;180;80;25;1,5;564
"RAI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"VU-kwartier";160;90;70;15;15;95;25;10;120;35;0;0;40;75;0;0;0;10;60;0;0;0;6;115;100;15;10;1,3;348
"Zuidas Zuid";2110;1225;885;235;140;1300;355;85;1415;610;80;10;630;835;45;20;55;40;670;35;18;0;0;1350;830;320;200;1,6;9733
"Vivaldi";985;485;500;40;440;455;45;5;885;85;15;0;230;290;10;15;30;30;200;0;4;0;1;870;790;45;30;1,1;3391
"Oude Pijp";14825;7520;7305;1335;1800;7200;3220;1275;11240;2425;970;185;3795;2765;400;130;470;245;1520;155;10;55;4;9875;6505;2120;1250;1,5;23353
"Hemonybuurt";2570;1310;1260;310;310;1155;585;205;1915;490;145;25;630;375;45;25;65;25;215;25;11;5;2;1610;985;350;270;1,6;21978
"Gerard Doubuurt";1995;1015;975;170;230;925;480;185;1455;345;160;30;535;455;110;20;60;35;235;20;12;10;6;1355;910;270;175;1,5;20116
"Frans Halsbuurt";2615;1300;1315;240;270;1330;560;220;1980;420;175;35;735;450;50;25;60;45;275;35;13;10;4;1735;1130;385;220;1,5;23396
"Hercules Seghersbuurt";2580;1305;1275;215;335;1275;540;220;2000;385;165;30;600;600;105;30;105;75;290;20;8;5;2;1765;1205;350;205;1,5;32306
