"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Amsterdam";694300;42;34,5;39,7;25,2;35,1;50,2;18,2;11,2;12;16,1;19;12,1
"Burgwallen-Oude Zijde";3900;39;35,5;41,8;23,6;30,9;60;12,1;13;12,6;15,5;17,6;3,8
"Kop Zeedijk";1000;42,2;38,9;35,5;28,2;32,9;53,8;13,4;11,8;11,2;12,6;14,7;7,8
"Oude Kerk e.o.";600;35,2;33,2;45,8;19,6;28,4;66,7;11,7;17,1;16;20,7;23,1;2,2
"Burgwallen Oost";1400;33,8;30,3;45,3;19,3;28,1;63,5;10;14,1;14,6;17,7;19,8;3
"Nes e.o.";300;57,2;51,4;36,4;34,5;45,6;48,1;19,8;9,5;7;9,5;10,4;10
"BG-terrein e.o.";600;40,2;36,5;42,2;24,5;29,5;60,6;11,4;10,5;10,1;13,1;15,7;3,6
"Burgwallen-Nieuwe Zijde";3500;44,3;40,2;35,5;28,2;35,6;54,4;14,2;10,7;9,8;13;14,9;7
"Stationsplein e.o.";0;;;;;;;;;;;;
"Hemelrijk";500;43,4;39,7;32,4;29,1;34,1;52;12,7;10,6;10,6;12,1;13,3;12,7
"Nieuwendijk Noord";400;45,1;40,7;37,2;24,5;36,9;64,2;9,5;12,3;11,2;14,6;17,8;2,7
"Spuistraat Noord";700;43,7;40,1;35,7;29,2;34,7;48,3;15,9;9,7;9,1;11,6;14,2;8,2
"Nieuwe Kerk e.o.";700;40,7;36,5;36,9;26,7;33,1;51,6;15,5;11,4;8,8;12,4;13,1;6,3
"Spuistraat Zuid";600;48,4;44,1;37,2;30,4;41,7;55;17,2;13,5;12,1;16,5;17,8;7,8
"Begijnhofbuurt";400;39,7;37,7;34,1;25,6;30,2;63,5;10,5;8,2;9,6;12,5;15,7;6,6
"Kalverdriehoek";200;52;45,8;31,1;31,1;39,3;50,3;15,7;6,5;4,6;8,5;9,8;7,5
"Grachtengordel-West";5200;73,7;63,2;30,3;41,1;62,8;38,1;31,8;7,4;6,8;8;9,5;112
"Langestraat e.o.";1500;72,6;60,9;30,3;40,9;66,1;35,1;32,2;7;6,6;8;9,3;226,1
"Leliegracht e.o.";1400;70,6;60,5;32,4;39,9;60,3;40,6;31,7;8,1;6,9;7,7;9,7;69,7
"Felix Meritisbuurt";1700;76,8;67;28,6;41,9;63,9;38;31,2;7;6,7;8,1;9,3;79,8
