"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Leidsegracht Noord";600;75;64,5;30,6;42;56,6;40,4;32,9;8,2;7;8,5;10,1;76,9
"Grachtengordel-Zuid";4400;96,3;81,4;29;39,5;67,1;38,7;28,5;7,4;6,8;8,2;9,1;59,8
"Spiegelbuurt";600;70,2;58,6;26,7;41,6;53,8;36,2;31;7,9;6,9;7,4;8,6;125,1
"Gouden Bocht";100;;;22;46,6;;;;;;;;
"Van Loonbuurt";1200;90,2;76,3;31,4;38,7;73,1;36,2;31,1;6,4;6,4;7,6;8,8;139,3
"Amstelveldbuurt";1200;;;28,1;42;;37,7;30,8;7,5;6,1;8,4;9;200,2
"Rembrandtpleinbuurt";400;63,4;56,8;23,5;39,2;46;43;19,3;7;7,4;8,5;9,6;12,4
"Reguliersbuurt";300;40,5;36,2;39;22,7;33,1;58,1;14,6;13,7;13,7;14,2;14,7;1,9
"Leidsegracht Zuid";500;68,7;58,4;28,1;42,2;54,6;35,9;29,1;6;5,7;6,9;7,2;86
"Nieuwmarkt/Lastage";8100;48,4;42,5;36,7;30,5;38,8;51,1;18,8;10,1;12,1;15,8;18,3;26,6
"Oosterdokseiland";400;66,8;55,4;24,5;45,6;56;28,8;34,7;5,9;5;7,6;8,4;29,5
"Scheepvaarthuisbuurt";600;45,7;40,6;32,6;33,2;39,6;41,2;24,1;6,7;6,7;8;9,4;39,4
"Rapenburg";800;45,3;37,7;40,4;30,9;37,7;53,7;18,5;9,1;9,7;13,7;15,2;12,3
"Lastage";900;49,3;42,7;33,5;33,9;40;47,3;18,7;9,6;10,1;13,1;15,9;36
"Nieuwmarkt";1300;37,8;33,4;43,1;21,9;30,2;62,9;13,2;13,8;17,5;23;26,8;16,6
"Uilenburg";1100;58,1;51,6;35;35,7;44,8;46;23,4;10,7;11,9;16;17,6;47,1
"Valkenburg";1000;54;47;35,1;34,7;40,7;48,7;20,3;7,3;11,4;15,1;17;52,6
"Zuiderkerkbuurt";1300;47,1;42,5;38,7;26,5;38,1;54,6;17;12,6;14,6;18;21,8;21,6
"Waterloopleinbuurt";800;43,4;38,7;35,9;25,1;36,2;54;13,4;9,5;11;14;16,3;22,4
"Haarlemmerbuurt";7700;47,1;40,6;36;30;38,2;49,4;20,3;10,4;11,5;15,6;18,2;30,1
"Westerdokseiland";1500;58,5;48,6;32,4;40,7;47,6;32,7;33,5;6,6;9,6;11,7;14;137,3
"Haarlemmerbuurt Oost";1300;43,7;38,2;34,7;28,2;38;52,3;17,7;9;9,8;14,3;16,8;22
"Haarlemmerbuurt West";2000;47;40,7;36,9;28,6;37,8;52,4;18,1;12,3;12,8;17,3;20,1;20,6
"Westelijke eilanden";2400;44,4;38,1;36,9;27,8;35,8;50,1;19,3;10,3;11,2;15,8;18,1;41,1
"Planciusbuurt Noord";300;35,9;32,1;39;21,1;28;67;8,4;14,1;14,5;18,8;21,1;7,5
"Planciusbuurt Zuid";200;29,9;27,2;47,4;11,8;24,6;77,4;5,6;22,4;20,7;28,4;35,2;2,7
"Jordaan";16700;46,1;40,7;37,2;28;36,7;53,8;16,7;11,7;13,1;17;19,8;19,8
"Driehoekbuurt";2400;44,4;39,6;37;28;34,8;54,5;15,5;12,4;13,5;17,8;19,8;18,3
"Bloemgrachtbuurt";2500;51;43,8;34,5;32,9;39,8;47,2;20,2;8,8;11;14,3;16,8;32
"Marnixbuurt Noord";1300;38,8;34;42,1;21,8;31,1;61,2;13,8;13,3;15,5;20,2;24,9;9,5
"Zaagpoortbuurt";800;35,4;32,2;40,2;18,6;27,4;69,7;6,6;17,3;17;21,9;25,9;2,6
"Marnixbuurt Midden";200;50,5;45;30,7;38;46,9;37,6;22,4;5,2;5,2;6;7,8;40,7
"Elandsgrachtbuurt";3700;48;42,4;36,7;28,5;38,4;53,1;17,3;11,7;14;17,6;20,3;21,6
"Passeerdersgrachtbuurt";800;57,6;51,6;34,9;30,7;42,5;50,8;18,5;11,5;12,2;16,2;19,1;44
"Groenmarktkadebuurt";200;55,9;52,1;28,3;41,1;46,3;43,9;24,5;8,9;5,9;7,4;8,9;15,3
"Marnixbuurt Zuid";600;47,4;43,3;32,7;27;36,1;56,8;13,4;12,9;10,9;14,2;18,8;27,4
"Anjeliersbuurt Noord";1800;46,5;40,9;39,2;27,6;38,5;50,3;19,3;10,3;10,8;14,7;17,3;25,4
"Anjeliersbuurt Zuid";2600;41,8;37,2;38,7;26,3;35;55,5;16,1;12,2;14,1;18,5;21,4;23,1
"De Weteringschans";6100;58,2;49,8;29,9;38,2;48,7;41,7;25,8;7,7;7,8;9,9;11,5;42,3
"Leidsebuurt Noordwest";200;49,9;46;29,2;39,7;38,2;44,9;16,2;4,3;4,9;7,4;8;28,7
"Leidsebuurt Zuidwest";100;44,3;40,6;40,9;28,2;;;;;;;;
"Leidsebuurt Noordoost";900;46,5;41,9;34,7;30,2;37;49,1;17;8,1;7,5;9,7;10,8;8,4
"Leidsebuurt Zuidoost";200;50,6;43;35,2;34,5;39,9;46,1;19,3;11;12,2;14;14,6;32,6
"Weteringbuurt";2000;58,3;48,8;28;38,7;55,4;40,6;26,4;7,3;6,6;8,2;10,1;52
"Den Texbuurt";900;63;52,5;30;41,1;51,1;37,7;34,7;8,6;8,7;12,9;14,1;108,6
"Utrechtsebuurt Zuid";1000;56,3;48,1;31,3;36,7;44,7;43;24,8;7,6;9,2;11,2;13,3;61,5
"Frederikspleinbuurt";800;75,4;64,4;24,5;46,4;57,8;33;33,7;7,5;7,3;9,3;10,1;116,3
"Weesperbuurt/Plantage";5900;53,2;46,2;34,2;34,2;44,8;47,1;22,3;8,7;8,8;11,9;14;35,8
"Weesperbuurt";2500;49,1;44;35,7;32,4;37,8;51;19,7;9,9;10,4;14,2;16,7;24,3
"Sarphatistrook";1600;53;46;36,5;31,3;40,4;49,6;21,4;9,6;9,6;13,2;15,3;22,9
"de Plantage";1400;60,2;50,4;30,9;38,6;63,1;39,2;27,2;5,8;5;7;8,8;168
"Alexanderplein e.o.";300;54,8;45,4;26,2;42,8;42,2;37,4;26,4;8,3;8,8;9,7;10,1;106,9
"Oostelijke Eilanden/Kadijken";11200;40,3;34,7;40;25,3;32,9;53,6;16,6;11,9;12,9;17,2;20,3;16,8
"Marine-Etablissement";100;;;;;;;;;;;;
"Kattenburg";1400;30,2;26,4;49,9;16,8;25,4;63,3;12,1;10,1;12,6;17,7;21,5;5,1
"Wittenburg";1900;37,3;32,4;39,5;22,7;31,7;54,3;14,2;11,2;13,1;18,1;21,1;17
"Oostenburg";1500;38,7;33,5;42;23;32;55,9;16,1;15;16,1;20,8;23,8;11,4
"Czaar Peterbuurt";2000;39,5;34,2;39,7;25,4;31,4;55,9;14,3;14,4;14,4;18,5;22,1;7,1
"Het Funen";1000;56,3;42,8;33,2;39,4;41,7;35,1;35,7;5,9;5,9;9,4;11,6;346,9
"Kazernebuurt";800;41,1;37,6;39,2;23,5;32,8;55;11,6;13,5;13,5;19;22,3;14,6
"Kadijken";2500;43,3;38;36,9;28,3;36,2;51,1;17,7;11,1;11,9;15,3;18,5;34,8
"Westelijk Havengebied";100;27;24,8;47,3;14,5;;;;;;;;
"Coenhaven/Mercuriushaven";100;;;;;;;;;;;;
"Alfa-driehoek";0;;;;;;;;;;;;
"Petroleumhaven";0;;;;;;;;;;;;
"Westhaven Noord";0;;;;;;;;;;;;
"Vervoerscentrum";0;;;;;;;;;;;;
"Amerikahaven";0;;;;;;;;;;;;
"Afrikahaven";0;;;;;;;;;;;;
"Westhaven Zuid";0;;;;;;;;;;;;
"Bedrijventerrein Sloterdijk";700;25,9;24,6;52,3;9;20,3;84,5;2;19,8;15,1;21,4;24,3;0
"Sloterdijk II";0;;;;;;;;;;;;
"Sloterdijk III Oost";0;;;;;;;;;;;;
"Sloterdijk III West";100;16,7;15,8;75;4,8;;;;;;;;
"De Heining";0;;;;;;;;;;;;
"Teleport";600;27,4;26,1;48;9,7;21,1;83,8;1,7;16,7;11,7;17,5;20,5;0
"Bretten Oost";0;;;;;;;;;;;;
"Bretten West";0;;;;;;;;;;;;
"Houthavens";2800;76,1;58,1;18,6;54,9;59;22,7;47,7;4,7;4,5;5,2;6,2;332,5
"Houthavens West";2200;82,5;61,3;16,3;59,4;63,9;18,3;53,3;3,6;3,4;3,9;4,7;330,7
"Houthavens Oost";600;50,6;43,7;27,5;37,1;42;37,6;28,4;8,4;8,2;9,7;11,6;377,6
"Spaarndammer- en Zeeheldenbuurt";8700;36,4;30,9;41,3;21,7;30,2;56,9;12,5;15,1;15,9;20,8;24,4;6,8
"Zeeheldenbuurt";1500;37,6;31,8;38,7;23,5;31,7;50,8;12,6;12;13,5;17,3;20,7;14
"Spaarndammerbuurt Noordoost";2300;32,9;27,9;46,2;18,3;27,6;62,7;10,5;18,8;18,2;25;29,3;4,6
"Spaarndammerbuurt Zuidoost";900;38,2;32,6;40,7;22,6;32,1;54,1;13,5;11,2;12,4;17;20,3;11,2
"Spaarndammerbuurt Zuidwest";1300;41,3;35;39;26,6;32,3;54,9;14,8;13,8;17,2;21,5;25,1;11,2
"Spaarndammerbuurt Midden";1100;36,4;30,8;41;21,5;29,7;58,8;11,7;14,1;15;19,5;23,2;4,8
"Spaarndammerbuurt Noordwest";1600;35,3;29,9;39,4;20,6;30,2;56,1;13,3;16,3;16,1;19,8;23,4;3,7
"Westergasfabriek";0;;;;;;;;;;;;
"Overbraker Binnenpolder";0;;;;;;;;;;;;
"Staatsliedenbuurt";11000;42,4;36,6;37,7;28,4;34,4;50,5;16,3;12,9;14;18,3;21,4;15,7
"De Wittenbuurt Noord";1100;42;35,4;38,1;27,7;34,1;54,3;17,3;12,2;12,6;17,1;20,3;13,1
"De Wittenbuurt Zuid";700;33,1;29,4;48,3;17,5;28,8;63,3;8,9;18,2;20,9;28,3;30,6;11,4
"Staatsliedenbuurt Noordoost";1100;32,1;28,6;45,7;17;27,6;63,1;9,7;14,5;19,8;25,8;30,7;7
"Fannius Scholtenbuurt";3100;43,6;37,6;38,2;26,9;34,2;52,3;13,7;15,1;14,9;18,8;22,3;15
"Westerstaatsman";2400;45,5;39,6;34,4;32,2;36,5;46,7;16,7;11,5;11,5;15,2;18,2;18,4
"Buyskade e.o.";2600;45,1;38,5;33,2;34,7;37,5;40,1;24,4;9,2;11,2;14,4;16,8;30
"Centrale Markt";2000;42,4;35,7;35,6;29,2;36,3;41,5;22,2;9,2;11,2;14,3;16,8;46,5
"Ecowijk";1000;41;34;34,9;30,7;36,8;33,1;25,9;8,1;9;12;14,4;140,9
"Markthallen";0;;;;;;;;;;;;
"Bedrijvencentrum Westerkwartier";100;;;;;;;;;;;;
"Marcanti";900;44,6;38,7;35,7;27,8;36;50;18,5;10,1;13,9;17;19,7;17,6
"Frederik Hendrikbuurt";7000;44,6;39;34,7;30,3;35,2;49,7;17,6;12,5;13,3;17,3;19,8;16,5
"Frederik Hendrikbuurt Noord";3300;43,2;37,7;34,7;29,7;34,6;49,7;18,3;11,4;12,9;16,7;19;15,3
"Frederik Hendrikbuurt Zuidoost";2700;45,8;40,2;34,2;31;35;51,2;15,9;14,9;14,4;19,1;21,4;12,9
"Frederik Hendrikbuurt Zuidwest";1000;45,6;40;35,5;30,9;37,7;45,5;19,6;9,4;11,1;14,4;17,3;43,5
"Da Costabuurt";4000;48,5;42,4;31,7;34,1;38,2;46,5;21,7;8,8;10,1;12,9;15,6;27
"Da Costabuurt Noord";4000;48,5;42,4;31,7;34,1;38,2;46,5;21,7;8,8;10,1;12,9;15,6;27
"Kinkerbuurt";5400;46,3;40,2;33,2;31,3;36;49,3;19,8;11,2;11,6;14,8;17,3;11,6
"Bellamybuurt Noord";2000;44,5;38;36;29,8;35,1;51,5;19,5;12;12,6;16,6;19,8;10,5
"Bellamybuurt Zuid";3400;47,4;41,6;31,6;32,2;36,5;48;20;10,7;11;13,7;15,9;12,1
"Van Lennepbuurt";6000;39,3;34,4;41,9;24,4;31,9;57,9;12,9;14,8;17;22,1;25,9;8,9
"Da Costabuurt Zuid";1900;46,8;41;32,7;32,7;36,2;48,4;16,7;9,8;10,3;12,7;15,3;16,5
"Borgerbuurt";2500;31,3;27,4;51,2;16,6;27,2;65,9;8,9;17,1;21,7;28,7;33,7;6,3
"Lootsbuurt";1600;42,7;37,6;38,2;26,4;33,5;57,6;14,1;17,2;17,8;23,1;26,7;6,9
"Helmersbuurt";6300;55,1;46,9;31,7;36,1;41,5;44,7;24,1;9,6;10,1;12,9;15,2;32,2
"Helmersbuurt Oost";2100;61,3;51;26,9;41,4;46,8;36,1;29,3;5,7;5,6;7,4;9;57,6
"WG-terrein";2300;46,3;40,4;38,6;29;36,4;55;19;14,2;15,2;19,8;22,8;20,2
"Cremerbuurt Oost";1900;58,5;49,8;28,9;38,5;41,9;41,3;24,8;8,1;8,6;10,3;12,3;32,4
"Overtoomse Sluis";6600;54,1;46,6;28,8;37,7;41,5;43,9;24,4;8,5;8,8;11,3;13,3;31,3
"Cremerbuurt West";4900;52,8;46;28,6;37,4;41,4;43,5;23,1;8,6;8,6;11,4;13,4;26,8
"Vondelparkbuurt West";1800;57,8;48,2;29,3;38,5;41,7;44,9;27,9;8;9,4;11;13,1;44,7
"Vondelbuurt";1400;78,9;64,8;33,7;36,7;73,3;40,7;31,8;8,2;8,1;10,9;12,3;71,2
"Vondelparkbuurt Oost";700;94;77,4;30,8;41,6;82,3;35,7;34,7;8,2;7,1;8,7;9,3;186,5
"Vondelparkbuurt Midden";700;64;52,4;36,5;32;64;46,1;28,8;8,2;9,2;13,1;15,3;38,4
"Zuidas";3000;85,1;69,5;25,9;49,1;55;41,9;30,7;4;2,9;4,4;5,7;9,5
"Zuidas Noord";300;76,5;60,8;10,6;63;54,5;20,2;50,7;0;0,5;1;1;40,3
"RAI";0;;;;;;;;;;;;
"VU-kwartier";100;;47;;;;;;;;;;
"Zuidas Zuid";1900;108;86,4;15,2;59,9;74,3;21,7;41,2;3,1;2,3;3;3,7;33,4
"Vivaldi";700;33,3;29,1;60,7;15,2;21,1;85,2;6;9,8;6,2;12;16,6;-5,1
"Oude Pijp";12600;48,4;42,6;34;31,5;37;52;18,1;10,9;11,2;15;17,3;12,3
"Hemonybuurt";2200;54,5;46,4;29,3;38,4;41;44,8;26;8;8,5;11;12,9;29,6
"Gerard Doubuurt";1700;48,4;42,6;38,4;30,4;38,5;54,8;16,1;13,5;13,8;19,5;22,2;10,5
"Frans Halsbuurt";2200;54,7;47,5;31,9;35,6;41,2;48,1;21,1;10;10,4;13,4;15,6;23,5
"Hercules Seghersbuurt";2300;41,8;37,4;36,4;26,4;31,9;58;13,1;13,2;12,8;17,2;19,5;5,5
"Sarphatiparkbuurt";4300;45,5;40,6;34,5;29;34,9;53,1;16,1;10,5;11,1;14,9;17,2;9,7
"Nieuwe Pijp";10700;47,6;41,9;34,5;31,3;36,4;50,9;19;10,7;12,1;15,6;18,7;14,7
"Willibrordusbuurt";2300;43,2;38,9;39,9;26,3;33,3;59,2;16,2;12,6;14,5;19,7;23,8;9
"Van der Helstpleinbuurt";3300;51,6;45,1;30,5;34,2;38,9;47;20,2;10,7;11;14,3;16,5;15,6
"Lizzy Ansinghbuurt";2000;45;39,2;37,2;28,9;35,3;50,4;18,3;11,1;12,9;16,6;19,8;13,9
"Cornelis Troostbuurt";3000;48,3;42,2;32,9;33,4;36,9;48,8;20,3;9;10,9;13,2;16,5;22,2
"Zuid Pijp";6800;33,1;28,3;47,2;18,6;28,6;60,9;11,2;17;19,5;26,1;30;5,7
"Diamantbuurt";2600;32,8;27,7;48,6;18,2;28,8;60,7;11,8;17,7;20,6;27,2;30,6;4,5
"Burgemeester Tellegenbuurt Oost";2300;34,7;29,7;45,3;20,2;29,5;59,7;12,2;16,8;18,6;24,9;28,4;6,9
"Burgemeester Tellegenbuurt West";1900;31,8;27,5;47,5;17,3;27,1;62,6;9,3;16,3;19,1;26,1;31;5,9
"Weesperzijde";4700;54,2;45,9;30,2;38,9;42,2;42,7;26,8;8,5;8,7;11,9;13,7;30,2
"Swammerdambuurt";1700;61,8;52,7;27;42,9;44,9;40,5;29,7;7;6,7;9,1;10,9;58
"Weesperzijde Midden/Zuid";2700;52,5;44,7;29,1;39,2;43,6;39,7;27,7;8,5;9,2;12,5;14,3;32,9
"Parooldriehoek";300;21,5;17,1;62,2;8,3;15,6;80,3;3,7;22,1;20,5;27;28,7;0,3
"Oosterparkbuurt";8900;40,3;34,2;40,6;26,4;32,6;54,7;16,3;14,4;15,9;20,8;23,9;9,6
"Oosterparkbuurt Noordwest";3200;39,9;35,1;39,1;26,1;31,7;56,9;14,1;13,2;14,5;19,3;22,4;8,4
"Oosterpark";100;30,2;29,2;50;14,8;;;;;;;;
"Oosterparkbuurt Zuidoost";3000;44,5;37,2;37,1;30,8;36,2;48,3;21,3;11,3;13,3;17,1;19,7;21,6
"Oosterparkbuurt Zuidwest";2600;36;29,9;46,3;22;30;57,9;14,2;18,8;20,3;26,6;30;4,8
"Dapperbuurt";8200;38,3;32,6;42,6;24,1;31,9;55,2;15,9;14;15,6;21,2;24,3;7,1
"Dapperbuurt Noord";3500;35,4;30,5;44,1;21,7;30,5;55,6;13,7;13,7;15,5;21,7;25,1;6,3
"Dapperbuurt Zuid";3200;36;31,3;44,4;21;30,5;59,8;13,4;15,3;16,8;22,5;25,4;4,6
"Oostpoort";1500;50,5;40,2;34,9;36,2;38,5;42,9;27,5;11,5;13,2;17,3;19,8;44
"Transvaalbuurt";7500;34,7;28,9;44,4;21,4;30;54,3;14,6;14,5;16;21,3;24,5;5,8
"Transvaalbuurt West";3400;34,4;29,2;44,8;21,4;29,7;55,9;13,9;15,9;17,3;22,9;26,1;5,6
"Transvaalbuurt Oost";4100;35;28,7;44,1;21,4;30,3;52,9;15,1;13,3;14,9;19,8;23,1;6
"Indische Buurt West";10400;35,2;29,6;43,6;22,2;30;53,3;14,4;14,6;15,6;20,6;24,4;6,3
"Noordwestkwadrant Indische buurt Noord";3200;40,3;33,7;36,2;27,8;32,1;50,7;16;12,2;13,4;17,1;20,5;9,7
"Noordwestkwadrant Indische buurt Zuid";3900;36,5;31,3;41,4;24,3;30,7;51,2;16;13,5;13,8;18,3;21,8;6,8
"Zuidwestkwadrant Indische buurt";3300;28,8;23,8;53,5;14,2;26,7;59;10,6;18,6;20,1;27,1;32;3,3
"Indische Buurt Oost";8000;31,3;26,2;49,4;17,3;28,3;57,1;11,8;16,1;18,8;25;29,1;4
"Noordoostkwadrant Indische buurt";4700;30,1;25,5;50,4;16,3;27,3;59,9;10,4;16,8;20,9;27,6;31,2;3,3
"Zuidoostkwadrant Indische buurt";2900;30,4;25;49,7;16,8;28,2;55,1;11,7;15,7;17;22,2;27,5;3,6
"Zeeburgerdijk Oost";300;53,6;45,5;31,5;36,4;44,3;30,3;33,2;7,7;6,1;9,2;11,7;256,5
"Flevopark";0;;;;;;;;;;;;
"Oostelijk Havengebied";15400;51,2;42,5;29,8;38,7;43,5;31,3;31,1;6,9;6,8;9,1;10,8;84,9
"Oostelijke Handelskade";1100;65,7;54,1;24,5;49,8;62,5;22,4;36,4;5,6;4,7;7,7;9,2;43,7
"Rietlanden";2000;53,2;44,1;29,4;40,6;44,5;32;32;4,9;5,4;8,1;10;57,9
"Java-eiland";2600;54,2;45,7;26;42,4;44,6;28;33,4;4,8;4,5;5,9;7,3;94,3
"KNSM-eiland";2100;49,9;43,4;28,6;35,6;41,7;33;25,5;7,4;7,7;9,8;11,5;189,2
"Sporenburg";2200;53,6;42,9;28,8;42,9;46,9;21,9;44,9;4,5;3,6;4,8;6,2;238,1
"Borneo";2100;49,7;38,4;32,9;39,1;42,1;26,4;37,6;7,3;7,7;9,4;10,9;105,5
"Entrepot-Noordwest";1200;39,5;33,6;38,2;24,2;34,7;45,9;17;10,6;10,8;15,2;18,1;14,8
"Architectenbuurt";1500;41,8;36,7;34,7;30,3;35,8;41,7;18,8;11,1;11,4;14,4;17,3;116,3
"Bedrijvengebied Veelaan";0;;;;;;;;;;;;
"Bedrijvengebied Cruquiusweg";500;54,3;46;21,6;45,3;39,4;37,7;31,8;8,9;7,8;10;10,3;3,9
"Bedrijvengebied Zeeburgerkade";100;38,2;31,6;40;23,8;;;;;;;;
"Zeeburgereiland/Nieuwe Diep";3800;40,2;32,7;39,7;29,4;30,3;52,6;16,8;9,2;7,4;12;14,6;2,2
"Zeeburgereiland Noordwest";0;;;;;;;;;;;;
"Zeeburgereiland Zuidoost";300;12,2;10,9;84,3;1,7;10,1;96,6;0,6;;;;;-3,5
"Zeeburgereiland Zuidwest";200;17,3;15,8;74;5,5;13,6;86,6;1,6;;;;;-5,4
"Nieuwe Diep/Diemerpark";100;;;;;;;;;;;;
"RI Oost terrein";3100;44,8;35,9;32,4;34,2;34,9;42,5;20,3;8,8;7,2;11,6;13,8;6,1
"Zeeburgereiland Noordoost";0;;;;;;;;;;;;
"IJburg West";11500;50,1;37,1;35,2;36,7;42,8;28,4;36;6,7;6,5;9,5;11,5;67,3
"Steigereiland Noord";1200;48,7;36,1;33;37,2;39,8;29,5;32,2;6,6;5,1;8,6;11,4;20,9
"Steigereiland Zuid";1900;48,8;34,9;38,2;36,2;42,9;28;41,7;7,4;7,3;10,6;12,8;281,2
"Haveneiland Zuidwest/Rieteiland West";2100;63,8;47,4;33,1;44,9;61,7;14,2;56,2;4,4;3,3;4,3;5;464,7
"Haveneiland Noordwest";2200;46,2;36,1;35,2;33,2;37,2;38,5;25,4;7,8;7,9;12,2;14,6;16,5
"Haveneiland Noordoost";4200;46,3;33,9;35,7;34,9;38,9;28,3;32,6;6,9;7,2;10;12,1;49,2
"Sloterdijk";400;53,7;46,2;22,2;44,8;40,3;30,4;28,7;12,8;12,5;14,6;14,9;12,8
"Woon- en Groengebied Sloterdijk";400;59,2;50;13,9;50,5;45,9;18,3;33,7;2,9;2,5;2,9;3,4;22,4
"Bedrijventerrein Sloterdijk I";100;;;;;;;;;;;;
"Landlust";15400;36,1;29,7;40,7;23;30,9;52,1;14,6;13;13,8;18,3;21,3;6,1
"Bedrijventerrein Landlust";500;48,7;44,6;22,1;35,4;37,9;43;18,7;3,5;5;7,1;8,2;22,9
"Bosleeuw";4500;31,6;25,6;46,5;18,2;28,7;54,1;13,2;12,8;13,3;17,6;20,7;4,2
"Landlust Zuid";3400;41,6;34,7;36,7;29,7;34;48;19,5;13,2;14,7;19,3;22,3;11,8
"Erasmusparkbuurt Oost";1500;42,5;33,6;36,4;30,6;34,3;47,2;22,7;9,4;9,9;14,1;16,7;14,9
"Gibraltarbuurt";3500;33,5;27,9;42,1;19,2;28,4;57,5;9,7;16;16,7;22;24,8;2,7
"Landlust Noord";1900;33,8;27,4;40,2;20,3;30,3;50,8;11,3;12,7;12,7;17,7;21,1;5,8
"Erasmuspark";4900;41,4;35,4;31,7;29,9;34,6;43,4;18,2;7,5;8,4;11,3;13,4;25,5
"Erasmusparkbuurt West";3500;42,2;36,1;29,7;31,3;35,1;41,2;18,6;6,5;7,4;9,8;11,6;38,6
"Robert Scottbuurt Oost";1500;39,7;33,7;36,5;26,5;33,3;48,6;17,3;9,8;10,8;14,9;17,7;8,8
"De Kolenkit";8300;32,7;25,6;45,7;20;28,6;53,2;13,9;13,9;14,1;19,2;23;2,9
