"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.1.1 Diefstal/inbraak woning";"2019";"Planciusbuurt-Zuid";"       1"
"1.1.1 Diefstal/inbraak woning";"2020";"Planciusbuurt-Zuid";"       0"
"1.1.1 Diefstal/inbraak woning";"2021";"Planciusbuurt-Zuid";"       0"
"1.1.1 Diefstal/inbraak woning";"2022";"Planciusbuurt-Zuid";"       0"
"1.1.1 Diefstal/inbraak woning";"2023";"Planciusbuurt-Zuid";"       0"
"1.1.1 Diefstal/inbraak woning";"2012";"Haarlemmerbuurt-West";"      14"
"1.1.1 Diefstal/inbraak woning";"2013";"Haarlemmerbuurt-West";"      24"
"1.1.1 Diefstal/inbraak woning";"2014";"Haarlemmerbuurt-West";"      13"
"1.1.1 Diefstal/inbraak woning";"2015";"Haarlemmerbuurt-West";"      12"
"1.1.1 Diefstal/inbraak woning";"2016";"Haarlemmerbuurt-West";"      10"
"1.1.1 Diefstal/inbraak woning";"2017";"Haarlemmerbuurt-West";"      10"
"1.1.1 Diefstal/inbraak woning";"2018";"Haarlemmerbuurt-West";"       4"
"1.1.1 Diefstal/inbraak woning";"2019";"Haarlemmerbuurt-West";"      14"
"1.1.1 Diefstal/inbraak woning";"2020";"Haarlemmerbuurt-West";"       7"
"1.1.1 Diefstal/inbraak woning";"2021";"Haarlemmerbuurt-West";"       7"
"1.1.1 Diefstal/inbraak woning";"2022";"Haarlemmerbuurt-West";"      10"
"1.1.1 Diefstal/inbraak woning";"2023";"Haarlemmerbuurt-West";"       7"
"1.1.1 Diefstal/inbraak woning";"2012";"Haarlemmerbuurt-Oost";"       7"
"1.1.1 Diefstal/inbraak woning";"2013";"Haarlemmerbuurt-Oost";"       6"
"1.1.1 Diefstal/inbraak woning";"2014";"Haarlemmerbuurt-Oost";"       9"
"1.1.1 Diefstal/inbraak woning";"2015";"Haarlemmerbuurt-Oost";"       8"
"1.1.1 Diefstal/inbraak woning";"2016";"Haarlemmerbuurt-Oost";"      10"
"1.1.1 Diefstal/inbraak woning";"2017";"Haarlemmerbuurt-Oost";"       8"
"1.1.1 Diefstal/inbraak woning";"2018";"Haarlemmerbuurt-Oost";"       4"
"1.1.1 Diefstal/inbraak woning";"2019";"Haarlemmerbuurt-Oost";"      17"
"1.1.1 Diefstal/inbraak woning";"2020";"Haarlemmerbuurt-Oost";"      11"
"1.1.1 Diefstal/inbraak woning";"2021";"Haarlemmerbuurt-Oost";"       5"
"1.1.1 Diefstal/inbraak woning";"2022";"Haarlemmerbuurt-Oost";"       6"
"1.1.1 Diefstal/inbraak woning";"2023";"Haarlemmerbuurt-Oost";"       3"
"1.1.1 Diefstal/inbraak woning";"2012";"Jordaan";"     134"
"1.1.1 Diefstal/inbraak woning";"2013";"Jordaan";"      99"
"1.1.1 Diefstal/inbraak woning";"2014";"Jordaan";"     102"
"1.1.1 Diefstal/inbraak woning";"2015";"Jordaan";"     129"
"1.1.1 Diefstal/inbraak woning";"2016";"Jordaan";"      73"
"1.1.1 Diefstal/inbraak woning";"2017";"Jordaan";"      98"
"1.1.1 Diefstal/inbraak woning";"2018";"Jordaan";"      80"
"1.1.1 Diefstal/inbraak woning";"2019";"Jordaan";"     119"
"1.1.1 Diefstal/inbraak woning";"2020";"Jordaan";"     115"
"1.1.1 Diefstal/inbraak woning";"2021";"Jordaan";"      55"
"1.1.1 Diefstal/inbraak woning";"2022";"Jordaan";"      62"
"1.1.1 Diefstal/inbraak woning";"2023";"Jordaan";"      58"
"1.1.1 Diefstal/inbraak woning";"2012";"Marnixbuurt-Noord";"      14"
"1.1.1 Diefstal/inbraak woning";"2013";"Marnixbuurt-Noord";"       5"
"1.1.1 Diefstal/inbraak woning";"2014";"Marnixbuurt-Noord";"      11"
"1.1.1 Diefstal/inbraak woning";"2015";"Marnixbuurt-Noord";"      12"
"1.1.1 Diefstal/inbraak woning";"2016";"Marnixbuurt-Noord";"       6"
"1.1.1 Diefstal/inbraak woning";"2017";"Marnixbuurt-Noord";"       3"
"1.1.1 Diefstal/inbraak woning";"2018";"Marnixbuurt-Noord";"       4"
"1.1.1 Diefstal/inbraak woning";"2019";"Marnixbuurt-Noord";"      15"
"1.1.1 Diefstal/inbraak woning";"2020";"Marnixbuurt-Noord";"       6"
"1.1.1 Diefstal/inbraak woning";"2021";"Marnixbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2022";"Marnixbuurt-Noord";"       4"
"1.1.1 Diefstal/inbraak woning";"2023";"Marnixbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2012";"Driehoekbuurt";"      21"
"1.1.1 Diefstal/inbraak woning";"2013";"Driehoekbuurt";"      14"
"1.1.1 Diefstal/inbraak woning";"2014";"Driehoekbuurt";"      12"
"1.1.1 Diefstal/inbraak woning";"2015";"Driehoekbuurt";"      29"
"1.1.1 Diefstal/inbraak woning";"2016";"Driehoekbuurt";"       4"
"1.1.1 Diefstal/inbraak woning";"2017";"Driehoekbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2018";"Driehoekbuurt";"       7"
"1.1.1 Diefstal/inbraak woning";"2019";"Driehoekbuurt";"      12"
"1.1.1 Diefstal/inbraak woning";"2020";"Driehoekbuurt";"      12"
"1.1.1 Diefstal/inbraak woning";"2021";"Driehoekbuurt";"      10"
"1.1.1 Diefstal/inbraak woning";"2022";"Driehoekbuurt";"       7"
"1.1.1 Diefstal/inbraak woning";"2023";"Driehoekbuurt";"       5"
"1.1.1 Diefstal/inbraak woning";"2012";"Anjeliersbuurt-Noord";"      11"
"1.1.1 Diefstal/inbraak woning";"2013";"Anjeliersbuurt-Noord";"      12"
"1.1.1 Diefstal/inbraak woning";"2014";"Anjeliersbuurt-Noord";"       7"
"1.1.1 Diefstal/inbraak woning";"2015";"Anjeliersbuurt-Noord";"       8"
"1.1.1 Diefstal/inbraak woning";"2016";"Anjeliersbuurt-Noord";"       8"
"1.1.1 Diefstal/inbraak woning";"2017";"Anjeliersbuurt-Noord";"      11"
"1.1.1 Diefstal/inbraak woning";"2018";"Anjeliersbuurt-Noord";"       9"
"1.1.1 Diefstal/inbraak woning";"2019";"Anjeliersbuurt-Noord";"      11"
"1.1.1 Diefstal/inbraak woning";"2020";"Anjeliersbuurt-Noord";"      13"
"1.1.1 Diefstal/inbraak woning";"2021";"Anjeliersbuurt-Noord";"       5"
"1.1.1 Diefstal/inbraak woning";"2022";"Anjeliersbuurt-Noord";"       2"
"1.1.1 Diefstal/inbraak woning";"2023";"Anjeliersbuurt-Noord";"       5"
"1.1.1 Diefstal/inbraak woning";"2012";"Zaagpoortbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2013";"Zaagpoortbuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2014";"Zaagpoortbuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2015";"Zaagpoortbuurt";"       6"
"1.1.1 Diefstal/inbraak woning";"2016";"Zaagpoortbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2017";"Zaagpoortbuurt";"      10"
"1.1.1 Diefstal/inbraak woning";"2018";"Zaagpoortbuurt";"       7"
"1.1.1 Diefstal/inbraak woning";"2019";"Zaagpoortbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2020";"Zaagpoortbuurt";"       8"
"1.1.1 Diefstal/inbraak woning";"2021";"Zaagpoortbuurt";"       3"
"1.1.1 Diefstal/inbraak woning";"2022";"Zaagpoortbuurt";"       2"
