"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"1.3.1 Ongevallen (weg)";"2022";"Planciusbuurt-Zuid";"       2"
"1.3.1 Ongevallen (weg)";"2023";"Planciusbuurt-Zuid";"       0"
"1.3.1 Ongevallen (weg)";"2012";"Haarlemmerbuurt-West";"      16"
"1.3.1 Ongevallen (weg)";"2013";"Haarlemmerbuurt-West";"      15"
"1.3.1 Ongevallen (weg)";"2014";"Haarlemmerbuurt-West";"       9"
"1.3.1 Ongevallen (weg)";"2015";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2016";"Haarlemmerbuurt-West";"      12"
"1.3.1 Ongevallen (weg)";"2017";"Haarlemmerbuurt-West";"       9"
"1.3.1 Ongevallen (weg)";"2018";"Haarlemmerbuurt-West";"      17"
"1.3.1 Ongevallen (weg)";"2019";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2020";"Haarlemmerbuurt-West";"       8"
"1.3.1 Ongevallen (weg)";"2021";"Haarlemmerbuurt-West";"       9"
"1.3.1 Ongevallen (weg)";"2022";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2023";"Haarlemmerbuurt-West";"      11"
"1.3.1 Ongevallen (weg)";"2012";"Haarlemmerbuurt-Oost";"      10"
"1.3.1 Ongevallen (weg)";"2013";"Haarlemmerbuurt-Oost";"      19"
"1.3.1 Ongevallen (weg)";"2014";"Haarlemmerbuurt-Oost";"      14"
"1.3.1 Ongevallen (weg)";"2015";"Haarlemmerbuurt-Oost";"       8"
"1.3.1 Ongevallen (weg)";"2016";"Haarlemmerbuurt-Oost";"      17"
"1.3.1 Ongevallen (weg)";"2017";"Haarlemmerbuurt-Oost";"      16"
"1.3.1 Ongevallen (weg)";"2018";"Haarlemmerbuurt-Oost";"      17"
"1.3.1 Ongevallen (weg)";"2019";"Haarlemmerbuurt-Oost";"      11"
"1.3.1 Ongevallen (weg)";"2020";"Haarlemmerbuurt-Oost";"      13"
"1.3.1 Ongevallen (weg)";"2021";"Haarlemmerbuurt-Oost";"       4"
"1.3.1 Ongevallen (weg)";"2022";"Haarlemmerbuurt-Oost";"       9"
"1.3.1 Ongevallen (weg)";"2023";"Haarlemmerbuurt-Oost";"      11"
"1.3.1 Ongevallen (weg)";"2012";"Jordaan";"      86"
"1.3.1 Ongevallen (weg)";"2013";"Jordaan";"     104"
"1.3.1 Ongevallen (weg)";"2014";"Jordaan";"      74"
"1.3.1 Ongevallen (weg)";"2015";"Jordaan";"      92"
"1.3.1 Ongevallen (weg)";"2016";"Jordaan";"     102"
"1.3.1 Ongevallen (weg)";"2017";"Jordaan";"      89"
"1.3.1 Ongevallen (weg)";"2018";"Jordaan";"     118"
"1.3.1 Ongevallen (weg)";"2019";"Jordaan";"     115"
"1.3.1 Ongevallen (weg)";"2020";"Jordaan";"      67"
"1.3.1 Ongevallen (weg)";"2021";"Jordaan";"      74"
"1.3.1 Ongevallen (weg)";"2022";"Jordaan";"     106"
"1.3.1 Ongevallen (weg)";"2023";"Jordaan";"     110"
"1.3.1 Ongevallen (weg)";"2012";"Marnixbuurt-Noord";"       4"
"1.3.1 Ongevallen (weg)";"2013";"Marnixbuurt-Noord";"       5"
"1.3.1 Ongevallen (weg)";"2014";"Marnixbuurt-Noord";"       2"
"1.3.1 Ongevallen (weg)";"2015";"Marnixbuurt-Noord";"       5"
"1.3.1 Ongevallen (weg)";"2016";"Marnixbuurt-Noord";"       5"
"1.3.1 Ongevallen (weg)";"2017";"Marnixbuurt-Noord";"       2"
"1.3.1 Ongevallen (weg)";"2018";"Marnixbuurt-Noord";"       8"
"1.3.1 Ongevallen (weg)";"2019";"Marnixbuurt-Noord";"       2"
"1.3.1 Ongevallen (weg)";"2020";"Marnixbuurt-Noord";"       5"
"1.3.1 Ongevallen (weg)";"2021";"Marnixbuurt-Noord";"       4"
"1.3.1 Ongevallen (weg)";"2022";"Marnixbuurt-Noord";"      12"
"1.3.1 Ongevallen (weg)";"2023";"Marnixbuurt-Noord";"       6"
"1.3.1 Ongevallen (weg)";"2012";"Driehoekbuurt";"       9"
"1.3.1 Ongevallen (weg)";"2013";"Driehoekbuurt";"      11"
"1.3.1 Ongevallen (weg)";"2014";"Driehoekbuurt";"       8"
"1.3.1 Ongevallen (weg)";"2015";"Driehoekbuurt";"       6"
"1.3.1 Ongevallen (weg)";"2016";"Driehoekbuurt";"       9"
"1.3.1 Ongevallen (weg)";"2017";"Driehoekbuurt";"       8"
"1.3.1 Ongevallen (weg)";"2018";"Driehoekbuurt";"      17"
"1.3.1 Ongevallen (weg)";"2019";"Driehoekbuurt";"      13"
"1.3.1 Ongevallen (weg)";"2020";"Driehoekbuurt";"       8"
"1.3.1 Ongevallen (weg)";"2021";"Driehoekbuurt";"       5"
"1.3.1 Ongevallen (weg)";"2022";"Driehoekbuurt";"      12"
"1.3.1 Ongevallen (weg)";"2023";"Driehoekbuurt";"      10"
"1.3.1 Ongevallen (weg)";"2012";"Anjeliersbuurt-Noord";"      10"
"1.3.1 Ongevallen (weg)";"2013";"Anjeliersbuurt-Noord";"      10"
"1.3.1 Ongevallen (weg)";"2014";"Anjeliersbuurt-Noord";"       8"
"1.3.1 Ongevallen (weg)";"2015";"Anjeliersbuurt-Noord";"       8"
"1.3.1 Ongevallen (weg)";"2016";"Anjeliersbuurt-Noord";"      11"
"1.3.1 Ongevallen (weg)";"2017";"Anjeliersbuurt-Noord";"       9"
"1.3.1 Ongevallen (weg)";"2018";"Anjeliersbuurt-Noord";"       7"
"1.3.1 Ongevallen (weg)";"2019";"Anjeliersbuurt-Noord";"      13"
"1.3.1 Ongevallen (weg)";"2020";"Anjeliersbuurt-Noord";"       6"
"1.3.1 Ongevallen (weg)";"2021";"Anjeliersbuurt-Noord";"      11"
"1.3.1 Ongevallen (weg)";"2022";"Anjeliersbuurt-Noord";"      11"
