"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Weteringbuurt";2000;;;30,8;38,7;;42,8;23,4;7,7;7,8;10;11,5;39,8
"Utrechtsebuurt-Zuid";1000;;;31;38;;42,1;23,6;8;8,9;11,5;12,8;86,5
"Leidsebuurt-Zuidwest";100;;;35,3;26,5;;62,6;15,9;;;;;6,1
"Leidsebuurt-Zuidoost";300;;;34,1;33,7;;49,5;18,9;8,5;10,3;11,5;12,1;24,8
"Den Texbuurt";900;;;30;41,4;;38,8;30,4;6,5;8,5;9,9;11,5;83,9
"Frederikspleinbuurt";800;;;26,6;44,7;;36,8;32,1;8,9;8,9;10,6;13;90
"Weesperbuurt/Plantage";6400;57,8;51;33,7;35,1;57;46,5;22,3;8;9,1;11,9;13,6;39,8
"Weesperbuurt";2500;57;51,6;36,6;32;;51,9;18,8;7,9;10,1;13,4;15,5;25,1
"Plantage";1900;;;28,1;41,2;;36;26,7;6,6;6,3;8,6;9,6;118,9
"Sarphatistrook";1600;;;36,9;31,2;;51;21,6;10;11,7;14,8;16,6;21
"Alexanderplein e.o.";300;;;28,6;42,5;;40,6;28,2;6,3;5,8;6,7;7,7;126,2
"Oostelijke Eilanden/Kadijken";12300;45,6;40,2;37;27,5;37,6;51,2;16;9,9;12;15,9;18,7;17,6
"Marine-Etablissement";100;;;;;;;;;;;;
"Kattenburg";1400;;;49,4;17,4;;63,5;12,5;9,4;12,5;18,4;22,3;8,2
"Wittenburg";1900;;;38,2;23,7;;51,4;14,7;10,5;13,5;18,1;21,1;26,3
"Oostenburg";2600;50,9;46,2;27,8;33,8;;45,7;15,5;7,2;8,8;11,1;13,3;8,2
"Czaar Peterbuurt";2000;;;40,2;25,1;;57;13,2;13,9;15,8;20,3;23;7,6
"Het Funen";1000;;;34,3;37,6;;35,1;33,7;5,4;6;9,5;11,7;385,4
"Kadijken";2500;46,9;41,6;36,8;29;;50,8;16,8;9,8;12,3;15,5;18,5;42
"Kazernebuurt";800;;;39,1;23,1;;54,4;11,8;13,1;13,6;19,9;22,8;16,9
"Havens-West";0;;;;;;;;;;;;
"Afrikahaven";0;;;;;;;;;;;;
"Amerikahaven";0;;;;;;;;;;;;
"Westhaven-Noord";0;;;;;;;;;;;;
"Petroleumhaven";0;;;;;;;;;;;;
"Vervoerscentrum";0;;;;;;;;;;;;
"Westhaven-Zuid";0;;;;;;;;;;;;
"Coenhaven/Minervahaven";300;;;84,3;2,4;;96,4;0,3;;;;;0
"Coenhaven";0;;;;;;;;;;;;
"Vlothaven";0;;;;;;;;;;;;
"Minervahaven-Noordoost";300;;;89,2;1,3;;97,8;0;;;;;0
"Minervahaven-Noordwest";0;;;;;;;;;;;;
"Minervahaven-Zuidwest";0;;;;;;;;;;;;
"Minervahaven-Zuidoost";0;;;;;;;;;;;;
"Alfa-driehoek";0;;;;;;;;;;;;
"Hemknoop-Noord";0;;;;;;;;;;;;
"Sloterdijk-West";500;;;15;50,8;;26,9;30,3;5,2;5,5;5,5;5,8;25,3
"Isolatorbuurt";0;;;;;;;;;;;;
"Contactbuurt";0;;;;;;;;;;;;
"Woon- en Groengebied Sloterdijk";500;;;13,3;53,1;;23,8;32,2;3,4;3,8;3,8;4,1;28,9
"Spaarndammerbuurt/Zeeheldenbuurt";8900;42,1;36,2;40;23,3;35;55,6;13,3;12,3;15,4;20;23,3;9,6
"Hemknoop-Zuid";0;;;;;;;;;;;;
"Overbraker Binnenpolder";0;;;;;;;;;;;;
"Zaanstraat emplacement";0;;;;;;;;;;;;
"Spaarndammerbuurt-Noordwest";1600;;;37,5;20,6;;55,5;13,7;13,6;16,2;19,2;22,3;5,3
"Spaarndammerbuurt-Midden";1200;;;38,9;25,9;;52,1;15,7;11,4;13,5;18,6;20,6;11,4
"Spaarndammerbuurt-Zuidwest";1400;;;38,7;26;;57,1;13,2;10,4;14,9;19,7;23;9
"Spaarndammerbuurt-Noordoost";2300;;34;42,5;20,7;;60;11,2;14,7;17,4;22,8;26,7;7
"Zeeheldenbuurt";1500;;;41;24,5;;52,3;14,6;11,3;14,7;19,3;23,1;18,9
"Westergasfabriek";0;;;;;;;;;;;;
"Spaarndammerbuurt-Zuidoost";900;;;40,2;24,4;;52;13,6;9,7;13,4;17;20,7;18,2
"Houthavens";3600;81,1;63,3;20,1;53,9;;24,2;43,3;4,7;4,7;5,7;6,6;360,3
"Houthavens-West";3000;86,4;65,9;17,9;57,5;;21;47,3;3,6;3,6;4,6;5,1;345,6
"Houthavens-Oost";600;;;31,9;34,7;;39,6;24,8;10,1;9,8;11,4;13,8;435
"De Kolenkit";9000;38,3;30,4;44,3;21,3;32,8;53,6;14,6;12,6;15;19,7;23;4
"Kolenkitbuurt-Noord";3600;34,5;26,1;49,1;17,7;;51,4;14,2;17,3;18,8;23,7;27;2,3
"Kolenkitbuurt-Zuid";1700;;;40,1;24,2;;44,5;18,8;9,9;13,1;18,1;20,7;8,5
"Laan van Spartaan";2000;;35,2;38;29,5;;50;17,9;8,2;9,8;13,1;15,6;7
"Robert Scottbuurt-West";1700;;;45,9;16,2;;68;8,5;10,6;14,8;20,5;24,8;4,2
"Landlust";15300;41,6;34,6;39,9;24,1;35,3;50,6;15,2;11,1;13,5;17,9;20,8;8,2
"Bosleeuw";4400;37,1;30,5;45,3;19,9;33,3;51,1;14,6;11,7;13,8;18,3;21,2;5,7
"Gibraltarbuurt";3500;39,6;33,4;40,9;20,5;;55,4;10,3;12,6;15;19,6;22,7;4,4
"Bedrijventerrein Landlust";500;;;23,3;40;;41,7;18,5;5,4;6,2;8,5;9;29,5
"Landlust-Noord";1900;;;41,8;20,2;;52,7;10,9;11,3;14,4;19,5;23,1;6,6
"Erasmusparkbuurt-Oost";1500;;;35;31,2;;45,3;24,2;9,3;10,8;15,2;17,5;16,8
"Landlust-Zuid";3400;46,9;39,3;35,7;29,9;;47,5;19,1;10,3;13,5;17,6;20,6;16,4
"Erasmuspark";4900;47,5;41,3;32,2;31,1;40;40,9;19,7;6,3;8,3;11,1;12,8;37,4
"Robert Scottbuurt-Oost";1500;;;37,6;25,7;;46,8;17;8,4;11,4;15,2;17,3;12,8
"Erasmusparkbuurt-West";3400;49,1;42,7;29,8;33,4;;38,4;20,9;5,4;6,9;9,3;10,8;56,5
"Centrale Markt";2000;;;34,4;29,5;;41,2;22,3;7,8;10,8;14,4;16,9;50,5
"Bedrijvencentrum Westerkwartier";100;;;;;;;;;;;;
"GWL-terrein";1000;;;34,5;29;;33,5;26,2;6,8;8,6;12;14,4;178
"Markthallen";0;;;;;;;;;;;;
"Marcanti";900;;;34;30,2;;49,3;18;8,9;13,1;17,1;19,9;17
"Staatsliedenbuurt";11200;46,1;40,4;38;28,4;37,6;51,3;15,8;11,7;14,3;18,8;21,7;16,7
"Westerstaatsman";2400;;43,1;34,9;32,3;;48,1;16,2;11,5;12,5;16,6;20;20,4
"Fannius Scholtenbuurt";3100;45,8;39,8;37,1;28,1;;51,4;13,6;13,4;15,3;19,4;21,9;17,8
"Staatsliedenbuurt-Noordoost";1100;;;47,1;18,4;;62,3;10,1;11,2;18,5;25,3;30,3;9,1
"De Wittenbuurt-Noord";1200;;;38,2;28,8;;53,1;15,7;11,3;13,9;17,4;21,1;16,7
"De Wittenbuurt-Zuid";700;;;49,9;17,3;;63,6;9,2;15,8;21,2;27,5;31,7;13,1
"Buyskade e.o.";2700;49;42,7;34,9;31,8;;45,3;22,4;9,2;11,1;15,3;16,7;18,1
"Frederik Hendrikbuurt";6900;49,6;44,1;34,4;31,2;39,1;49,4;16,9;11,1;13,3;17,2;19,7;19,6
"Frederik Hendrikbuurt-Noord";3300;48,2;42,3;34,7;30,5;;49,7;16,7;10,6;12,5;16,5;19,1;20,6
"Frederik Hendrikbuurt-Zuidwest";1000;;;36;30,9;;44,9;19,2;8,3;11,7;15,6;17,7;39,7
"Frederik Hendrikbuurt-Zuidoost";2700;51,4;46,2;33,5;32,1;;50,7;16,4;12,7;14,7;18,7;21;12,8
"Van Galenbuurt";4600;39,7;34,4;41,9;21,1;33,4;57;11,5;13,4;16,3;21,4;25,3;5,9
"Mercatorpark";0;;;;;;;;;;;;
"Orteliusbuurt-Noord";1100;;;38,5;25,1;;51,9;12,7;12,9;14,6;19,4;23,7;11,7
"Jan Maijenbuurt";1900;;;45,5;19,5;;58,6;11,2;15;19;24,1;27,7;4,7
"John Franklinbuurt";1600;;;39,9;20,3;;58,8;11,1;11,8;14,4;19,6;23,6;4,6
"Geuzenbuurt";5600;48,8;42,3;33,6;30,6;38,8;47;18,5;8,8;10,9;13,7;15,9;18
"Pieter van der Doesbuurt";1600;;;42;21,8;;55,9;13,6;13,5;16,5;21,3;24,3;5,1
"Trompbuurt";2600;50,9;43,4;32,2;32;;45,1;21,7;7,6;9,9;12,1;14,3;18,6
"Geuzenhofbuurt";1500;;;27,1;37,7;;41,3;18,3;6,2;6,9;8,9;10,2;69,3
"Hoofdweg e.o.";8600;42,1;36,4;38,9;23,8;35,5;53,3;13,7;11,7;14,4;18,5;21,6;6
"Orteliusbuurt-Midden";1600;;;34,8;28,1;;49,7;15,5;10,6;13,2;16,2;19;11,9
"Balboaplein e.o.";2500;40,6;35;40,6;22,2;;53;13,3;11,6;13,5;18,1;20,9;4,7
"Orteliusbuurt-Zuid";1600;;;33,8;28,6;;50,6;15,3;9,5;12,4;16,6;19,4;9,1
"Columbusplein e.o.";2900;39,4;33,5;42,4;20,3;;57,1;12,1;13,6;16,9;21,2;24,9;4,3
"Chassébuurt";5000;44,8;37,4;39,7;25,9;37,4;49;18,5;10,3;13;17,1;20,2;9,9
"Filips van Almondekwartier";900;;;31,5;32,6;;49,2;23,2;7,6;11,5;14,6;16,9;14,7
"Kortenaerkwartier";1800;;;39,2;27,7;;46,4;19,9;9,4;11,8;15,2;18,2;16,1
"Van Brakelkwartier";800;;;46,5;20,9;;52,3;13,2;12;14,8;20,8;23,4;4,1
"De Wester Quartier";1400;;;42,1;22;;50,4;16,3;12,4;14,5;19;23,2;7,7
"Bellamybuurt";5300;51,1;44,6;32;32,3;39,3;49,6;17,6;9,2;10,8;14,2;16,8;13,7
"Bellamybuurt-Noord";2000;;;33,9;30,3;;50,2;17,6;10;11,7;16,1;19,1;12,2
"Bellamybuurt-Zuid";3300;52,4;46,2;30,8;33,4;;49,2;17,6;8,7;10,2;13;15,5;14,2
"Da Costabuurt";4100;54,7;48,5;31;34,6;42,6;45,9;21,1;7,9;9,8;12,4;14,2;29,4
"Da Costabuurt-Noord";4100;54,7;48,5;31;34,6;42,6;45,9;21,1;7,9;9,8;12,4;14,2;29,4
"Westindische Buurt";5700;53;45,4;29,6;34,5;42;42,5;22,1;6,9;8,3;11,1;13,5;22,3
"Postjeskade e.o.";2600;50,5;43,6;30,6;33,5;;43,4;20,7;7;8,5;11,4;14,1;17,6
"Paramariboplein e.o.";3100;55,1;46,9;28,8;35,3;;41,7;23,2;6,8;8,2;10,8;12,9;28,6
"Van Lennepbuurt";6000;43,7;38,5;41,3;24,8;35,7;57,8;12,3;12,2;17,1;21,8;25,2;10,9
"Lootsbuurt";1600;;;38,2;25,7;;59,1;12,8;13,8;17,7;23;25,4;9,6
"Borgerbuurt";2400;;31,3;50,5;17,2;;63,6;9,4;13,1;21,4;27,9;32,6;8,6
"Da Costabuurt-Zuid";1900;;;32,3;33,4;;50;15,3;9,8;11,2;13,3;16;17,8
"Overtoomse Sluis";6700;60,4;52,6;29,2;37,7;45,9;42,9;23,6;8,1;9,2;11,7;13,6;32,6
"Cremerbuurt-West";4900;58;50,7;29,1;37,5;43,7;42,9;22,5;8,6;9,4;12,1;14,1;29,1
"Vondelparkbuurt-West";1800;;;29,6;38,4;;43;26,5;6,8;8,7;10,6;12,5;45,1
"Helmersbuurt";6400;60,6;52,6;31,6;36,2;47,1;44,6;23,4;8,7;10,2;12,8;15,1;35,8
"Cremerbuurt-Oost";2000;;;28,2;38,4;;41,8;24,3;8,5;9,2;11,1;12,8;36,2
"WG-terrein";2300;;46,5;37,9;30,2;;53,5;19;11,8;14,6;18,6;22,3;24,8
"Helmersbuurt-Oost";2100;;;28;40,5;;37,4;27,5;5,1;5,9;7,6;8,7;61
"Vondelparkbuurt";1500;;;36,4;36,1;;43,7;27,1;11,2;10,9;13,8;15,6;36,4
"Vondelparkbuurt-Midden";700;;;37,3;31,2;;46,2;25,7;8,3;9;13;16;34,3
"Vondelparkbuurt-Oost";800;;;35,5;40,3;;41,6;28,3;13,7;12,5;14,4;15,3;39,8
"Sloterdijk Nieuw-West";900;;;54,8;11;;80,2;3,2;18;15;18,4;22;0,4
"Sloterdijk De Heining";0;;;;;;;;;;;;
"Sloterdijk Poort-Noord";0;;;;;;;;;;;;
"Sloterdijk Poort-Zuid";100;;;;;;;;;;;;
"Sloterdijk Rhônepark";0;;;;;;;;;;;;
"Sloterdijk Donauhoek";0;;;;;;;;;;;;
"Bretten-West";0;;;;;;;;;;;;
"Bretten-Oost";0;;;;;;;;;;;;
"Sloterdijk Stationskwartier";700;;;51,8;11,7;;79,3;3,4;14,4;11,7;14,6;18,2;0,5
"Geuzenveld";13600;32,1;23,7;48,8;12,8;30,7;49,9;13,4;11,8;14,4;19,7;23,4;6,9
"Osdorper Binnenpolder";0;;;;;;;;;;;;
"De Eendracht";1800;;;39,8;17;;37,8;20,3;4,9;4,8;7,6;9,6;80,4
"Ruys de Beerenbrouckbuurt";4300;30,8;22,3;50,6;11,7;;54;12,4;12,7;16,3;22,4;26,2;4,5
"Eendrachtspark";200;;;48,9;16;;58,1;8,1;26,3;26,9;32,5;35;4,6
"Van Tijenbuurt";2100;;24,3;47,7;15,5;;44,7;19,6;8;9,6;13,4;16,6;20,2
"Dudokbuurt";2000;;21,7;53;10;;55,2;9,9;14,2;18,4;26;30,9;3
"Bakemabuurt";2000;;24;49,6;13,9;;45,2;10,8;14,2;15,4;20,5;24,2;3,8
"Wegener Sleeswijkbuurt";1200;;;50;7,8;;57,8;8,9;13,6;17,8;23,4;27,6;4,2
"Slotermeer-West";8100;29,6;22,8;53,4;10;28,1;60;9,3;15,1;18,4;23,4;27,5;3,1
"Jan de Louterbuurt";2600;32,2;25,4;48,3;12,9;;58,1;10;13,1;15,4;19,3;22;6,9
"Lodewijk van Deysselbuurt";2600;26,5;19,9;58;6,2;;61,2;7,9;17,7;21,7;26,8;31,5;1,9
"Confuciusbuurt";2900;30;22,9;54,1;10,8;;61;9,6;14,7;18,5;24,5;29,3;2,8
"Slotermeer-Noordoost";6900;31,9;24,3;50;12,1;29,7;56,6;10,5;14,9;17,8;23;26,2;4,2
"Arondeusbuurt";2000;;21;53,8;9,9;;59,7;10;16,1;19,7;26,2;29,8;2,5
"Coronelbuurt";1200;;;34,3;22,2;;41,3;20,4;6,1;5,7;6,7;7,1;186
"Meerwaldtbuurt";1500;;;58,1;8,9;;67,3;7,7;19,6;25,1;31,9;36,5;2,3
"Dobbebuurt";2200;;24,2;49,3;10,9;;54,3;7,6;15,1;17,2;22,5;25,8;3,9
"Slotermeer-Zuidoost";5300;34,7;27,9;46,6;15,7;30,5;61,4;10,4;13,5;17;23;26,4;4,9
"Dichtersbuurt";800;;;54,7;8,2;;74,4;4,9;19,1;26,6;33,3;37,7;2,8
"Louis Couperusbuurt";1800;;;53,5;8,8;;71;4,3;16,1;19,9;27,6;32,3;1,5
"Noordoever Sloterplas";2700;39,9;32,3;39,4;22,6;;49,8;16,8;9,4;11,4;15,8;17,9;25,3
"Sloterpark";0;;;;;;;;;;;;
"Lutkemeer/Ookmeer";700;;;43,4;22,1;;43,9;25,1;9,5;10,9;15,8;17,4;311,7
"Osdorper Bovenpolder";600;;;42,7;22,6;;42,7;26,2;7,9;10,9;15,7;17,2;317,4
"Ookmeer";0;;;;;;;;;;;;
"Bedrijvenpark Lutkemeer";100;;;;;;;;;;;;
"De Aker";11200;42,8;33,8;39,1;24,3;39,9;35,8;28,2;6,3;7;10,2;12,1;115,8
"Middelveldsche Akerpolder";2900;37,7;28,2;40,7;17,8;;43,2;16,9;7,8;8,3;11,8;14,3;17,3
"De Aker-West";3600;43,3;34,9;37,3;26,1;;35,2;30,1;6,7;7,5;10,8;12,6;256
"De Aker-Oost";4600;45,7;36,7;39,6;27;;31;34,9;4,9;5,7;8,5;10;312,9
"De Punt";4700;31,9;25,2;46,5;11,7;30,2;54,3;10,8;10,2;13,1;17,1;20,9;10,3
"Bedrijvencentrum Osdorp";0;;;;;;;;;;;;
"Dijkgraafpleinbuurt";4700;31,9;25,1;46,5;11,7;30,2;54,4;10,8;10,2;13,1;17,1;20,9;10,4
"Osdorp-Midden";11400;34,6;26,4;47,8;15,3;31,4;52,9;13,4;12,1;15,3;20,2;23,7;5,2
"Reimerswaal";1900;;21;56,6;6,8;;62,9;7,7;16,4;22;28,6;34,3;3,2
"Botteskerkbuurt";2400;;24,1;50,2;13,9;;56,5;11,6;14,2;18;23,6;27,3;3,5
"Zuidwestkwadrant-Noord";2300;;24,7;50,9;12,8;;56,2;12;11,9;16,8;22,3;26;4
"Zuidwestkwadrant-Zuid";4700;39,4;30,9;41,3;20,6;34,6;45,1;17,5;9,2;10,3;13,6;16;12,2
"Osdorp-Oost";13900;34,6;27,8;46,8;15,6;31,1;57,3;10,5;11;14,4;19,2;23,5;6,8
"Wildeman";3700;26,9;20,8;57,6;6,2;;69,2;5;16,7;21,8;30,1;36,2;2,9
"Meer en Oever";2500;42,8;34,8;37,6;25,4;;40,6;16,4;7,1;9,5;11,9;14,8;52,5
"Osdorpplein e.o.";3300;37,5;29,8;40,6;18,7;;50;11,1;7,7;10,5;13,5;15,9;4,6
"Calandlaan/Lelylaan";1000;;;46,6;13,7;;61,8;9,8;15,6;17,4;22,4;27,3;10,6
"Osdorp-Zuidoost";3300;33,9;28,5;48,1;15,9;;61,8;11,7;9;12,4;16,4;21,6;10,3
"Slotervaart-Noord";5800;37,2;28,8;45,3;18,3;33,4;51,8;16;10,3;13,5;17,8;20,9;11,3
"Oostoever Sloterplas";2000;;;37,8;27,8;;39,3;27,3;4,8;8,8;12,1;15,1;332
"Emanuel van Meterenbuurt";1600;;;43,9;20,5;;51,4;17,3;11,3;14,1;17,5;19,4;12,1
"Jacob Geelbuurt";2200;;20,9;53,1;8,1;;62,7;5,6;14,3;17,3;23;27,1;2,3
"Overtoomse Veld";11000;39,5;31,6;41,8;22,5;33,3;50,7;15,2;9,7;11,1;14,4;17,1;3,9
"Lucas/Andreasziekenhuis e.o.";600;;;38;34,6;;57,9;6,9;5;2,8;3,1;3,4;0,3
"Overtoomse Veld-Noord";4500;37,4;28,4;47,5;20,2;;44,5;19,9;12;15,5;20;23,6;5
"Rembrandtpark-Noord";900;;;48,4;23,1;;66,9;8,6;5,9;5,4;6,2;7,8;1,7
"Overtoomse Veld-Zuid";3600;40,9;33,4;34,3;21,6;;51;13,4;5,9;7,2;9,9;12,5;4,5
"Rembrandtpark-Zuid";800;;;20,8;47,2;;34,6;24,9;4,2;3,4;4,6;5,8;48,8
"Johan Jongkindbuurt";700;;;64,1;3,3;;71,7;6,1;31;29,5;35,1;38,2;0,7
"Slotervaart-Zuid";8500;35,3;28,1;47,8;17;30,6;58;11;9,9;12,5;17,2;21;3,9
