"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Amsterdam";735900;46,5;38,6;39,2;25,7;40,1;49,6;17,9;9,7;11,9;15,6;18,4;13,6
"Haarlemmerbuurt";7800;51,7;45,4;36,7;30,1;45,1;48,9;19;9,7;11,8;15,5;18,3;35,5
"Planciusbuurt-Noord";300;;;35,2;24,2;;57,8;6;11,9;11,4;18,2;20,8;5,7
"Westelijke eilanden";2500;;41,7;38,1;27,4;;52,2;18,7;9,6;11,4;15,4;18;39,8
"Westerdokseiland";1500;;;31,5;41,8;;31,6;32,4;6,6;10,1;12,5;14,8;133,2
"Planciusbuurt-Zuid";100;;;49,3;11,1;;75,2;2,6;22,7;25,5;30,9;36,4;3,1
"Haarlemmerbuurt-West";2000;;;39,2;27,7;;51,7;16;11,5;13,9;17,8;21;23,2
"Haarlemmerbuurt-Oost";1300;;;35,5;28,5;;50,7;16;8;9,4;12,6;15,4;32,2
"Jordaan";16900;49,8;44,4;37,6;27,8;40,7;55,2;15,1;11;13;16,9;19,7;21,8
"Marnixbuurt-Noord";1300;;;39,1;23,6;;59,6;13,4;11,1;14,8;19,5;23,3;9,4
"Driehoekbuurt";2400;;43;38,1;27,5;;56,2;13,8;11,9;13,8;17,5;20,3;18,9
"Anjeliersbuurt-Noord";1800;;;38,3;27,5;;51,5;17,2;9,8;10,8;14,5;17,3;29
"Zaagpoortbuurt";800;;;45,6;17,8;;72,1;6,1;17,1;18,8;25,2;28,1;4
"Anjeliersbuurt-Zuid";2600;47,4;42,4;39,3;25,6;;55,9;14,7;10,6;13,1;17,5;20,4;25,9
"Marnixbuurt-Midden";200;;;29,2;39,5;;39,5;27,4;4,4;4,4;5,3;7;37,6
"Bloemgrachtbuurt";2500;54,2;47,5;34;32,1;;49,7;18,1;9,7;10,9;14,4;16,7;29,8
"Groenmarktkadebuurt";300;;;34,2;35,2;;44,7;23,3;5,5;5,5;8,2;10,4;21,7
"Marnixbuurt-Zuid";600;;;33,5;28,6;;59,3;10,8;12,3;13,2;15,9;18,7;24,2
"Elandsgrachtbuurt";3700;50,1;44,6;37,8;28,3;44;55,8;15;10,7;13,4;17,3;19,9;23
"Passeerdersgrachtbuurt";800;;;35,9;31;;49,7;17,8;12,3;12,9;17,2;20,2;60
"Grachtengordel-West";5400;74,9;64,9;31,7;39,9;70,1;41,1;28,6;8,4;7,9;9,7;10,9;81,9
"Langestraat e.o.";1600;;;33,4;39,4;;38,7;29,6;7,9;7,6;9,7;10,6;214,2
"Leliegracht e.o.";1400;;;31,1;40,2;;42,3;28,7;8,7;7,9;9,1;10,3;72,4
"Felix Meritisbuurt";1700;;;30,6;39,4;;41,4;26,8;8,1;8;9,9;11,3;64,6
"Leidsegracht-Noord";600;;;32,1;41,9;;43,4;30,9;10,1;8,9;10,8;11,8;51,1
"Burgwallen-Nieuwe Zijde";3800;46,5;42,7;35,6;28,1;40;53,7;13,2;9,6;9,4;11,9;13,5;6,8
"Stationsplein e.o.";0;;;;;;;;;;;;
"Hemelrijk";500;;;36,7;26;;55,8;12,4;11,9;11,6;14,7;15,6;7,8
"Nieuwendijk-Noord";400;;;40,4;25,1;;57,9;8,8;13,5;12,8;15,2;17,4;5,6
"Spuistraat-Noord";800;;;34,4;28,3;;51,1;13,7;8,3;7,3;10,1;10,7;7,6
"Nieuwe Kerk e.o.";700;;;34,3;30;;50,3;15,1;6,5;6,5;8,4;9,5;6
"Spuistraat-Zuid";700;;;35,6;30,6;;53,1;15,8;11,5;11,5;14,1;16,5;9,8
"Begijnhofbuurt";400;;;33,8;24,8;;59,9;9,7;8,4;9,1;12,5;16,2;5,6
"Kalverdriehoek";300;;;35,5;30,3;;50,5;14,8;6,8;7,4;8;8,6;3,7
"Burgwallen-Oude Zijde";4000;42,9;39,2;41,7;23,1;34,6;60,4;10,1;12,9;12,9;16,2;18,9;5,1
"Kop Zeedijk";1000;;;38,4;24,7;;57,4;9,5;12,3;12,6;15,2;17,7;6,3
"Oude Kerk e.o.";700;;;44;20,2;;64,6;9,9;13,2;14;17,7;20,7;4,6
"Burgwallen-Oost";1400;;;44,3;20,1;;63;8,6;14,1;13,7;18;20,7;3,7
"Nes e.o.";300;;;33,4;33,8;;41,1;17,4;7,4;7,9;9,7;11,1;12,9
"BG-terrein e.o.";600;;;43,1;24,8;;64,7;11,2;13,7;13,7;15,6;19,3;5,3
"Nieuwmarkt/Lastage";8400;52;46,2;36,4;29,9;48,5;51,1;17,9;8,5;11,4;15;17,3;28
"Oosterdokseiland";400;;;24;45,8;;32;27,9;5,4;5,4;7,6;8,3;17,1
"Lastage";1000;;;33;32,9;;44,8;20,1;6,8;9,2;11,5;13,4;44,5
"Scheepvaarthuisbuurt";700;;;35,9;30,6;;45,1;21,2;6,5;5,7;7;8;44,7
"Rapenburg";700;;;35,9;32,4;;51,2;18,1;6,9;8,8;10,8;11,4;20,1
"Nieuwmarkt";1400;;;44,6;21;;63,1;10,7;12,1;17,2;23;27,1;16,6
"Uilenburg";1100;;;34,4;34,7;;44,9;23,2;9,9;12,3;16,1;17,7;40,6
"Valkenburg";1000;;;34,1;32,9;;49;18,5;4,5;9,1;12,6;14,8;54,4
"Zuiderkerkbuurt";1400;;;38,3;25,7;;56,6;16,1;11;13,8;17,8;20,9;21,6
"Waterloopleinbuurt";800;;;36,2;27,5;;52,8;15,3;7,7;10,5;14,7;17,1;28
"Grachtengordel-Zuid";4800;75,3;65,1;31,6;39,1;67,8;41,7;25,3;7,8;7,1;8,3;9,3;38,8
"Leidsegracht-Zuid";600;;;28,8;40,6;;39,6;27,6;7,2;6,7;8,6;9,1;64,3
"Geelvinckbuurt";300;;;36,6;35,2;;51,8;13,8;7,2;6;6,6;9;4,4
"Rembrandtplein e.o.";800;;;30,5;38,6;;45,4;13,5;8;6,9;8,2;9,1;4,3
"Spiegelbuurt";700;;;30,7;41,5;;39,9;29,3;6,5;5,6;6,7;6,9;142
"Vijzelstraatbuurt";1200;;;32;38,5;;40;30,7;7,8;7,4;8,5;9,4;146,4
"Amstelveldbuurt";1300;;;32,4;38,8;;40,3;28,3;8,7;8,2;9,1;10,6;160,3
"De Weteringschans";6400;62,9;55,1;30,8;38;77,4;43,5;23,3;7,9;8,4;10,3;11,8;38,6
"Leidsebuurt-Noordwest";300;;;28;37,2;;49;14,6;5,6;6,7;7,3;7,3;18,2
"Leidsebuurt-Noordoost";1000;;;34,1;31;;50;14,5;8,7;8,7;10,3;11,3;7,3
