"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Personen met een migratieachtergrond/Westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Niet-westers totaal (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Marokko (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Nederlandse Antillen en Aruba (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Suriname (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Turkije (aantal)";"Bevolking/Personen met een migratieachtergrond/Niet-westers/Overig niet-westers (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Buurt 5 Noord";3575;1800;1775;750;545;1100;830;340;2025;1115;360;75;245;2915;1520;20;205;750;420;50;13;30;8;1470;605;220;645;2,4;16232
"Sloterpark";85;35;45;15;20;50;5;0;55;30;5;0;25;45;5;0;0;30;15;5;48;0;0;45;15;15;5;1,9;135
"Buurt 5 Zuid";3885;1960;1925;830;555;1235;840;425;2250;1205;320;110;360;2635;1235;30;165;775;435;55;15;20;5;1710;805;250;660;2,3;12539
"Geuzenveld";16345;8255;8085;3570;2220;5305;3505;1745;9230;5305;1345;475;1830;11215;4480;160;850;3965;1760;235;14;115;7;6885;2880;1215;2785;2,3;12383
"Buurt 6";3030;1490;1545;650;430;950;690;310;1750;890;290;105;260;2100;885;30;180;610;390;40;15;15;6;1335;570;235;530;2,3;11662
"Buurt 7";2815;1445;1365;675;395;830;535;370;1480;1060;195;80;370;1745;665;15;100;775;190;35;14;20;6;1070;360;210;495;2,6;10046
"Buurt 8";4210;2100;2105;890;560;1525;850;385;2490;1275;340;110;585;2940;1030;50;250;1055;555;65;15;50;12;1800;785;330;690;2,3;16832
"Buurt 9";5990;3045;2940;1320;805;1865;1340;660;3315;1995;505;180;565;4280;1880;65;290;1455;590;90;15;30;5;2510;1065;410;1035;2,4;14975
"Eendrachtspark";305;175;125;40;25;130;90;15;200;80;20;5;50;155;30;5;25;70;30;5;7;0;3;170;105;30;35;1,7;2525
"Eendracht";2445;1205;1240;440;275;650;665;415;1130;1080;145;85;290;1205;305;20;160;485;235;30;12;10;4;1025;310;285;425;2,4;1116
"Osdorper Binnenpolder";25;15;10;0;5;5;5;10;10;10;0;0;0;10;0;0;0;0;10;0;0;0;36;15;5;0;5;2;15
"Buurt 10";2415;1185;1230;435;270;645;660;410;1115;1070;145;85;290;1200;305;20;165;485;225;30;12;10;4;1010;305;285;420;2,4;7790
"Lutkemeer/Ookmeer";1190;660;530;175;160;345;325;190;680;390;75;40;110;460;30;0;20;50;360;15;13;10;8;400;165;105;130;2,1;223
"Ookmeer";355;220;135;65;60;170;50;5;260;80;15;0;15;340;5;0;5;10;320;10;25;0;0;10;10;5;0;1,1;506
"Osdorper Bovenpolder";770;400;360;100;80;165;250;165;385;290;55;30;100;105;25;0;15;35;30;5;8;10;12;355;130;105;120;2,2;312
"Bedrijvenpark Lutkemeer";70;40;30;5;15;5;25;10;35;20;5;10;0;15;0;0;0;5;5;0;0;0;0;35;20;5;10;1,9;31
"Osdorp-Oost";17150;8440;8715;2710;2270;5365;3710;3095;9635;4995;1655;860;2745;8815;3525;165;1085;1765;2275;200;12;180;10;9085;4890;1880;2320;1,9;10854
"Wildeman";4945;2415;2530;930;560;1385;1115;950;2610;1450;590;295;590;3165;1440;35;340;615;730;55;11;60;12;2525;1330;400;790;2;15450
"Meer en Oever";3145;1615;1530;455;310;1050;745;585;1675;1015;310;145;630;1425;515;25;140;345;395;35;11;35;10;1640;805;440;395;1,9;14976
"Osdorpplein e.o.";3815;1845;1970;655;645;1430;655;430;2405;990;290;130;615;2190;965;50;250;335;590;55;14;30;7;1885;945;440;505;2;12710
"Calandlaan/Lelylaan";1235;645;590;170;100;350;375;240;675;380;130;55;180;600;180;15;95;195;125;25;17;10;9;675;380;140;160;1,8;4750
"Osdorp Zuidoost";4010;1915;2100;495;655;1150;820;895;2275;1155;335;245;725;1430;420;40;260;280;435;40;9;50;12;2360;1430;460;470;1,7;8190
"Osdorp-Midden";15380;7585;7795;3030;2120;5055;3375;1800;8665;4755;1390;575;2125;10095;4250;170;1115;2430;2130;205;13;145;9;6970;3185;1275;2515;2,2;14933
"Osdorp Midden Noord";2585;1185;1405;460;375;650;575;525;1310;780;270;220;170;1895;955;35;175;470;265;30;12;75;30;1095;545;145;400;2,2;12300
"Osdorp Midden Zuid";3440;1690;1750;840;385;1165;680;370;1950;1055;320;115;470;2315;1100;35;205;475;505;50;15;15;5;1535;665;260;610;2,2;14333
"Zuidwestkwadrant Osdorp Noord";3165;1595;1575;605;440;1055;635;435;1815;955;280;120;450;2135;870;35;220;580;435;40;13;30;9;1445;665;300;485;2,2;13761
"Zuidwestkwadrant Osdorp Zuid";6190;3120;3075;1130;920;2180;1490;475;3595;1965;510;120;1030;3750;1335;70;515;910;915;80;13;20;4;2895;1310;570;1020;2,1;17694
"De Punt";6170;3215;2955;1100;885;2035;1330;825;3620;1805;535;215;1105;3365;1090;50;470;940;825;70;12;55;9;2785;1405;495;890;2,1;10283
"De Punt";6065;3120;2940;1095;890;2000;1265;810;3535;1805;510;215;1095;3315;1080;45;445;935;810;70;12;55;9;2780;1400;490;890;2,1;12633
"Bedrijvencentrum Osdorp";110;95;10;0;0;30;60;15;80;5;20;0;15;50;15;5;25;5;10;0;0;5;19;5;5;0;0;1,2;883
"Middelveldsche Akerpolder";14290;7025;7260;2435;2030;3480;4425;1920;7265;5555;1015;450;1840;6505;2090;115;1220;1555;1530;155;11;80;6;5930;1960;1345;2630;2,4;9463
"Middelveldsche Akerpolder";3895;1860;2035;820;385;1075;940;680;1965;1460;320;155;460;1805;810;30;270;345;360;55;14;30;8;1695;635;395;665;2,3;11459
"De Aker West";4505;2255;2250;680;635;1090;1510;595;2265;1750;330;165;585;2010;500;50;400;515;550;55;12;25;6;1910;635;445;835;2,4;8669
"De Aker Oost";5885;2915;2970;935;1010;1320;1970;650;3040;2345;365;135;795;2690;780;35;550;700;625;45;8;20;3;2320;685;510;1125;2,5;9054
"Slotervaart Noord";8090;4030;4060;1465;1065;2315;1995;1250;4555;2475;695;360;1350;3705;1450;55;445;890;860;100;12;80;10;3760;1650;820;1285;2,1;7286
"Oostoever Sloterplas";2465;1185;1275;320;305;490;780;570;1180;950;190;145;420;725;160;10;195;180;185;20;8;25;10;1180;480;330;375;2,1;6844
"Emanuel van Meterenbuurt";2265;1140;1135;445;255;640;530;405;1265;655;210;145;465;785;320;10;55;190;210;25;11;45;19;1020;460;200;360;2,1;5157
"Jacob Geelbuurt";3355;1705;1650;700;505;1180;685;280;2115;875;300;65;465;2190;975;35;195;520;465;50;16;10;4;1560;720;295;555;2,1;10823
"Overtoomse Veld";14335;7000;7335;2175;2650;6100;2340;1065;9865;3415;790;265;2635;7545;3685;130;615;1330;1775;225;16;50;3;7490;4165;1515;1810;1,9;9887
"Overtoomse Veld Noord";6210;3055;3155;1215;925;2300;1275;495;3805;1890;400;115;765;4115;2325;35;260;865;625;110;18;25;4;2570;970;570;1025;2,4;18274
"Overtoomse Veld Zuid";4410;2085;2325;665;575;2185;665;325;3105;990;235;80;705;2160;1045;60;260;265;525;65;15;10;2;2370;1315;530;525;1,9;14693
"Rembrandtpark Noord";980;485;495;70;340;410;85;70;825;90;50;5;315;150;25;15;15;5;90;10;12;5;2;735;570;120;50;1,3;3486
"Rembrandtpark Zuid";840;435;405;75;85;480;120;80;585;210;25;20;260;185;5;5;25;15;130;20;20;5;6;520;290;165;65;1,6;3119
"Johan Jongkindbuurt";715;355;360;140;140;165;185;90;415;195;65;45;50;560;250;10;45;160;95;10;10;5;7;255;105;20;125;2,6;7956
"Lucas/Andreasziekenhuis e.o.";1180;585;600;20;585;565;15;0;1130;40;10;0;545;375;30;5;15;20;300;15;12;0;1;1040;915;105;15;1,1;6561
"Westlandgracht";11395;5945;5455;1250;1875;5850;1635;795;8400;2180;690;125;2845;4585;1130;165;460;635;2185;130;12;45;4;7140;4595;1530;1020;1,6;8084
"Koningin Wilhelminaplein";2835;1530;1305;225;250;1795;375;190;2020;680;110;25;970;860;60;25;40;90;640;45;14;10;4;1760;955;610;205;1,6;11328
"Andreasterrein";1250;615;630;250;115;460;285;140;730;400;90;25;295;460;175;10;45;80;150;15;10;5;5;555;210;140;210;2,2;8936
"Delflandpleinbuurt Oost";1555;820;730;230;215;595;370;140;1070;305;170;20;260;745;260;30;110;120;230;10;8;5;6;800;500;120;180;1,7;9153
"Delflandpleinbuurt West";3955;2005;1945;490;700;1860;585;325;2895;715;295;50;855;1745;600;50;210;310;570;50;13;25;6;2465;1600;475;395;1,6;12353
"Riekerhaven";575;385;190;25;195;355;0;0;535;20;15;0;40;385;10;5;20;10;345;10;17;0;0;510;455;35;20;1,1;1362
"Schipluidenbuurt";1235;590;650;25;400;785;20;5;1150;70;15;0;430;390;30;40;35;30;255;5;4;0;0;1045;885;145;15;1,2;11218
"Sloter-/Riekerpolder";14145;6975;7170;2090;1615;3650;4450;2340;7175;5410;1065;495;2370;4425;1170;145;865;755;1485;155;11;75;5;6325;2160;1800;2365;2,2;3029
"Riekerpolder";135;65;70;5;15;100;5;0;115;10;5;0;30;45;10;0;10;0;25;5;52;0;0;90;55;25;10;1,5;221
"Park Haagseweg";1005;495;510;140;90;225;350;195;490;435;60;25;205;185;20;5;40;15;105;10;10;5;4;450;125;170;155;2,2;9127
"Nieuwe Meer";170;100;70;15;20;35;80;10;130;25;10;0;30;10;0;5;0;0;5;5;18;0;12;105;70;10;25;1,6;131
"Sloterweg e.o.";300;140;155;65;20;70;80;60;145;130;15;10;50;80;5;5;15;20;35;5;7;5;7;120;35;40;50;2,4;378
"Nieuw Sloten Noordwest";3110;1510;1595;500;370;785;975;485;1540;1195;265;100;455;1235;440;35;245;190;335;30;11;15;4;1290;385;340;570;2,4;8883
"Nieuw Sloten Noordoost";3180;1580;1605;470;315;835;915;650;1495;1280;235;165;455;1090;330;35;165;225;335;30;10;20;7;1455;530;430;500;2,2;7232
"Belgiëplein e.o.";1120;530;585;85;100;330;285;330;515;395;130;80;270;395;65;10;65;60;195;20;14;15;13;665;345;215;110;1,7;13988
"Nieuw Sloten Zuidwest";2270;1120;1150;335;335;470;900;245;1130;985;130;30;400;595;65;20;170;110;225;15;6;5;1;895;185;265;440;2,5;10327
"Nieuw Sloten Zuidoost";2160;1085;1075;400;260;675;595;230;1280;675;155;45;395;730;235;20;145;135;195;30;14;10;5;920;310;215;395;2,3;9396
"Dorp Sloten";695;345;355;85;85;130;265;140;330;275;60;35;90;50;0;0;10;5;30;5;10;5;7;325;115;100;110;2,1;1287
"Slotervaart Zuid";10730;5205;5530;1795;1895;3590;1990;1460;6640;2780;930;380;1825;5570;2375;105;675;850;1565;135;13;110;10;5650;3190;975;1485;1,9;8585
"Louis Chrispijnbuurt";3230;1550;1675;495;535;890;695;620;1890;865;335;140;540;1560;625;30;250;270;390;40;12;30;9;1725;990;300;435;1,9;8967
"Jacques Veltmanbuurt";3585;1735;1850;560;590;1390;620;425;2265;950;270;105;740;1685;630;25;160;275;595;45;12;15;4;2000;1145;415;445;1,8;12369
"Staalmanbuurt";3115;1500;1620;695;410;1025;625;365;1810;915;275;120;350;2010;1030;35;225;290;435;45;15;40;13;1275;485;230;560;2,4;10055
"Medisch Centrum Slotervaart";800;420;380;50;360;285;55;55;680;50;55;15;190;310;90;15;40;25;145;5;11;25;29;645;580;25;35;1,2;2755
"Buitenveldert-West";13565;6390;7175;1770;1410;4455;2835;3100;7450;4030;1215;865;3915;3490;265;135;490;250;2350;140;10;145;11;7710;4320;1745;1650;1,8;4759
"Gelderlandpleinbuurt";4575;2120;2460;485;495;1630;850;1110;2570;1295;385;320;1405;1225;110;35;165;100;815;55;13;55;12;2750;1545;695;510;1,7;9946
"Buitenveldert Midden Zuid";3840;1815;2020;580;450;1515;790;500;2380;1080;265;115;1110;1175;110;40;135;85;805;35;9;15;5;2105;1135;470;500;1,8;7676
"Buitenveldert Zuidwest";4075;1935;2145;570;335;1095;915;1160;2015;1250;470;345;1080;915;40;50;165;55;600;40;10;60;15;2285;1345;440;495;1,8;5826
"Amsterdamse Bos";70;35;30;5;10;15;20;15;40;15;5;5;15;5;0;0;0;0;5;0;0;0;0;35;20;10;10;1,9;89
"Buitenveldert West Midden";985;475;510;125;105;180;260;315;425;385;80;85;300;155;5;5;15;5;120;5;6;10;13;525;260;130;130;1,9;4100
"Zuiderhof";20;15;10;0;5;10;5;0;20;5;0;0;10;5;0;0;0;0;5;0;0;0;0;15;15;0;0;1,3;111
"Buitenveldert-Oost";7965;3770;4190;965;755;2600;1540;2100;4360;2310;755;545;2040;2445;185;80;305;210;1665;75;9;205;25;4530;2615;1020;890;1,7;5206
"De Klenckebuurt";755;360;400;85;20;250;125;275;355;260;85;60;210;180;15;10;30;15;115;10;11;40;49;390;200;120;70;1,7;5831
"Buitenveldert Oost Midden";3260;1530;1730;400;265;1040;645;910;1740;955;350;220;695;1125;105;35;175;115;690;35;11;45;15;1930;1055;475;400;1,7;11241
"Buitenveldert Zuidoost";3935;1880;2060;480;465;1300;770;920;2260;1095;320;265;1135;1140;70;30;95;85;860;35;8;120;30;2210;1355;430;420;1,7;6452
"Amstelpark";10;5;5;5;0;5;0;5;10;5;0;0;0;5;0;0;0;0;0;0;0;0;0;10;5;5;5;1,8;22
"Amstel III/Bullewijk";1625;760;860;20;1060;475;55;20;1560;55;10;5;460;655;50;60;125;50;370;5;5;5;2;1465;1365;85;10;1,1;326
"Hoofdcentrum Zuidoost";15;5;5;0;0;5;0;0;15;5;0;0;5;5;0;0;0;5;5;0;0;0;0;15;15;0;0;1;38
"Amstel III deel A/B Noord";65;45;15;0;5;45;5;0;50;10;0;0;30;20;0;0;0;0;20;0;0;0;0;55;50;5;0;1,1;79
"Amstel III deel C/D Noord";25;20;5;0;5;10;5;5;15;5;0;0;10;10;0;0;5;0;5;0;0;0;0;20;20;5;5;1,1;25
"Amstel III deel A/B Zuid";1350;560;785;5;990;345;10;0;1330;20;0;0;380;560;40;55;105;45;325;5;6;0;0;1260;1185;75;5;1,1;3854
"Amstel III deel C/D Zuid";5;5;5;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;5;200;5;0;0;0;1,3;
"AMC";30;25;5;0;0;10;20;0;25;0;5;0;5;20;5;0;10;0;0;0;0;0;71;25;30;0;0;1;36
"Hoge Dijk";140;100;40;15;60;50;15;10;130;10;5;0;30;40;10;0;10;0;15;0;0;0;0;80;75;0;5;1,2;99
"Bijlmer Centrum (D,F,H)";24565;12505;12060;3660;4740;8060;6005;2100;17685;3620;2890;370;3210;17295;700;1325;6785;460;8020;210;9;145;6;14085;8830;1810;3445;1,7;8106
"Venserpolder West";5065;2690;2380;690;575;1700;1415;680;3440;720;790;125;630;3525;135;280;1465;95;1545;45;8;70;13;2980;1830;460;695;1,7;10134
"Venserpolder Oost";3430;1795;1630;485;430;1280;945;290;2345;565;465;55;465;2355;105;135;970;80;1065;35;9;5;3;1985;1205;300;480;1,7;10722
"D-buurt";1910;950;955;120;1110;525;125;35;1785;60;65;5;430;985;35;145;290;30;490;10;6;0;1;1625;1450;80;100;1,2;7074
"F-buurt";4395;2200;2200;760;775;1630;1010;225;3160;835;355;45;455;3170;155;200;1520;110;1185;45;10;10;2;2220;1225;280;710;2;19982
"Amsterdamse Poort";1395;715;680;155;265;410;395;180;1020;120;230;30;265;1005;35;105;460;10;390;5;6;20;13;835;605;80;150;1,5;3249
"Hoptille";1890;955;935;265;565;665;325;70;1500;210;170;10;370;1245;70;135;390;35;615;20;11;5;3;1205;825;140;235;1,6;9450
"Rechte H-buurt";3055;1495;1560;560;505;820;870;295;2095;475;445;40;300;2440;65;145;735;25;1465;25;8;20;6;1570;875;180;505;1,9;15270
"Hakfort/Huigenbos";2515;1245;1275;490;395;810;665;155;1835;360;295;25;195;1950;95;140;600;45;1075;25;10;10;3;1280;680;205;400;2;9319
"Huntum";210;105;105;25;30;35;55;55;100;85;15;5;35;90;0;5;35;0;40;0;5;0;0;95;30;35;30;2,2;1873
"Vogeltjeswei";695;350;345;105;90;185;205;110;405;195;75;20;65;535;5;35;320;20;150;5;6;5;9;300;105;50;140;2,3;9929
"Nelson Mandelapark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
"Bijlmer Oost (E,G,K)";29840;15040;14800;5020;4345;8720;7875;3880;19450;5835;3890;665;3265;20380;705;1525;8910;400;8840;355;12;200;7;15595;8365;2385;4840;1,9;8066
"E-buurt";2220;1075;1145;545;505;650;470;45;1590;485;130;10;260;1485;100;105;770;95;415;35;17;5;1;865;325;110;435;2,5;7158
"G-buurt West";3655;1870;1790;480;490;1205;1060;425;2350;795;455;55;425;2700;65;205;1415;35;990;35;9;10;4;1890;955;325;600;1,9;9138
"Bijlmermuseum Noord";2290;1095;1195;370;320;485;670;450;1460;350;420;60;170;1840;40;130;540;10;1115;20;9;25;10;1265;695;165;400;1,8;16350
"Kortvoort";2875;1395;1480;445;325;835;750;520;1870;390;510;105;230;2075;85;230;1000;40;720;40;15;60;19;1740;1110;180;445;1,7;13676
"Kelbergen";1015;490;520;175;160;210;300;165;625;245;115;30;80;670;10;60;325;10;265;10;10;5;6;460;195;80;185;2,2;5075
"K-buurt Midden";2370;1200;1170;430;400;795;585;160;1725;315;305;20;225;1750;95;110;555;15;970;25;10;10;5;1310;765;165;375;1,8;14813
"K-buurt Zuidoost";1375;695;675;345;190;530;265;45;925;340;90;20;115;1000;50;75;435;35;410;25;19;5;5;565;200;95;275;2,4;7633
"K-buurt Zuidwest";1430;690;735;260;280;380;405;105;935;335;130;35;95;1115;45;75;565;40;390;10;9;0;1;610;240;80;285;2,3;9533
"Grunder/Koningshoef";1735;825;905;340;265;540;475;120;1130;405;175;20;175;1325;45;85;745;25;425;20;13;5;2;775;340;115;320;2,2;14433
"G-buurt Oost";3145;1695;1455;265;385;770;745;980;1665;915;395;170;610;1040;30;65;495;20;430;15;4;30;9;1920;1145;490;290;1,6;3615
"Kantershof";2240;1190;1050;305;260;515;675;490;1235;550;375;80;310;1265;15;80;615;25;535;35;14;25;11;1255;750;185;320;1,8;4571
"Gooise Kant";650;315;335;185;70;300;90;5;465;155;30;0;55;455;25;30;240;20;140;15;25;0;0;255;75;45;140;2,5;4650
"G-buurt Noord";1775;955;815;320;225;495;615;125;1290;175;300;15;70;1530;30;130;620;10;745;25;14;15;7;1030;650;100;280;1,7;22188
"Bijlmermuseum Zuid";3075;1550;1525;560;480;1015;760;255;2185;395;465;35;430;2120;75;150;600;10;1280;40;13;10;3;1655;920;245;495;1,9;12817
"Nellestein";3065;1605;1460;385;265;980;780;655;1845;715;375;130;650;1090;25;70;385;35;580;35;11;30;10;1840;1045;430;365;1,7;1400
"L-buurt";3010;1580;1435;380;250;975;760;645;1815;700;370;125;650;1080;30;70;380;30;575;30;11;30;10;1815;1035;425;355;1,7;4362
"Gaasperpark";20;10;10;0;5;0;10;0;10;10;5;0;0;5;0;0;0;0;0;0;0;0;48;10;5;0;0;2,1;29
"Gaasperplas";35;15;20;0;5;5;10;10;15;10;0;0;5;5;0;0;0;0;5;0;29;5;29;15;5;5;5;2,1;45
"Holendrecht/Reigersbos";18120;8695;9420;3070;2275;4765;4795;3210;11235;3965;2320;600;1780;11465;460;875;5660;165;4305;195;11;155;8;9090;4500;1520;3065;2;6968
"Holendrecht West";2850;1295;1550;610;435;600;685;520;1910;335;490;115;170;2110;70;175;1100;25;735;30;9;40;13;1440;800;120;515;2;8143
"Reigersbos Noord";4245;1940;2300;860;620;1080;1150;525;2845;685;625;90;285;3260;140;300;1445;55;1320;60;14;30;6;2030;945;265;825;2,1;11476
"Holendrecht Oost";2505;1225;1280;370;235;605;590;710;1225;945;210;125;340;1095;50;70;625;10;345;25;9;20;9;1170;425;340;410;2,1;3978
"Gaasperdam Noord";1995;1035;960;280;235;660;595;220;1370;355;240;35;235;1275;65;85;620;20;485;25;12;10;6;1020;545;175;300;1,8;8313
"Gaasperdam Zuid";1540;755;780;185;190;460;425;275;1005;260;205;70;190;930;15;65;420;5;420;20;11;15;10;920;590;135;200;1,6;8550
"Reigersbos Midden";2445;1175;1265;350;310;675;655;450;1480;570;310;80;250;1540;70;100;775;30;570;25;10;15;8;1315;695;205;410;1,9;9772
"Reigersbos Zuid";2540;1260;1280;405;250;690;685;510;1400;815;235;90;310;1250;45;80;680;20;425;20;8;20;8;1195;510;280;405;2,1;4378
"Gein";11235;5580;5650;1740;1330;3020;3310;1840;6515;3105;1315;295;1345;5895;205;390;2730;85;2480;115;10;90;8;5555;2530;1125;1895;2;6139
"Gein Noordwest";2960;1490;1475;475;405;875;785;425;2040;405;445;70;350;1855;85;145;845;30;755;30;11;45;16;1650;995;215;445;1,7;9552
"Gein Zuidwest";1670;800;865;305;235;525;475;125;1150;265;235;20;160;1200;45;70;470;15;595;20;12;5;4;855;435;115;305;1,9;9818
"Gein Noordoost";3250;1650;1600;450;375;715;1055;660;1490;1445;230;85;455;1110;5;50;570;15;465;25;8;15;4;1405;420;445;545;2,3;5077
"Gein Zuidoost";3355;1635;1715;505;320;910;985;630;1840;995;405;120;380;1730;75;125;840;30;660;40;11;25;7;1640;685;355;600;2;4660
"Driemond";1630;780;845;305;180;365;490;285;810;635;115;65;165;195;20;25;85;15;50;20;12;15;9;685;200;190;295;2,4;930
"Dorp Driemond";1485;705;785;260;170;335;450;275;730;580;110;65;150;185;20;20;80;20;50;20;13;15;10;645;195;185;270;2,3;5117
"Landelijk gebied Driemond";145;80;65;45;15;30;40;15;80;50;5;0;15;5;0;0;5;0;0;0;0;0;0;45;0;10;30;3,5;98
