"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Begijnhofbuurt";400;36,3;34,5;36,1;23,1;27,6;64,6;8;10,9;11,3;15,3;20,7;6,3
"Kalverdriehoek";300;47,4;43,1;32,1;35,9;35,3;47,1;21,1;9;7,8;9;10,8;5,7
"Grachtengordel-West";5200;73,5;62,6;30,7;40,5;62,8;38,9;30,7;7,8;6,8;8,4;10;109,3
"Langestraat e.o.";1500;63,8;53,6;31,5;39,9;54,3;37,1;30,3;7,7;7,1;8,3;10;226,6
"Leliegracht e.o.";1300;75,9;64,3;30,7;40,5;68,8;38,8;32,1;6,9;6,3;7,9;9,2;81
"Felix Meritisbuurt";1700;79;68,4;30;40,5;67;40,1;28,6;8,3;6,8;8,7;10,8;80
"Leidsegracht Noord";600;77,4;66,3;30,5;42,4;58,1;40,2;34,7;8,5;7,1;8,5;9,3;62,2
"Grachtengordel-Zuid";4400;75,1;62,9;30,8;39,1;63;41;28,4;8,3;7,5;8,9;10;56,6
"Spiegelbuurt";600;67,5;55,5;25,9;43,3;57,3;34,8;31,4;9,2;7,8;8,8;9,4;126,8
"Gouden Bocht";100;82,6;66,8;25,4;43;;;;;;;;
"Van Loonbuurt";1200;68,3;56,8;32,2;38,8;61,1;39,9;29;6,3;6,5;7,6;8,2;112,7
"Amstelveldbuurt";1200;;;31,2;40,4;86,6;41,9;31,4;8,3;7,5;9,2;10,4;233,6
"Rembrandtpleinbuurt";400;57,1;51,3;25,1;37,5;42,6;43,4;20,4;8,9;7,4;9,9;10,6;7,3
"Reguliersbuurt";300;36,9;33;42,6;25,8;31,8;54,7;13,5;15,3;12,2;13,3;16,3;1,7
"Leidsegracht Zuid";500;61,2;51,7;31;40,9;57,4;38,9;31,9;6,8;5,9;7,4;8,6;83,9
"Nieuwmarkt/Lastage";8200;44,5;38,8;36,5;29,3;35,2;52,3;17,5;10,8;12,5;16,2;18,3;21,3
"Oosterdokseiland";400;70,2;57,7;23,7;45,5;59,1;33,3;33,3;6,4;5,6;8;8,8;18,6
"Scheepvaarthuisbuurt";600;43,1;37,5;32,2;29,2;35,7;48,9;21,6;7,2;7,5;8,5;9,2;24,5
"Rapenburg";700;42,9;35,5;37,5;31,7;34,5;50,7;18,5;9,2;10,3;13,2;15;15,4
"Lastage";900;45,9;40,2;35;32,4;35,2;49,5;19;9,9;10,7;13,3;14,9;29,6
"Nieuwmarkt";1300;34,2;30,1;44,1;20,7;28,3;63,6;11,6;15,9;18,1;24,5;28;12
"Uilenburg";1100;51,8;45,8;33,5;34,8;39,5;46,4;21,2;10,2;11,3;15,1;16,2;30,1
"Valkenburg";1000;45,7;39,8;35,7;31,5;34,6;50,3;17,9;7,4;11,1;14,3;17,3;45,4
"Zuiderkerkbuurt";1300;42,7;38,6;38,6;26,5;34;54,8;15,3;12,7;15,5;18,5;21,5;16,4
"Waterloopleinbuurt";800;41,6;36,6;35,1;24,3;33,3;54,7;12,7;10,5;12,6;16,6;18,3;19,1
"Haarlemmerbuurt";7700;44,7;38,3;36;29,8;36,6;49,4;20,1;11,4;12,2;16,3;19,3;25,6
"Westerdokseiland";1500;55,1;45,6;31,6;41,1;45,5;31,7;32,4;7,1;9,5;12,3;14,6;154,9
"Haarlemmerbuurt Oost";1200;42,4;36,9;34,9;29,6;34,8;51,7;17;9,6;10,5;14,5;16,9;21,8
"Haarlemmerbuurt West";2000;42,7;36,7;38;27,5;36,4;53,2;18,5;13,3;13,6;18,4;21,3;16,6
"Westelijke eilanden";2400;42,7;36,3;37,1;26,7;34,5;51,2;18,8;11,9;12,7;16,4;20,1;32,6
"Planciusbuurt Noord";300;35,9;32,7;36,4;22,7;27,5;63,9;8,3;14,7;13,4;20,7;22,8;6,4
"Planciusbuurt Zuid";200;37,6;34,6;45,7;11,3;28,7;74,4;6,6;22,3;19,6;30,4;34,8;1,6
"Jordaan";16700;43,8;38,7;37,6;27,3;36,4;54,2;16,1;12,4;13,2;17,1;20,1;16,6
"Driehoekbuurt";2400;44;39;38,1;28,2;35;54,7;15,5;14;14,3;18,3;21,2;14,9
"Bloemgrachtbuurt";2500;48,7;41,6;33,8;31,8;45,1;47,9;19,8;9,4;10,6;13,7;16,1;29,4
"Marnixbuurt Noord";1200;36,2;31,8;41,8;21,5;29,2;59,9;13,1;13,7;15,4;20,6;23,7;7,6
"Zaagpoortbuurt";800;33,6;30,7;41,5;18,4;25,6;69,4;6,8;18,1;17,4;23,2;27,3;1,6
"Marnixbuurt Midden";200;43,6;39;36,1;32,5;42,3;42,4;20,3;7,5;5,6;8,4;11,2;20
"Elandsgrachtbuurt";3700;45,2;39,8;37,8;28,1;39,2;54,3;16,8;12,3;13,7;17,4;21;16,4
"Passeerdersgrachtbuurt";800;51,3;45,6;36,8;31,6;38,6;51,2;18,5;12,5;11,6;16,4;21,1;44,2
"Groenmarktkadebuurt";200;47,4;43,9;27,4;34,4;44,7;44,4;18,8;3,6;2,9;3,6;5;7,1
"Marnixbuurt Zuid";600;44,7;41,5;30,7;28,9;33;56,8;11,8;10,4;10,2;13,6;17,1;16,3
"Anjeliersbuurt Noord";1800;46;40,5;39;26,1;38;51;19,3;11;11,9;15,2;17,5;22,9
"Anjeliersbuurt Zuid";2500;39,8;35,1;39,1;25,3;31;55,3;14,9;13,3;14,5;19,3;21,6;20
"De Weteringschans";6000;60,4;51,1;30,3;37,7;45,9;42,6;25;8,7;8,5;10,7;12,5;39,6
"Leidsebuurt Noordwest";200;42,2;39,5;33,8;31,2;33;51,9;12,3;8,4;7,1;10,3;12,3;20,9
"Leidsebuurt Zuidwest";100;45,5;40,8;38,6;24,6;;;;;;;;
"Leidsebuurt Noordoost";900;46,8;41,8;35,5;28,9;37;50,2;14,9;8,9;8,9;10,5;13,6;6,9
"Leidsebuurt Zuidoost";200;51,4;41,9;31,3;39,1;36,4;47;20,4;10,4;11,6;13,4;15,2;18,3
"Weteringbuurt";2000;70,5;58,5;29,3;39,3;50,3;40,7;25,4;8,7;7,4;9,7;11,3;44
"Den Texbuurt";800;60,4;48,9;29;40,3;45,6;39,6;32,4;7,6;8,2;11;12,7;95
"Utrechtsebuurt Zuid";1000;56,6;48,3;29,7;38,1;48,9;42,8;26,2;9;10,2;12,1;13,3;62,6
"Frederikspleinbuurt";800;65;55,2;26,5;43,8;50,8;33,4;33,8;8,1;7,5;10,1;11,7;148
"Weesperbuurt/Plantage";5700;52;45,1;33,8;34,4;54,4;47,7;22,2;9,5;9,9;13;15;32,5
"Weesperbuurt";2500;51,7;46;36,5;31,9;;52,9;19,3;10,1;11,2;14,8;17,7;17,9
"Sarphatistrook";1500;50,8;43,8;33,7;33,1;39,1;48,6;21,1;11,2;11,6;14,7;16,4;20,9
"de Plantage";1400;54,2;45,8;30,3;39,3;;37,8;28,5;6,7;6,3;8,6;9,5;215,8
"Alexanderplein e.o.";300;50,6;41,5;28,1;37,9;37,4;44,3;24,5;9,1;8,7;11,1;11,1;47,6
"Oostelijke Eilanden/Kadijken";11100;38,7;33,2;39,3;25,8;31,5;52,9;16,8;12,7;13,3;17,7;20,7;14
"Marine-Etablissement";0;;;;;;;;;;;;
"Kattenburg";1400;28,6;24,9;51,1;15,9;23,8;64,8;11,5;11,8;14,3;19;22,6;3,5
"Wittenburg";1900;35,8;30,9;37,6;22,4;30,3;52,4;13,5;11,3;12,6;16,9;20;14,1
"Oostenburg";1400;38,3;32,9;40;25,1;31,7;51,7;17,7;15,1;17,2;20,9;24;12,4
"Czaar Peterbuurt";2000;37,2;32;38,9;26;29,3;57;14,7;14,9;14,2;19,2;22,3;4,1
"Het Funen";1000;55,3;41,4;30,5;42,3;42,2;30,9;36,9;6,3;6,4;9,7;11,8;335,8
"Kazernebuurt";800;37,6;34,6;39;24,1;30,4;55,5;13,2;14;14;19,6;21,9;11,4
"Kadijken";2500;42,2;36,8;37,4;28,8;35,1;50,6;18,1;13;12,8;17;19,9;32,5
"Westelijk Havengebied";100;;25,6;;;;;;;;;;
"Coenhaven/Mercuriushaven";0;;;;;;;;;;;;
"Alfa-driehoek";0;;;;;;;;;;;;
"Petroleumhaven";0;;;;;;;;;;;;
"Westhaven Noord";0;;;;;;;;;;;;
"Vervoerscentrum";0;;;;;;;;;;;;
"Amerikahaven";0;;;;;;;;;;;;
"Afrikahaven";0;;;;;;;;;;;;
"Westhaven Zuid";0;;;;;;;;;;;;
"Bedrijventerrein Sloterdijk";600;25,3;23,4;52,3;9,3;19,4;82,9;1,2;21,1;17,9;22,6;24;0
"Sloterdijk II";0;;;;;;;;;;;;
"Sloterdijk III Oost";0;;;;;;;;;;;;
"Sloterdijk III West";100;;;;;;;;;;;;
"De Heining";0;;;;;;;;;;;;
"Teleport";500;26,3;24,7;48,8;9,3;20;82,3;1;18,2;15,3;18,2;19,3;0
"Bretten Oost";0;;;;;;;;;;;;
"Bretten West";0;;;;;;;;;;;;
"Houthavens";2300;69,2;53,6;20,3;52,4;53;24,1;43,6;6,3;6,3;7,3;8,3;294
"Houthavens West";1700;76,5;57,4;16,9;57,8;57,9;19,1;50,6;5;5,2;5,7;6,3;290,3
"Houthavens Oost";600;47,3;40,9;30,5;36,3;40,2;37;25,5;9,8;9,3;11,6;13,6;332,8
"Spaarndammer- en Zeeheldenbuurt";8800;34,8;29,5;40,7;21,4;28,8;56,6;12,4;15,5;16;21;24,8;4,7
"Zeeheldenbuurt";1600;37,8;31,5;37,5;23,2;31,3;49,9;14,7;13;13,9;18,6;21,8;9,7
"Spaarndammerbuurt Noordoost";2300;31,5;26,8;45,6;18,2;26,4;62,1;9,6;18,8;18,4;24,3;29,2;3,1
"Spaarndammerbuurt Zuidoost";900;35,4;30,5;39,8;23,4;30,1;53,9;13,2;12,4;13,4;18;21,9;6,4
"Spaarndammerbuurt Zuidwest";1300;37,6;31,7;38,1;24,8;30;56,6;14;14,3;15,9;21,8;25,2;6,8
"Spaarndammerbuurt Midden";1100;35;29,5;40,1;21,2;28,6;57,7;12,3;13,7;14,7;19,6;22,9;4,5
"Spaarndammerbuurt Noordwest";1700;34,1;28,9;39,5;20,4;28,4;55,3;12,8;16,7;16,9;20,2;23,5;2,1
"Westergasfabriek";0;;;;;;;;;;;;
"Overbraker Binnenpolder";0;;;;;;;;;;;;
"Staatsliedenbuurt";11100;39;33,4;37,2;27,2;31,7;51,6;15,7;13,2;14;18,7;21,2;11,7
"De Wittenbuurt Noord";1100;41,6;34,7;37,6;28,5;32,9;54;16,7;12,9;14,6;18,3;20,6;14
"De Wittenbuurt Zuid";800;30,8;26,9;47,2;16;26,5;63,3;9,1;19,3;22,1;27,6;30,4;6,8
"Staatsliedenbuurt Noordoost";1100;30,9;27,3;45;17,1;26,2;63,5;9,4;14,6;18,5;25,5;30,9;5,5
"Fannius Scholtenbuurt";3100;38,4;32,9;37,7;26;30,5;54,6;13,4;15,6;15,3;19,9;22,3;10,7
"Westerstaatsman";2500;39,4;34,2;34,3;28,8;32;48,1;15,3;11,7;11,2;15,3;17,6;15,1
"Buyskade e.o.";2600;43,7;36,9;33,1;33,8;36,5;40,7;23,8;9,1;10,3;14,5;16,3;19,6
"Centrale Markt";2000;37,8;32,1;37,3;28,3;35,6;43,5;21,7;10,1;10,5;14,5;17,6;42,4
"Ecowijk";1100;38,3;31,8;37,4;29,7;37,9;34,3;26,4;7,6;7,3;10,6;14,2;165,9
"Markthallen";0;;;;;;;;;;;;
"Bedrijvencentrum Westerkwartier";100;;;;;;;;;;;;
"Marcanti";900;37,4;32,8;36,8;26,7;33,6;52,8;16,9;12,6;13,9;18,8;21,4;13
"Frederik Hendrikbuurt";6900;42;36,6;34,7;29,5;32,8;51;16,7;12,8;13,5;17,6;20,1;13,9
"Frederik Hendrikbuurt Noord";3300;40,3;34,9;35,6;28,2;31,9;51,2;17,3;11,9;13,1;17;19,5;13,3
"Frederik Hendrikbuurt Zuidoost";2700;43,1;37,8;33,6;30,8;32,2;52,5;14,7;14,3;14,6;18,8;21,2;9,4
"Frederik Hendrikbuurt Zuidwest";1000;45,2;39,6;34,7;30,8;37,6;45,8;20,7;11,2;11,8;15,7;18,6;39,6
"Da Costabuurt";4000;46,3;40,1;31,4;33,2;35,9;47;20,8;9,4;10,7;13,6;16;25,2
"Da Costabuurt Noord";4000;46,3;40,1;31,4;33,2;35,9;47;20,8;9,4;10,7;13,6;16;25,2
"Kinkerbuurt";5300;43;37,3;33,8;30,4;33,5;50,6;16,9;12,1;12,2;15,7;18,4;8,4
"Bellamybuurt Noord";2000;40,4;34,2;36,7;28,1;31,5;53,1;16,8;12,7;12,8;16,7;20,2;7,4
"Bellamybuurt Zuid";3300;44,7;39,3;32,1;31,8;34,7;49,2;16,9;11,8;11,8;15;17,2;8,9
"Van Lennepbuurt";6100;36,4;31,8;41,8;23,3;29,5;57,9;12,2;15;16,8;22,1;26;7,3
"Da Costabuurt Zuid";1900;43,2;37,8;33,8;30,6;32,8;50,8;15,6;11,1;10,9;13,8;16,7;12,7
"Borgerbuurt";2500;29,6;25,8;50,3;15,8;26,2;64,9;8,6;16,8;21;28;33,5;4,9
"Lootsbuurt";1600;38,5;33,8;38,3;26,2;30,3;56,5;13,4;16,8;17,2;23,2;25,8;6,6
"Helmersbuurt";6200;52,1;44,3;31,6;35,5;39,5;44,9;24;9,4;9,9;12,6;15,1;29,3
"Helmersbuurt Oost";2100;56,5;46,9;29;38,4;43,6;40,7;27,2;5,9;6,1;7,4;9,2;39,6
"WG-terrein";2100;44,5;38,9;36,8;30,3;35,5;51,7;20,2;13,5;14,2;18,4;22,3;23,9
"Cremerbuurt Oost";1900;55,7;47,1;28,8;38;39,6;41,9;24,7;8,3;9,1;11,5;13,2;28
"Overtoomse Sluis";6700;50,9;43,7;29,6;36,9;39,1;43,2;23,5;8,2;8,4;11,3;13,5;27,3
"Cremerbuurt West";4900;48,7;42,1;29,2;36,5;38,3;43,1;22,4;8,8;8,5;11,7;13,9;23,7
"Vondelparkbuurt West";1800;57;47,7;30,6;38,1;41,3;43,3;26,6;6,5;8,2;10,4;12,3;37,2
"Vondelbuurt";1300;74,1;59,2;33,2;37,8;62;42;31,3;8,7;8,7;12,1;13,6;57,4
"Vondelparkbuurt Oost";700;82,4;67;31,1;42;64,7;35,2;34,6;9,4;7,8;9,6;9,9;155,7
"Vondelparkbuurt Midden";700;65,8;51,6;35,3;33,5;59,2;48,9;27,9;7,9;9,6;14,5;17,3;31,5
"Zuidas";3000;75;61,7;26;45,5;50,5;44,9;29,3;3,9;2,7;4,3;5,4;4,8
"Zuidas Noord";400;70,9;58,5;11,7;56;49;29,3;40,2;1,3;1,3;1,3;1,3;9,8
"RAI";0;;;;;;;;;;;;
"VU-kwartier";100;;;;;;;;;;;;
"Zuidas Zuid";1800;94,2;76;15,2;55,9;68,1;25,5;39,6;2,1;1,7;2,4;2,6;17,7
"Vivaldi";700;30,9;26,8;60,7;14,8;20,2;85,8;7,1;11,9;7,1;13,4;18,2;-6,7
"Oude Pijp";12600;45,1;39,3;33,9;30,7;34,3;52,2;17,9;11,3;11,7;15,3;17,7;9,8
"Hemonybuurt";2200;49,6;41,9;31,4;36;37,7;46,6;24;9;9,4;11,4;13,4;20,7
"Gerard Doubuurt";1600;42,6;36,8;37,6;28,7;32,7;55,1;16,4;13,3;14,2;19;22,5;9,7
"Frans Halsbuurt";2200;50,3;43,7;31;34,5;38,7;49;21,1;11;11,1;14,5;16,6;16,5
"Hercules Seghersbuurt";2300;39,8;35,3;36;26;30,5;56,7;13,1;13,6;13,7;17,8;20;4,8
"Sarphatiparkbuurt";4300;43,8;38,7;34,1;29,4;32,9;53,2;16,3;10,7;11,2;15;17,4;8
"Nieuwe Pijp";10600;43,4;37,8;35,5;30,7;33,6;51,9;18,1;11,3;12,5;16,4;19,4;11,1
"Willibrordusbuurt";2300;38,6;34,5;41;24,5;30,9;60,5;14,3;13;14,9;19,8;23,9;6,3
"Van der Helstpleinbuurt";3300;47;40,8;31,9;34,9;35,7;48,3;20,4;10,6;11,4;14,7;16,8;12,5
"Lizzy Ansinghbuurt";2000;41,1;35,4;37,9;27,9;32,1;51,9;16,7;12,5;13,4;17,5;21;9,5
"Cornelis Troostbuurt";3000;44,6;38,5;33,5;32,8;34,4;49;19,5;9,8;11,3;14,9;17,9;17,3
"Zuid Pijp";6800;31,9;27;46,9;18,5;27,3;61,6;10,8;17,2;19,2;26;30,3;4,1
"Diamantbuurt";2600;31,7;26,5;48,1;18,3;27,6;61,2;11,5;18,1;20,1;26,7;30,6;3,4
"Burgemeester Tellegenbuurt Oost";2300;32,8;27,9;44,7;20,1;27,9;60,7;10,8;16,9;19;25,3;29,5;4,9
"Burgemeester Tellegenbuurt West";1900;30,9;26,6;48;17,1;26;63,1;10;16,5;18,4;25,7;30,9;3,9
"Weesperzijde";4700;49,3;41,8;30,3;38;38;43,3;24,4;9,3;9,4;12,1;14,3;25,6
"Swammerdambuurt";1700;54,1;46,2;27,4;41;41,2;42,2;28;7,6;7,5;9,2;10,9;45,1
"Weesperzijde Midden/Zuid";2800;48,6;41,1;29,8;38,8;38,2;40,5;24,6;9,2;10;12,7;15;26,5
"Parooldriehoek";200;22,5;18,4;57,7;7,3;17,3;77;1,5;24,4;17,6;27,5;32,1;0,8
"Oosterparkbuurt";9000;37,9;32;40,3;25,7;30,6;55,3;15,8;15,3;16,2;21,8;24,7;6,5
"Oosterparkbuurt Noordwest";3300;37;32,5;38,9;25,2;29,8;56,9;13,4;14,3;14,7;20;22,7;5,3
"Oosterpark";100;28,3;26,6;49,5;10,8;;;;;;;;
"Oosterparkbuurt Zuidoost";3100;41,8;34,3;37,5;29,8;33,3;49,9;20,9;12,3;14,1;18,4;21,6;17,3
"Oosterparkbuurt Zuidwest";2600;34,8;28,8;44,8;22;28,9;58,1;14;19,3;20,2;27,2;30,3;3,5
"Dapperbuurt";8200;36,2;30,7;42,3;23,8;29,9;55,8;15,3;14;15,7;21,1;24,7;5,6
"Dapperbuurt Noord";3600;33,7;29;44;21,5;28,6;56,4;12,9;13,7;15,8;21,6;25,1;5,8
"Dapperbuurt Zuid";3200;33,4;28,9;44,6;20,5;27,6;60,5;12,6;15,3;16,4;22,4;26,4;2,7
"Oostpoort";1500;48,2;38,1;33,4;36,3;38,7;42,9;27,6;11,9;13,5;17,2;20;39,6
"Transvaalbuurt";7600;33,1;27,5;44,8;20,3;28,4;55,9;14;15,7;16,9;22,5;25,7;3,1
"Transvaalbuurt West";3400;32,1;27,1;45,6;19,6;27,8;57,4;12,4;16,8;18,1;23,9;27;3,6
"Transvaalbuurt Oost";4100;33,9;27,8;44,2;20,8;29;54,6;15,3;14,8;15,9;21,2;24,6;2,7
"Indische Buurt West";10400;33,6;28,1;43,1;21,7;28,6;53,1;14;15;15,7;20,6;24,3;4,3
"Noordwestkwadrant Indische buurt Noord";3200;38,4;32,2;35,1;27,5;30,8;49,4;16,4;12,9;13,1;16,9;19,7;10,1
"Noordwestkwadrant Indische buurt Zuid";3900;35,1;29,8;41,4;24;29,4;51,8;15,1;13,8;14,3;18,6;22,2;4,2
"Zuidwestkwadrant Indische buurt";3300;27,3;22,2;52,8;13,4;25,2;58,9;10,1;18,8;20,3;27,1;31,6;2,2
"Indische Buurt Oost";8000;30,4;25,1;48,5;17,4;27,1;57,3;11,5;16,9;18,8;24,8;29;2,7
"Noordoostkwadrant Indische buurt";4700;29,4;24,5;49,4;16,3;26,1;60,6;10,5;18,3;20,7;27,1;31,2;2,4
"Zuidoostkwadrant Indische buurt";2900;29,6;24;49,1;16,6;27;54,8;11,1;15,7;17,1;23;27,5;2,4
"Zeeburgerdijk Oost";300;50,7;42;31,3;37,6;41,8;30,4;30;6;6;6,5;9,5;271,1
"Flevopark";0;;;;;;;;;;;;
"Oostelijk Havengebied";15400;48,5;39,9;30,2;38;40,4;32,8;30,1;7,4;7,2;9,6;11,5;66,7
"Oostelijke Handelskade";1200;63,1;51,3;23,1;48,8;51,9;25,3;35,6;6,7;6;8,6;9,3;31,4
"Rietlanden";2000;49,9;40,6;30,1;38,9;41,2;33,7;30,9;6,9;7,8;10,3;12,4;40,1
"Java-eiland";2500;51,4;42,7;25,6;41,9;41,3;29;31,7;5,9;5,7;6,9;8,4;81,3
"KNSM-eiland";2100;46,7;41;30;35;38,8;36,4;24,9;7,4;7,8;9,8;11,7;148,9
"Sporenburg";2200;51,1;40,3;29,6;42,8;43,8;21,7;44,1;4,6;3,9;4,9;6,4;211,7
"Borneo";2100;47,4;36;33,9;37,3;39,6;28,4;37,2;7,2;6,6;8,9;10,5;87,3
"Entrepot-Noordwest";1200;37;31,5;39,4;24,3;31,8;47,9;15,4;11,8;11,5;16,2;19,1;12,5
"Architectenbuurt";1500;39,9;34,8;34,5;29,4;34,2;41,5;17,9;10,2;9,8;13,9;17,4;110
"Bedrijvengebied Veelaan";0;;;;;;;;;;;;
"Bedrijvengebied Cruquiusweg";400;52,4;45;22,7;44,9;48,1;36,7;30,4;10;7,3;11,5;12,3;2,7
"Bedrijvengebied Zeeburgerkade";100;39;30,8;32,5;25,6;;;;;;;;
"Zeeburgereiland/Nieuwe Diep";3600;37,6;30,9;38,8;28,8;28,5;52,7;16,7;9,2;8;12,5;14,1;1,8
"Zeeburgereiland Noordwest";0;;;;;;;;;;;;
"Zeeburgereiland Zuidoost";300;12,4;11;84,7;2;10,3;96,5;0,6;;;;;-10,3
"Zeeburgereiland Zuidwest";300;17,5;15,7;74,7;7,5;14;86;2,8;;;;;-2,5
"Nieuwe Diep/Diemerpark";100;;;;;;;;;;;;
"RI Oost terrein";2900;41,8;33,9;31,1;33,2;32,6;42,7;20,3;7,9;7,2;11,4;12,8;4,5
"Zeeburgereiland Noordoost";0;;;;;;;;;;;;
"IJburg West";11300;48,1;35,1;34,6;36,4;39,7;29,1;34,8;7,6;7,4;10,2;12,2;57,8
"Steigereiland Noord";1200;46,8;34,9;33,1;36,4;39,9;30,5;32,7;7,4;6,8;9,2;12;16
"Steigereiland Zuid";1800;47,4;33,1;38,1;35,4;39,6;28,6;40,2;8,1;7,1;10,9;12,9;251,7
"Haveneiland Zuidwest/Rieteiland West";2000;63,3;46;31,2;45,5;55;14,5;54,1;3,5;3,1;3,7;4,5;444,6
"Haveneiland Noordwest";2200;42,5;33,1;35,1;32,2;33,9;40,1;23,8;10,5;10,6;14,4;16,2;11,4
"Haveneiland Noordoost";4100;44,3;31,8;34,9;34,6;36,7;28,4;31,7;7,5;7,7;10,7;12,9;44,3
"Sloterdijk";400;51,2;44,5;23,9;44,9;37,8;33,9;28,7;12,9;11,8;14,6;15;6,3
"Woon- en Groengebied Sloterdijk";400;56,6;48,7;15,8;51,2;43,3;21,7;34,3;4,5;3,7;5,3;5,3;14,3
"Bedrijventerrein Sloterdijk I";100;;;;;;;;;;;;
"Landlust";15400;33,9;27,8;41;21,6;28,9;52,5;13,6;13,9;14,2;18,8;22,1;4,4
"Bedrijventerrein Landlust";500;45,3;42,1;24,5;35,8;34,8;44,4;15,8;4,3;5,5;6,9;8,1;13,3
"Bosleeuw";4500;29,9;24;46,7;16,9;26,4;55,5;11,9;14,9;14,3;18,9;22,5;3,1
"Landlust Zuid";3400;38,2;31,7;36,8;27,2;31,4;49,1;17,5;13;14,7;18,8;22,4;8,8
"Erasmusparkbuurt Oost";1500;40,5;31,9;34,8;29;33,2;43,7;22,4;10,3;10,3;14,4;16,9;12,6
"Gibraltarbuurt";3500;31,8;26,4;42,4;18,4;27;57,6;9,9;17,1;17,3;22,4;26,2;2,1
"Landlust Noord";1900;31,5;25,8;42,1;19;28,2;51,4;10;13,1;12,9;18,2;20,4;4,4
"Erasmuspark";4900;38,5;32,7;31,9;28,4;32,3;43,5;17;7,7;8,6;11,6;14;18,3
"Erasmusparkbuurt West";3400;39,4;33,5;29,8;29,4;33;41,7;17,4;6,6;7,5;9,7;12,3;31,2
"Robert Scottbuurt Oost";1500;36,6;30,7;36,6;26;30,8;47,7;15,9;10,3;11,3;16,2;18,1;5,9
"De Kolenkit";8000;29,6;23,2;47,1;17,2;25,9;56,9;10,8;15,7;15,5;20,6;24,7;1,6
