"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Geslacht/Mannen (aantal)";"Bevolking/Geslacht/Vrouwen (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)";"Bevolking/Burgerlijke staat/Ongehuwd (aantal)";"Bevolking/Burgerlijke staat/Gehuwd (aantal)";"Bevolking/Burgerlijke staat/Gescheiden (aantal)";"Bevolking/Burgerlijke staat/Verweduwd (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren in Nederland/Buiten Europa  (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Europa (exclusief Nederland) (aantal)";"Bevolking/Bevolking naar herkomst/Geboren buiten Nederland/Buiten Europa (aantal)";"Bevolking/Geboorte en sterfte/Geboorte totaal (aantal)";"Bevolking/Geboorte en sterfte/Geboorte relatief (per 1 000 inwoners)";"Bevolking/Geboorte en sterfte/Sterfte totaal (aantal)";"Bevolking/Geboorte en sterfte/Sterfte relatief (per 1 000 inwoners)";"Bevolking/Particuliere huishoudens/Huishoudens totaal (aantal)";"Bevolking/Particuliere huishoudens/Eenpersoonshuishoudens (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens zonder kinderen (aantal)";"Bevolking/Particuliere huishoudens/Huishoudens met kinderen (aantal)";"Bevolking/Particuliere huishoudens/Gemiddelde huishoudensgrootte (aantal)";"Bevolking/Bevolkingsdichtheid (aantal inwoners per km²)"
"Robert Scottbuurt-West";2165;1030;1135;210;345;1000;335;275;1520;400;170;70;680;350;1135;680;65;505;285;630;;;;;1445;1060;205;185;1,5;15286
"Landlust";18790;9240;9555;2420;2310;8340;4090;1630;12995;4070;1380;345;6710;3295;8785;6710;725;3555;2570;5230;;;;;10515;5665;2515;2330;1,8;18386
"Bosleeuw";5635;2730;2900;740;905;2220;1245;520;3685;1440;400;110;1575;900;3155;1575;195;1305;705;1850;;;;;2960;1540;665;760;1,9;16510
"Gibraltarbuurt";4200;2070;2135;490;470;1940;945;360;3000;775;355;70;1525;710;1965;1525;145;755;565;1210;;;;;2525;1445;605;475;1,7;21752
"Bedrijventerrein Landlust";565;295;265;40;50;395;60;25;435;95;25;5;205;175;180;205;15;60;160;120;;;;;385;255;100;35;1,5;5207
"Landlust-Noord";2385;1165;1225;345;280;1070;485;205;1655;515;175;50;795;365;1225;795;75;520;290;705;;;;;1305;690;310;305;1,8;24357
"Erasmusparkbuurt-Oost";1870;935;935;275;230;740;455;165;1270;435;135;35;775;360;730;775;100;320;265;415;;;;;970;460;240;270;1,9;22536
"Landlust-Zuid";4135;2045;2095;530;385;1970;905;350;2950;810;300;75;1830;785;1525;1830;190;600;585;930;;;;;2370;1275;605;490;1,7;20799
"Erasmuspark";5740;2680;3060;555;660;2890;1150;480;4145;1120;365;105;2515;1220;2005;2515;250;735;970;1275;;;;;3310;1655;1050;605;1,7;15825
"Robert Scottbuurt-Oost";1740;810;925;160;230;825;355;170;1260;325;120;40;760;335;645;765;65;240;270;400;;;;;985;485;320;185;1,8;26237
"Erasmusparkbuurt-West";3995;1870;2130;390;430;2075;795;310;2885;790;250;65;1750;880;1365;1755;185;495;695;870;;;;;2325;1175;735;420;1,7;13496
"Centrale Markt";2330;1110;1220;250;230;765;715;375;1445;630;195;60;1130;390;810;1135;130;315;265;495;;;;;1260;640;310;310;1,8;4481
"Bedrijvencentrum Westerkwartier";60;30;30;5;10;10;25;10;35;20;5;0;50;0;5;45;0;0;5;5;;;;;30;10;5;10;1,9;405
"GWL-terrein";1220;575;645;155;145;285;445;185;730;360;110;25;635;185;400;635;70;170;115;230;;;;;615;260;150;200;2;19164
"Markthallen";15;10;5;5;0;5;0;5;10;0;0;0;10;5;0;10;0;0;0;0;;;;;5;0;5;0;2,2;50
"Marcanti";1040;495;540;85;70;465;235;175;670;255;80;35;440;200;405;440;50;145;145;260;;;;;610;355;155;100;1,6;17884
"Staatsliedenbuurt";13005;6460;6540;1175;1225;5510;3495;1600;9295;2505;1005;200;5765;2780;4455;5765;650;1655;2130;2805;;;;;8190;5005;1850;1330;1,6;27480
"Westerstaatsman";2845;1420;1430;245;280;1445;700;175;2175;485;175;20;1260;645;935;1260;130;335;515;600;;;;;1840;1165;400;275;1,5;28931
"Fannius Scholtenbuurt";3635;1805;1830;340;300;1645;1010;340;2735;605;245;40;1505;840;1290;1505;195;485;645;805;;;;;2325;1465;490;370;1,6;35026
"Staatsliedenbuurt-Noordoost";1215;610;605;105;100;350;325;335;730;270;175;45;500;205;505;505;50;180;160;330;;;;;775;490;150;135;1,6;20580
"De Wittenbuurt-Noord";1355;685;670;130;135;550;360;180;925;295;110;25;615;275;460;615;50;165;225;295;;;;;855;515;210;130;1,6;21262
"De Wittenbuurt-Zuid";810;405;410;50;85;215;250;210;515;190;90;25;375;135;295;375;40;105;100;195;;;;;540;360;105;80;1,5;22881
"Buyskade e.o.";3145;1545;1605;305;330;1310;840;355;2215;665;220;45;1505;675;965;1500;185;385;495;580;;;;;1860;1015;495;345;1,7;27838
"Frederik Hendrikbuurt";8270;4175;4095;645;770;3765;1930;1160;5945;1490;660;165;3830;1765;2670;3830;425;920;1335;1750;;;;;5200;3205;1280;710;1,5;23083
"Frederik Hendrikbuurt-Noord";3855;1865;1990;350;390;1795;840;480;2820;705;275;50;1830;875;1150;1830;220;440;660;710;;;;;2405;1410;620;375;1,6;21070
"Frederik Hendrikbuurt-Zuidwest";1215;595;615;70;105;360;340;335;735;270;125;80;620;220;375;615;70;130;155;245;;;;;715;410;195;110;1,6;19426
"Frederik Hendrikbuurt-Zuidoost";3200;1715;1485;225;280;1610;750;335;2390;520;260;30;1380;665;1150;1380;140;350;530;795;;;;;2085;1385;475;225;1,5;28375
"Van Galenbuurt";7740;4365;3375;780;885;3455;2005;605;5725;1060;840;110;2555;1065;4120;2555;240;1650;825;2465;;;;;3385;2035;780;570;1,6;26816
"Mercatorpark";2305;1700;605;235;250;985;800;30;1810;110;380;5;350;215;1740;350;55;695;160;1050;;;;;0;0;0;0;1;23896
"Orteliusbuurt-Noord";1310;635;675;130;130;625;260;165;925;230;120;40;565;205;540;565;40;225;170;320;;;;;805;460;215;130;1,6;30708
"Jan Maijenbuurt";2250;1085;1170;230;270;980;550;225;1605;425;180;35;800;325;1125;795;65;450;260;680;;;;;1390;850;285;255;1,6;28710
"John Franklinbuurt";1870;950;925;180;235;860;400;190;1395;290;160;30;845;315;710;845;80;290;240;420;;;;;1190;720;280;185;1,6;26356
"Geuzenbuurt";6715;3170;3550;690;830;3295;1295;600;5030;1185;390;105;3355;1440;1920;3350;330;725;1110;1195;;;;;4100;2335;1115;650;1,6;24374
"Pieter van der Doesbuurt";1895;915;975;195;245;840;430;185;1390;345;130;35;805;415;680;805;85;265;330;415;;;;;1145;655;295;195;1,7;26546
"Trompbuurt";3155;1465;1690;380;380;1515;590;285;2305;620;175;55;1670;630;855;1670;165;360;465;500;;;;;1805;940;520;345;1,7;25633
"Geuzenhofbuurt";1665;785;885;115;205;940;280;130;1335;220;90;20;885;395;390;880;90;100;305;290;;;;;1150;740;295;110;1,4;20553
"Hoofdweg e.o.";10280;5100;5175;1055;1235;4690;2245;1060;7275;1955;840;205;4230;1785;4265;4225;420;1645;1365;2630;;;;;6105;3445;1580;1075;1,7;25748
"Orteliusbuurt-Midden";1890;940;945;195;195;885;430;180;1390;330;150;25;860;370;665;860;85;235;285;430;;;;;1155;640;315;200;1,6;31046
"Balboaplein e.o.";3005;1470;1540;290;430;1380;660;245;2175;530;255;45;1220;495;1285;1220;115;515;380;775;;;;;1780;985;485;300;1,7;25749
"Orteliusbuurt-Zuid";1890;920;970;140;210;915;350;270;1325;355;145;70;825;400;665;825;80;230;325;435;;;;;1130;660;320;150;1,6;24550
"Columbusplein e.o.";3495;1770;1720;415;400;1510;805;360;2390;745;295;65;1325;515;1650;1325;140;660;375;985;;;;;2045;1155;460;430;1,7;24153
"Chassébuurt";6000;2925;3070;765;795;2400;1420;620;4090;1365;410;130;2500;1080;2420;2500;290;1025;790;1395;;;;;3285;1710;770;805;1,8;23667
"Filips van Almondekwartier";1095;555;535;115;120;540;230;90;790;215;70;15;520;230;340;520;50;135;185;205;;;;;650;365;175;105;1,7;26176
"Kortenaerkwartier";2210;1065;1140;260;350;850;520;230;1540;490;135;40;1050;435;725;1050;120;300;315;425;;;;;1240;660;295;285;1,8;22968
"Van Brakelkwartier";965;440;525;145;125;330;250;110;620;235;80;30;330;125;510;330;35;215;90;295;;;;;495;245;100;160;1,9;21509
"De Wester Quartier";1735;865;870;250;200;680;425;185;1135;430;130;40;600;290;845;600;90;370;200;475;;;;;900;440;200;255;1,9;24501
"Bellamybuurt";6300;3090;3215;640;665;3030;1350;625;4740;1060;420;85;2980;1360;1965;2980;290;710;1070;1255;;;;;3925;2375;985;570;1,6;25005
"Bellamybuurt-Noord";2390;1155;1235;255;255;1085;525;270;1775;420;145;40;1205;515;665;1205;115;265;405;405;;;;;1455;825;380;240;1,6;24897
"Bellamybuurt-Zuid";3915;1935;1980;385;410;1940;825;355;2955;640;270;45;1775;840;1295;1775;180;445;665;845;;;;;2475;1545;605;325;1,5;25071
"Da Costabuurt";4805;2360;2440;390;505;2230;1035;645;3465;935;325;85;2405;1165;1235;2405;240;425;920;815;;;;;2980;1680;860;445;1,6;22111
"Da Costabuurt-Noord";4805;2360;2445;390;500;2230;1040;650;3460;935;320;80;2405;1160;1240;2405;240;425;920;810;;;;;2980;1680;860;440;1,6;22111
"Westindische Buurt";6740;3165;3570;775;730;3280;1325;635;4880;1295;435;125;3500;1415;1820;3500;340;720;1080;1100;;;;;3880;1945;1210;730;1,7;21149
"Postjeskade e.o.";2990;1400;1585;315;320;1430;610;315;2150;565;215;55;1640;575;770;1640;135;295;435;475;;;;;1735;860;565;305;1,7;18418
"Paramariboplein e.o.";3745;1765;1985;460;405;1855;715;320;2730;730;220;70;1860;840;1050;1860;200;420;640;625;;;;;2145;1080;640;420;1,7;23983
"Van Lennepbuurt";6925;3395;3535;580;695;2930;1630;1095;4885;1255;610;180;2815;1310;2800;2820;300;985;1010;1815;;;;;4550;3005;895;650;1,5;27751
"Lootsbuurt";1865;945;915;160;165;870;455;210;1390;290;160;25;795;325;745;795;70;265;260;475;;;;;1250;835;225;190;1,5;29326
"Borgerbuurt";2815;1315;1505;270;265;885;715;690;1735;610;340;130;1025;425;1370;1020;135;505;290;865;;;;;1755;1115;325;315;1,6;24868
"Da Costabuurt-Zuid";2245;1130;1115;150;270;1175;460;195;1755;355;115;20;1005;560;685;1000;100;215;460;475;;;;;1545;1050;345;150;1,5;30865
"Overtoomse Sluis";7920;3820;4100;740;775;3890;1690;825;5805;1520;475;115;3835;1985;2090;3835;450;750;1535;1345;;;;;4905;2895;1305;705;1,6;26585
"Cremerbuurt-West";5700;2765;2935;530;535;2910;1205;510;4265;1050;325;65;2680;1490;1530;2680;345;515;1145;1015;;;;;3600;2140;955;505;1,6;28967
"Vondelparkbuurt-West";2220;1060;1160;210;235;980;480;315;1545;470;155;55;1160;495;565;1160;105;230;395;335;;;;;1300;750;345;200;1,6;21950
"Helmersbuurt";7510;3670;3845;735;850;3230;1735;965;5375;1545;475;115;3900;1685;1925;3900;400;700;1280;1230;;;;;4660;2780;1150;735;1,6;22433
"Cremerbuurt-Oost";2290;1145;1140;210;245;1110;540;185;1770;380;115;20;1215;520;550;1220;130;185;390;365;;;;;1430;850;375;210;1,6;33964
"WG-terrein";2585;1275;1315;245;225;915;670;525;1715;575;235;60;1310;495;780;1305;125;300;370;480;;;;;1680;1080;350;250;1,5;15775
"Helmersbuurt-Oost";2640;1245;1390;285;375;1200;525;255;1890;590;125;35;1375;665;595;1380;145;215;520;380;;;;;1555;850;425;280;1,7;25474
"Vondelparkbuurt";1870;960;905;175;250;615;470;360;1195;450;155;70;895;425;545;895;80;185;345;360;;;;;1070;620;260;195;1,7;8613
"Vondelparkbuurt-Midden";930;460;470;100;125;265;235;210;595;210;85;40;470;195;270;470;45;110;145;160;;;;;505;285;115;105;1,7;10231
"Vondelparkbuurt-Oost";935;500;440;75;130;350;240;150;600;240;70;25;425;235;280;425;35;75;195;200;;;;;570;330;150;85;1,6;7441
"Sloterdijk Nieuw-West";1330;750;580;85;360;710;150;20;1105;170;55;5;260;410;660;260;30;200;380;465;;;;;985;745;180;55;1,3;185
"Sloterdijk De Heining";25;15;10;5;0;5;5;5;15;10;0;0;20;5;0;20;5;0;0;0;;;;;10;5;0;0;2,6;26
"Sloterdijk Poort-Noord";15;15;5;0;0;5;10;0;15;0;5;0;10;5;5;10;0;0;5;5;;;;;15;15;0;0;1;11
"Sloterdijk Poort-Zuid";115;90;25;0;65;30;15;5;95;10;10;0;30;15;75;35;0;35;10;40;;;;;100;90;5;0;1,2;80
"Sloterdijk Rhônepark";0;0;0;0;5;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;;;;;5;0;0;0;1,5;
"Sloterdijk Donauhoek";15;10;0;0;0;5;0;0;10;0;0;0;0;10;5;0;0;0;10;5;;;;;10;10;5;0;1,3;84
"Bretten-West";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Bretten-Oost";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Sloterdijk Stationskwartier";1155;620;535;75;290;665;110;15;965;150;40;5;200;375;580;195;20;160;355;420;;;;;855;630;170;55;1,3;1361
"Geuzenveld";19180;9685;9495;3990;2645;5950;4260;2330;10605;6505;1520;545;3840;1805;13530;3845;440;7215;1365;6315;;;;;8050;3270;1530;3250;2,3;5508
"Osdorper Binnenpolder";25;15;10;0;5;5;10;10;10;10;0;0;20;5;5;15;0;0;5;5;;;;;15;5;0;0;1,6;14
"De Eendracht";2445;1220;1225;465;250;640;605;480;1130;1060;165;90;855;225;1365;855;75;790;155;575;;;;;1005;310;275;415;2,4;7921
"Ruys de Beerenbrouckbuurt";6130;3110;3025;1325;835;1875;1370;725;3395;2060;510;165;1055;485;4590;1055;125;2380;360;2210;;;;;2505;1025;440;1045;2,4;15280
"Eendrachtspark";300;185;110;35;35;120;85;20;200;70;25;0;85;40;165;85;10;85;40;80;;;;;180;110;25;35;1,7;2426
"Van Tijenbuurt";2955;1550;1405;655;490;855;595;360;1630;1070;185;65;640;335;1980;640;90;1100;245;875;;;;;1165;445;210;515;2,5;10403
"Dudokbuurt";2735;1315;1415;630;375;930;590;220;1640;780;240;75;340;330;2070;340;70;1040;260;1030;;;;;1210;545;185;480;2,3;20226
"Bakemabuurt";3105;1540;1570;595;490;1130;620;265;1825;965;235;80;480;300;2330;480;45;1285;255;1040;;;;;1305;535;270;500;2,3;16538
"Wegener Sleeswijkbuurt";1485;755;730;285;180;385;380;250;765;485;160;65;380;80;1025;375;30;525;50;500;;;;;670;295;115;260;2,2;7912
"Slotermeer-West";10790;5485;5305;1910;1650;3500;2490;1245;6385;3230;905;270;1960;1270;7565;1960;265;3635;1000;3925;;;;;5120;2610;835;1680;2,1;12290
"Jan de Louterbuurt";3385;1745;1640;515;460;1155;815;450;2020;1005;265;95;715;735;1935;720;110;830;625;1115;;;;;1770;965;335;470;1,9;9892
"Lodewijk van Deysselbuurt";3420;1735;1685;620;525;1100;820;360;1995;1015;335;70;410;245;2760;415;60;1325;185;1435;;;;;1500;695;240;565;2,3;15217
"Confuciusbuurt";3985;2000;1980;780;670;1245;860;435;2375;1210;305;105;830;290;2865;830;95;1485;195;1380;;;;;1850;955;260;640;2,1;12815
"Slotermeer-Noordoost";9260;4735;4530;1775;1260;2970;2255;1000;5610;2600;845;205;2095;1045;6130;2095;250;2820;795;3300;;;;;4495;2345;725;1425;2,1;9615
"Arondeusbuurt";2740;1430;1305;630;405;815;615;275;1705;745;245;45;500;290;1945;500;80;965;215;985;;;;;1235;615;170;455;2,2;12136
"Coronelbuurt";1540;775;765;245;250;530;380;135;1035;395;85;25;650;345;550;650;80;240;265;315;;;;;805;445;145;210;1,9;8027
"Meerwaldtbuurt";1945;1000;945;325;225;580;520;295;1075;575;230;65;415;140;1385;420;45;610;95;775;;;;;985;530;160;290;2;7376
"Dobbebuurt";3035;1530;1505;575;380;1045;745;295;1800;885;285;65;525;270;2240;525;50;1015;225;1230;;;;;1470;750;250;465;2,1;10772
"Slotermeer-Zuidoost";6785;3470;3315;1050;930;2475;1500;830;4295;1715;630;140;2040;920;3830;2040;210;1725;705;2110;;;;;3760;2180;705;880;1,8;4957
"Dichtersbuurt";1070;600;470;140;100;380;255;200;590;290;150;30;210;110;750;205;25;300;90;445;;;;;630;405;105;120;1,7;9685
"Louis Couperusbuurt";2320;1220;1105;395;330;895;470;235;1495;560;215;50;550;250;1515;550;75;770;175;750;;;;;1320;810;200;305;1,8;7878
"Noordoever Sloterplas";3395;1655;1740;520;500;1200;775;395;2210;865;260;65;1280;560;1560;1280;115;650;445;910;;;;;1810;960;400;450;1,9;8475
"Sloterpark";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;;
"Lutkemeer/Ookmeer";1255;740;515;145;155;435;325;190;705;435;75;45;560;110;585;560;30;115;80;465;;;;;390;145;120;125;2,1;239
"Osdorper Bovenpolder";745;395;355;95;85;165;225;170;370;290;50;30;515;85;155;515;30;80;50;70;;;;;350;120;120;110;2,1;309
"Ookmeer";440;310;130;45;55;255;70;10;290;120;20;10;5;25;415;0;0;30;20;385;;;;;0;0;0;0;3;625
"Bedrijvenpark Lutkemeer";70;40;25;5;15;15;30;5;40;25;5;5;45;5;15;50;0;10;10;5;;;;;40;25;5;10;1,8;33
"De Aker";14385;7000;7380;2490;2075;3635;4110;2075;7455;5470;995;460;5330;1555;7495;5330;455;3940;1100;3555;;;;;6055;2095;1380;2580;2,4;9527
"Middelveldsche Akerpolder";4045;1935;2115;880;440;1135;880;705;2145;1440;320;145;1505;400;2140;1505;130;1250;270;885;;;;;1735;665;390;675;2,3;12041
"De Aker-West";4500;2205;2295;705;630;1135;1390;655;2265;1745;330;165;1670;465;2365;1670;135;1185;335;1180;;;;;1965;700;465;805;2,3;8665
"De Aker-Oost";5835;2865;2970;900;1010;1365;1840;720;3045;2295;345;150;2160;685;2985;2160;190;1500;500;1485;;;;;2355;730;530;1095;2,5;8920
"De Punt";6310;3335;2975;1085;985;2015;1385;835;3785;1805;530;195;1460;1090;3760;1465;205;1865;880;1895;;;;;2925;1505;495;925;2,1;10554
"Bedrijvencentrum Osdorp";125;115;15;5;0;45;65;20;95;5;25;0;40;10;75;40;5;25;5;55;;;;;5;0;0;0;1,4;1060
"Dijkgraafpleinbuurt";6185;3225;2960;1085;980;1975;1320;820;3690;1800;505;190;1425;1075;3685;1425;200;1840;880;1845;;;;;2920;1500;495;925;2,1;12887
"Osdorp-Midden";15475;7655;7820;2755;2295;5035;3480;1905;8865;4670;1380;560;2870;1940;10665;2870;380;5065;1560;5600;;;;;7280;3495;1300;2485;2,1;14994
"Reimerswaal";2755;1285;1475;495;360;725;625;555;1405;830;315;210;510;145;2105;510;45;1015;100;1085;;;;;1180;565;150;460;2,2;13068
"Botteskerkbuurt";3395;1680;1715;715;490;1060;745;380;1955;1020;310;105;615;395;2380;615;90;1185;305;1195;;;;;1560;695;270;585;2,2;14240
"Zuidwestkwadrant-Noord";3130;1575;1555;540;475;1030;630;450;1800;945;270;110;515;445;2170;515;70;990;370;1175;;;;;1515;755;285;470;2,1;13528
"Zuidwestkwadrant-Zuid";6200;3120;3080;1005;975;2215;1480;520;3705;1870;485;130;1230;955;4015;1235;170;1870;785;2145;;;;;3030;1475;590;965;2;17624
"Osdorp-Oost";18325;9090;9235;2835;2585;5990;3825;3090;10740;5120;1725;740;5130;2690;10510;5130;560;4840;2125;5675;;;;;9800;5340;1990;2470;1,9;11630
"Wildeman";4910;2425;2485;875;610;1375;1145;905;2685;1380;620;235;1010;530;3375;1005;120;1485;410;1890;;;;;2540;1360;400;775;1,9;15566
"Meer en Oever";3220;1680;1545;435;350;1080;745;605;1730;1060;305;120;955;545;1715;955;120;730;420;985;;;;;1665;805;445;415;1,9;15490
"Osdorpplein e.o.";4780;2340;2440;790;725;2010;785;470;3115;1195;350;120;1030;780;2965;1030;110;1475;670;1495;;;;;2465;1280;575;615;1,9;15868
"Calandlaan/Lelylaan";1250;640;610;185;110;330;370;250;705;375;130;35;415;130;705;415;50;360;85;350;;;;;675;365;130;170;1,8;4731
"Osdorp-Zuidoost";4165;2005;2160;545;785;1200;780;855;2515;1105;320;230;1720;695;1750;1720;155;795;535;960;;;;;2455;1530;435;495;1,7;8553
"Slotervaart-Noord";7795;3855;3935;1375;1025;2130;1945;1325;4435;2335;690;335;2715;1180;3900;2715;320;1815;860;2085;;;;;3655;1675;770;1210;2,1;7019
"Oostoever Sloterplas";2430;1175;1260;295;300;500;715;625;1190;915;190;135;1205;355;875;1205;120;350;235;525;;;;;1195;505;340;350;2;6764
"Emanuel van Meterenbuurt";2335;1170;1160;455;285;630;545;415;1340;655;210;130;950;435;950;950;135;430;300;520;;;;;1035;475;200;365;2,1;5280
"Jacob Geelbuurt";3025;1510;1520;625;440;995;685;285;1900;770;295;65;560;390;2075;560;60;1035;330;1045;;;;;1425;700;230;495;2,1;9808
"Overtoomse Veld";14685;7165;7520;2155;2805;6140;2440;1140;10155;3485;785;255;3630;2960;8090;3635;385;3630;2570;4465;;;;;8015;4700;1440;1875;1,8;10123
"Lucas/Andreasziekenhuis e.o.";1245;620;630;15;700;510;25;0;1185;60;10;0;210;500;540;210;15;70;485;470;;;;;1145;1055;75;20;1,1;6938
"Overtoomse Veld-Noord";5840;2870;2970;1075;815;2145;1235;570;3560;1760;380;145;1205;700;3930;1205;155;1870;550;2060;;;;;2535;1035;545;955;2,3;17370
"Rembrandtpark-Noord";1015;480;540;65;400;380;100;70;870;90;50;5;500;280;230;500;40;95;240;135;;;;;775;600;115;60;1,3;3673
"Overtoomse Veld-Zuid";4650;2285;2365;655;645;2275;710;365;3245;1075;255;80;1325;775;2560;1325;110;1240;660;1315;;;;;2565;1490;530;550;1,8;15507
"Rembrandtpark-Zuid";875;450;420;95;65;520;125;65;615;225;20;10;325;265;280;325;45;75;210;205;;;;;520;280;155;80;1,7;3202
"Johan Jongkindbuurt";1060;465;595;255;170;310;260;65;685;285;75;10;70;440;550;70;15;270;425;275;;;;;480;240;20;220;2,2;12298
"Slotervaart-Zuid";11270;5455;5820;1725;2010;3865;2080;1590;7090;2840;955;385;3190;1730;6355;3190;340;2920;1390;3430;;;;;5970;3395;1085;1495;1,9;9021
"Louis Crispijnbuurt";3310;1555;1755;490;545;890;660;720;1930;880;335;165;1105;440;1765;1105;100;820;345;945;;;;;1700;945;315;435;1,9;9232
"Jacques Veltmanbuurt";3750;1820;1930;505;625;1550;655;415;2465;920;275;90;1080;680;1990;1080;115;820;560;1170;;;;;2145;1225;465;445;1,8;12719
"Medisch Centrum Slotervaart";870;445;425;40;395;310;60;65;745;50;55;20;225;265;380;225;20;150;245;230;;;;;725;670;15;30;1,1;2998
"Staalmanbuurt";3340;1640;1700;690;445;1110;705;390;1950;985;290;110;780;340;2215;780;105;1135;230;1085;;;;;1410;545;280;585;2,3;10931
"Westlandgracht";13250;6755;6495;1215;2920;6470;1800;840;10055;2415;655;125;3775;3475;5990;3780;490;2190;2990;3805;;;;;8700;5905;1695;1105;1,5;9377
"Schipluidenbuurt";1625;770;850;65;450;1020;75;20;1465;135;25;0;360;650;615;355;45;170;610;445;;;;;1335;1090;180;60;1,2;14376
"Koningin Wilhelminaplein";3065;1635;1430;260;360;1900;365;180;2190;750;100;25;830;1075;1160;830;125;265;950;900;;;;;1925;1075;620;235;1,6;12492
"Andreasterrein";1270;620;650;215;160;400;335;155;735;420;85;20;445;265;565;440;65;240;195;325;;;;;565;210;150;205;2,2;8788
"Delflandpleinbuurt-West";4775;2455;2315;470;1095;2230;640;335;3640;795;285;55;1490;950;2335;1485;180;1115;770;1225;;;;;3200;2240;540;420;1,5;14788
"Delflandpleinbuurt-Oost";2110;1035;1070;200;660;710;390;145;1625;310;155;20;550;485;1070;550;65;350;425;720;;;;;1310;965;165;180;1,4;12319
"Riekerhaven";410;230;180;5;200;210;0;0;400;0;5;0;110;55;240;110;15;55;40;190;;;;;370;325;35;5;1,1;987
"Sloten/Nieuw-Sloten";14630;7210;7425;2125;1595;4045;4150;2715;7515;5565;1065;495;6970;1900;5765;6970;630;2830;1270;2935;;;;;6775;2495;1985;2290;2,1;3139
"Dorp Sloten";705;355;350;80;75;165;225;155;330;285;55;35;525;85;95;530;25;45;60;50;;;;;345;145;110;95;2;1319
"Nieuw-Sloten-Noordwest";3035;1460;1575;470;365;755;880;570;1515;1170;250;105;1250;365;1420;1250;145;725;220;695;;;;;1315;425;360;535;2,3;8783
"Nieuw-Sloten-Noordoost";3220;1585;1630;485;345;815;850;725;1555;1275;230;160;1495;330;1395;1495;125;735;205;660;;;;;1475;560;415;495;2,2;7347
"Nieuw-Sloten-Zuidwest";2195;1085;1110;310;270;480;810;330;1045;990;130;25;1150;290;750;1155;100;320;195;425;;;;;900;205;310;385;2,4;10156
"Belgiëplein e.o.";1155;540;615;95;125;300;270;365;535;425;120;85;445;195;520;450;40;150;150;370;;;;;690;365;210;115;1,7;13954
"Nieuw-Sloten-Zuidoost";2170;1080;1085;420;240;680;580;250;1285;670;160;50;980;275;915;985;85;535;185;380;;;;;920;310;215;395;2,3;9527
"Sloterweg e.o.";315;145;170;65;35;75;85;60;145;145;15;10;180;25;105;180;10;60;15;50;;;;;125;35;35;55;2,5;401
"Park Haagseweg";985;495;490;135;80;210;325;230;465;445;50;25;575;170;235;575;65;100;105;140;;;;;460;140;170;150;2,2;8672
"Riekerpolder";695;365;325;45;50;540;50;10;520;130;40;0;240;145;305;240;20;140;125;160;;;;;450;260;150;45;1,5;1130
"Nieuwe Meer";155;85;70;20;20;30;70;20;120;30;10;0;110;20;25;115;10;15;10;10;;;;;95;60;10;25;1,7;122
"Hoofddorppleinbuurt";11875;5535;6340;1280;1325;5510;2530;1230;8590;2335;745;205;6460;2540;2880;6465;590;1055;1945;1825;;;;;7130;3915;1950;1270;1,7;13986
"Westlandgrachtbuurt";3650;1745;1905;430;365;1700;775;380;2615;740;240;55;1975;720;955;1975;155;360;570;600;;;;;2150;1145;590;410;1,7;23005
"Surinamepleinbuurt";1550;675;875;190;155;685;325;195;1085;345;80;35;910;315;325;910;95;125;225;200;;;;;935;545;220;170;1,7;18424
"Legmeerpleinbuurt";1675;770;910;195;180;710;390;200;1190;330;120;35;945;370;360;945;85;155;285;210;;;;;965;495;280;195;1,7;24021
"Aalsmeerwegbuurt-West";2540;1160;1380;260;255;1330;495;200;1885;470;150;35;1375;545;625;1375;130;220;415;405;;;;;1520;795;480;250;1,7;25965
"Aalsmeerwegbuurt-Oost";2175;1050;1130;210;220;1010;505;230;1570;415;145;40;1185;470;520;1185;115;195;350;325;;;;;1325;730;365;230;1,6;19214
